Player,touches,post_touches,post_fgm,post_fga,post_ftm,post_fta,post_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_post,post_pass_pct,post_ast_pct,post_to_pct,Foul%,possessions,Touches Per Poss,post_per_poss,season_year,player
Ayo Dosunmu,3687,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3955,0.9322,0.0,2026,Ayo Dosunmu
Bam Adebayo,4101,188,28,73,20,26,77,85,17,11,13,0.3836,0.4096,0.4521,0.0904,0.0585,0.0691,4885,0.8395,0.0385,2026,Bam Adebayo
Baylor Scheierman,1655,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2799,0.5913,0.0,2026,Baylor Scheierman
Ben Saraf,2122,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1876,1.1311,0.0,2026,Ben Saraf
Ben Sheppard,2203,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2931,0.7516,0.0,2026,Ben Sheppard
Bennedict Mathurin,2769,13,1,2,5,6,7,5,0,3,3,0.5,0.5385,0.3846,0.0,0.2308,0.2308,3342,0.8285,0.0039,2026,Bennedict Mathurin
Bez Mbeng,619,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1080,0.5731,0.0,2026,Bez Mbeng
Bilal Coulibaly,2543,4,0,1,2,2,2,1,1,1,1,0.0,0.5,0.25,0.25,0.25,0.25,3139,0.8101,0.0013,2026,Bilal Coulibaly
Bismack Biyombo,163,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,280,0.5821,0.0036,2026,Bismack Biyombo
Blake Hinson,360,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,609,0.5911,0.0,2026,Blake Hinson
Blake Wesley,772,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,766,1.0078,0.0,2026,Blake Wesley
Bobby Portis,3048,163,45,84,13,14,104,61,16,8,7,0.5357,0.638,0.3742,0.0982,0.0491,0.0429,3207,0.9504,0.0508,2026,Bobby Portis
Bobi Klintman,101,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.6733,0.0,2026,Bobi Klintman
Bogdan Bogdanovic,786,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,886,0.8871,0.0,2026,Bogdan Bogdanovic
Bogdan BogdanoviÄ‡,786,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,886,0.8871,0.0,2026,Bogdan Bogdanovi
Bones Hyland,2754,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,2447,1.1255,0.0004,2026,Bones Hyland
Bradley Beal,177,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,243,0.7284,0.0,2026,Bradley Beal
Branden Carlson,727,3,0,1,1,2,1,1,0,0,1,0.0,0.3333,0.3333,0.0,0.0,0.3333,1000,0.727,0.003,2026,Branden Carlson
Brandin Podziemski,4846,8,2,2,0,0,4,6,1,0,0,1.0,0.5,0.75,0.125,0.0,0.0,4721,1.0265,0.0017,2026,Brandin Podziemski
Brandon Clarke,27,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.5745,0.0,2026,Brandon Clarke
Brandon Ingram,4241,123,26,59,10,12,64,44,10,6,6,0.4407,0.5203,0.3577,0.0813,0.0488,0.0488,5290,0.8017,0.0233,2026,Brandon Ingram
Brandon Miller,3828,15,2,8,3,4,7,4,0,1,2,0.25,0.4667,0.2667,0.0,0.0667,0.1333,3983,0.9611,0.0038,2026,Brandon Miller
Brandon Williams,3167,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3127,1.0128,0.0,2026,Brandon Williams
Brice Sensabaugh,2744,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3708,0.74,0.0003,2026,Brice Sensabaugh
Bronny James,747,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,745,1.0027,0.0,2026,Bronny James
Brook Lopez,1889,95,32,53,8,12,76,30,9,3,6,0.6038,0.8,0.3158,0.0947,0.0316,0.0632,3187,0.5927,0.0298,2026,Brook Lopez
Brooks Barnhizer,397,2,0,0,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,705,0.5631,0.0028,2026,Brooks Barnhizer
Bruce Brown,3034,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4060,0.7473,0.0,2026,Bruce Brown
Bryce McGowens,1147,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1855,0.6183,0.0005,2026,Bryce McGowens
Bub Carrington,4855,7,2,6,0,0,4,1,0,0,0,0.3333,0.5714,0.1429,0.0,0.0,0.0,4822,1.0068,0.0015,2026,Bub Carrington
Buddy Boeheim,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.4,0.0,2026,Buddy Boeheim
