Player,touches,paint_touches,paint_fgm,paint_fga,paint_ftm,paint_fta,paint_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_paint,paint_pass_pct,paint_ast_pct,paint_to_pct,Foul%,possessions,Touches Per Poss,paint_per_poss,season_year,player
Cam Christie,711,33,10,19,5,6,25,9,0,1,3,0.5263,0.7576,0.2727,0.0,0.0303,0.0909,945,0.7524,0.0349,2026,Cam Christie
Cam Spencer,3809,51,12,18,2,2,27,25,9,6,1,0.6667,0.5294,0.4902,0.1765,0.1176,0.0196,3556,1.0711,0.0143,2026,Cam Spencer
Cam Thomas,1721,15,6,10,1,2,14,1,0,1,1,0.6,0.9333,0.0667,0.0,0.0667,0.0667,1735,0.9919,0.0086,2026,Cam Thomas
Cam Whitmore,432,48,22,36,3,4,48,5,0,3,2,0.6111,1.0,0.1042,0.0,0.0625,0.0417,758,0.5699,0.0633,2026,Cam Whitmore
Cameron Johnson,2013,57,24,30,1,2,50,23,4,1,1,0.8,0.8772,0.4035,0.0702,0.0175,0.0175,3414,0.5896,0.0167,2026,Cameron Johnson
Cameron Payne,887,3,1,2,0,0,2,1,0,0,0,0.5,0.6667,0.3333,0.0,0.0,0.0,794,1.1171,0.0038,2026,Cameron Payne
Caris LeVert,2080,48,12,18,6,8,31,21,2,3,3,0.6667,0.6458,0.4375,0.0417,0.0625,0.0625,2367,0.8787,0.0203,2026,Caris LeVert
Carter Bryant,1001,59,22,29,4,6,48,23,2,2,3,0.7586,0.8136,0.3898,0.0339,0.0339,0.0508,1663,0.6019,0.0355,2026,Carter Bryant
Cason Wallace,2829,94,27,41,2,4,56,43,11,5,1,0.6585,0.5957,0.4574,0.117,0.0532,0.0106,4244,0.6666,0.0221,2026,Cason Wallace
Cedric Coward,3400,143,54,74,22,26,134,44,5,8,12,0.7297,0.9371,0.3077,0.035,0.0559,0.0839,3377,1.0068,0.0423,2026,Cedric Coward
Chaney Johnson,505,52,16,25,8,8,40,19,6,3,4,0.64,0.7692,0.3654,0.1154,0.0577,0.0769,713,0.7083,0.0729,2026,Chaney Johnson
Charles Bassey,248,52,24,36,8,12,57,8,2,1,4,0.6667,1.0962,0.1538,0.0385,0.0192,0.0769,310,0.8,0.1677,2026,Charles Bassey
Chaz Lanier,251,2,0,0,0,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,537,0.4674,0.0037,2026,Chaz Lanier
Chet Holmgren,3116,375,186,247,48,60,427,53,8,21,28,0.753,1.1387,0.1413,0.0213,0.056,0.0747,4117,0.7569,0.0911,2026,Chet Holmgren
Chris Boucher,113,7,4,5,0,0,8,1,0,0,0,0.8,1.1429,0.1429,0.0,0.0,0.0,182,0.6209,0.0385,2026,Chris Boucher
Chris Livingston,21,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.5833,0.0,2026,Chris Livingston
Chris MaÃ±on,57,6,1,1,0,0,2,5,1,0,0,1.0,0.3333,0.8333,0.1667,0.0,0.0,90,0.6333,0.0667,2026,Chris Maon
Chris Paul,510,4,0,2,0,0,0,2,1,0,0,0.0,0.0,0.5,0.25,0.0,0.0,453,1.1258,0.0088,2026,Chris Paul
Chris Youngblood,183,3,1,1,2,2,4,1,0,0,0,1.0,1.3333,0.3333,0.0,0.0,0.0,375,0.488,0.008,2026,Chris Youngblood
Christian Braun,2088,179,63,92,24,28,155,56,11,7,12,0.6848,0.8659,0.3128,0.0615,0.0391,0.067,2908,0.718,0.0616,2026,Christian Braun
Christian Koloko,412,105,24,47,5,6,54,42,9,9,3,0.5106,0.5143,0.4,0.0857,0.0857,0.0286,752,0.5479,0.1396,2026,Christian Koloko
Chucky Hepburn,31,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25,1.24,0.0,2026,Chucky Hepburn
CJ Huntley,34,6,4,4,0,0,8,1,0,0,0,1.0,1.3333,0.1667,0.0,0.0,0.0,84,0.4048,0.0714,2026,CJ Huntley
CJ McCollum,4372,55,15,19,6,8,37,28,7,3,4,0.7895,0.6727,0.5091,0.1273,0.0545,0.0727,4777,0.9152,0.0115,2026,CJ McCollum
Clint Capela,1182,298,102,185,22,33,230,76,11,11,19,0.5514,0.7718,0.255,0.0369,0.0369,0.0638,1842,0.6417,0.1618,2026,Clint Capela
Coby White,2620,18,5,6,2,2,13,8,2,2,1,0.8333,0.7222,0.4444,0.1111,0.1111,0.0556,2582,1.0147,0.007,2026,Coby White
Cody Martin,73,2,0,1,0,0,0,1,1,0,0,0.0,0.0,0.5,0.5,0.0,0.0,114,0.6404,0.0175,2026,Cody Martin
Cody Williams,2195,135,50,73,7,10,107,42,4,11,5,0.6849,0.7926,0.3111,0.0296,0.0815,0.037,3457,0.6349,0.0391,2026,Cody Williams
Colby Jones,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.7857,0.0,2026,Colby Jones
Cole Anthony,1253,10,2,4,0,0,4,6,0,0,0,0.5,0.4,0.6,0.0,0.0,0.0,1051,1.1922,0.0095,2026,Cole Anthony
Colin Castleton,30,6,2,3,0,0,5,3,1,0,0,0.6667,0.8333,0.5,0.1667,0.0,0.0,42,0.7143,0.1429,2026,Colin Castleton
Collin Gillespie,4813,78,9,15,0,0,19,52,19,6,0,0.6,0.2436,0.6667,0.2436,0.0769,0.0,4624,1.0409,0.0169,2026,Collin Gillespie
Collin Murray-Boyles,1905,378,105,172,26,44,238,156,30,19,23,0.6105,0.6296,0.4127,0.0794,0.0503,0.0608,2508,0.7596,0.1507,2026,Collin Murray-Boyles
Collin Sexton,3260,67,19,34,7,8,46,23,1,2,2,0.5588,0.6866,0.3433,0.0149,0.0299,0.0299,3384,0.9634,0.0198,2026,Collin Sexton
Cooper Flagg,4511,130,57,84,8,12,128,29,5,5,6,0.6786,0.9846,0.2231,0.0385,0.0385,0.0462,4674,0.9651,0.0278,2026,Cooper Flagg
Corey Kispert,1457,50,25,33,6,8,57,12,2,1,4,0.7576,1.14,0.24,0.04,0.02,0.08,2287,0.6371,0.0219,2026,Corey Kispert
Cormac Ryan,394,14,7,11,4,4,19,1,1,0,1,0.6364,1.3571,0.0714,0.0714,0.0,0.0714,536,0.7351,0.0261,2026,Cormac Ryan
Craig Porter Jr.,2221,92,13,23,0,0,26,61,19,5,0,0.5652,0.2826,0.663,0.2065,0.0543,0.0,2343,0.9479,0.0393,2026,Craig Porter Jr.
Curtis Jones,132,2,1,1,0,0,2,1,0,0,0,1.0,1.0,0.5,0.0,0.0,0.0,178,0.7416,0.0112,2026,Curtis Jones
D'Angelo Russell,1209,10,3,6,0,0,6,2,0,2,0,0.5,0.6,0.2,0.0,0.2,0.0,1051,1.1503,0.0095,2026,D'Angelo Russell
Daeqwon Plowden,1111,53,25,33,7,8,57,13,2,2,3,0.7576,1.0755,0.2453,0.0377,0.0377,0.0566,1736,0.64,0.0305,2026,Daeqwon Plowden
Dalano Banton,130,2,1,1,0,0,2,1,0,0,0,1.0,1.0,0.5,0.0,0.0,0.0,128,1.0156,0.0156,2026,Dalano Banton
Dalen Terry,939,33,6,14,0,0,12,14,2,5,0,0.4286,0.3636,0.4242,0.0606,0.1515,0.0,1167,0.8046,0.0283,2026,Dalen Terry
Dalton Knecht,703,23,10,18,4,4,24,3,1,0,2,0.5556,1.0435,0.1304,0.0435,0.0,0.087,1116,0.6299,0.0206,2026,Dalton Knecht
Daniel Gafford,1469,318,147,207,49,67,352,47,7,14,31,0.7101,1.1069,0.1478,0.022,0.044,0.0975,2339,0.628,0.136,2026,Daniel Gafford
Daniss Jenkins,3199,49,16,23,6,6,39,18,7,3,3,0.6957,0.7959,0.3673,0.1429,0.0612,0.0612,2972,1.0764,0.0165,2026,Daniss Jenkins
Danny Wolf,2023,92,25,40,21,24,72,33,8,3,11,0.625,0.7826,0.3587,0.087,0.0326,0.1196,2367,0.8547,0.0389,2026,Danny Wolf
DaQuan Jeffries,52,3,1,1,0,0,2,2,0,0,0,1.0,0.6667,0.6667,0.0,0.0,0.0,116,0.4483,0.0259,2026,DaQuan Jeffries
Dario Saric,40,3,0,2,0,0,0,1,0,0,0,0.0,0.0,0.3333,0.0,0.0,0.0,82,0.4878,0.0366,2026,Dario Saric
Dario Å ariÄ‡,40,3,0,2,0,0,0,1,0,0,0,0.0,0.0,0.3333,0.0,0.0,0.0,82,0.4878,0.0366,2026,Dario ari
Dariq Whitehead,278,5,3,4,0,0,6,0,0,0,0,0.75,1.2,0.0,0.0,0.0,0.0,399,0.6967,0.0125,2026,Dariq Whitehead
Darius Brown,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.25,0.0,2026,Darius Brown
Darius Garland,2809,20,6,10,0,0,12,8,2,1,0,0.6,0.6,0.4,0.1,0.05,0.0,2647,1.0612,0.0076,2026,Darius Garland
DaRon Holmes II,273,21,2,6,5,6,9,9,0,0,1,0.3333,0.4286,0.4286,0.0,0.0,0.0476,408,0.6691,0.0515,2026,DaRon Holmes II
David Jones Garcia,132,2,1,2,0,0,2,0,0,0,0,0.5,1.0,0.0,0.0,0.0,0.0,150,0.88,0.0133,2026,David Jones Garcia
David Roddy,116,12,5,10,2,2,13,0,0,0,1,0.5,1.0833,0.0,0.0,0.0,0.0833,155,0.7484,0.0774,2026,David Roddy
Davion Mitchell,4421,24,3,5,0,0,6,15,3,2,0,0.6,0.25,0.625,0.125,0.0833,0.0,4131,1.0702,0.0058,2026,Davion Mitchell
Day'Ron Sharpe,2177,422,165,246,64,92,401,84,28,28,42,0.6707,0.9502,0.1991,0.0664,0.0664,0.0995,2330,0.9343,0.1811,2026,Day'Ron Sharpe
De'Aaron Fox,4726,59,27,36,2,2,57,17,3,4,1,0.75,0.9661,0.2881,0.0508,0.0678,0.0169,4691,1.0075,0.0126,2026,De'Aaron Fox
De'Andre Hunter,1798,56,22,32,7,10,51,10,0,4,5,0.6875,0.9107,0.1786,0.0,0.0714,0.0893,2432,0.7393,0.023,2026,De'Andre Hunter
De'Anthony Melton,2437,75,20,38,4,4,44,26,8,7,2,0.5263,0.5867,0.3467,0.1067,0.0933,0.0267,2261,1.0778,0.0332,2026,De'Anthony Melton
Dean Wade,1681,82,21,34,9,12,51,35,5,3,6,0.6176,0.622,0.4268,0.061,0.0366,0.0732,2708,0.6208,0.0303,2026,Dean Wade
Deandre Ayton,2671,672,317,438,57,84,700,133,18,36,40,0.7237,1.0417,0.1979,0.0268,0.0536,0.0595,3996,0.6684,0.1682,2026,Deandre Ayton
DeAndre Jordan,241,47,19,28,6,10,45,9,3,3,4,0.6786,0.9574,0.1915,0.0638,0.0638,0.0851,411,0.5864,0.1144,2026,DeAndre Jordan
DeJon Jarreau,522,15,4,7,0,0,8,7,0,1,0,0.5714,0.5333,0.4667,0.0,0.0667,0.0,483,1.0807,0.0311,2026,DeJon Jarreau
Dejounte Murray,932,6,2,4,0,0,4,1,0,1,0,0.5,0.6667,0.1667,0.0,0.1667,0.0,809,1.152,0.0074,2026,Dejounte Murray
DeMar DeRozan,3327,56,20,26,9,12,49,18,3,4,5,0.7692,0.875,0.3214,0.0536,0.0714,0.0893,4975,0.6687,0.0113,2026,DeMar DeRozan
Deni Avdija,5536,103,31,50,13,16,80,34,3,5,9,0.62,0.7767,0.3301,0.0291,0.0485,0.0874,4621,1.198,0.0223,2026,Deni Avdija
Dennis Schroder,3961,23,3,4,3,4,9,15,4,2,2,0.75,0.3913,0.6522,0.1739,0.087,0.087,3464,1.1435,0.0066,2026,Dennis Schroder
Dennis SchrÃ¶der,3961,23,3,4,3,4,9,15,4,2,2,0.75,0.3913,0.6522,0.1739,0.087,0.087,3464,1.1435,0.0066,2026,Dennis Schrder
Dereck Lively II,170,33,11,15,6,8,28,10,0,2,4,0.7333,0.8485,0.303,0.0,0.0606,0.1212,247,0.6883,0.1336,2026,Dereck Lively II
Derik Queen,4036,227,99,153,26,30,230,36,10,15,15,0.6471,1.0132,0.1586,0.0441,0.0661,0.0661,4268,0.9456,0.0532,2026,Derik Queen
Derrick Jones Jr.,1633,130,59,89,13,16,133,28,4,3,8,0.6629,1.0231,0.2154,0.0308,0.0231,0.0615,2663,0.6132,0.0488,2026,Derrick Jones Jr.
Derrick White,5991,86,19,31,4,4,42,45,10,6,2,0.6129,0.4884,0.5233,0.1163,0.0698,0.0233,5176,1.1575,0.0166,2026,Derrick White
Desmond Bane,4869,121,46,70,15,16,111,32,5,10,7,0.6571,0.9174,0.2645,0.0413,0.0826,0.0579,5740,0.8483,0.0211,2026,Desmond Bane
Devin Booker,4112,84,19,42,18,22,58,22,6,8,10,0.4524,0.6905,0.2619,0.0714,0.0952,0.119,4452,0.9236,0.0189,2026,Devin Booker
Devin Carter,1469,56,19,29,4,4,44,20,4,2,2,0.6552,0.7857,0.3571,0.0714,0.0357,0.0357,1435,1.0237,0.039,2026,Devin Carter
Devin Vassell,2830,32,7,12,2,2,16,18,5,1,1,0.5833,0.5,0.5625,0.1562,0.0312,0.0312,4249,0.666,0.0075,2026,Devin Vassell
Dillon Brooks,2371,49,15,27,9,12,41,11,3,3,6,0.5556,0.8367,0.2245,0.0612,0.0612,0.1224,3500,0.6774,0.014,2026,Dillon Brooks
Dillon Jones,61,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,81,0.7531,0.0,2026,Dillon Jones
Domantas Sabonis,1212,199,74,117,26,32,177,47,11,11,16,0.6325,0.8894,0.2362,0.0553,0.0553,0.0804,1182,1.0254,0.1684,2026,Domantas Sabonis
Dominick Barlow,1961,233,96,135,25,28,222,65,21,13,16,0.7111,0.9528,0.279,0.0901,0.0558,0.0687,3493,0.5614,0.0667,2026,Dominick Barlow
Donovan Clingan,3230,676,239,372,81,120,574,176,36,43,59,0.6425,0.8491,0.2604,0.0533,0.0636,0.0873,4351,0.7424,0.1554,2026,Donovan Clingan
Donovan Mitchell,4842,62,28,42,3,4,61,13,2,3,1,0.6667,0.9839,0.2097,0.0323,0.0484,0.0161,4827,1.0031,0.0128,2026,Donovan Mitchell
Donte DiVincenzo,4422,55,11,18,3,4,25,31,8,4,2,0.6111,0.4545,0.5636,0.1455,0.0727,0.0364,5136,0.861,0.0107,2026,Donte DiVincenzo
Dorian Finney-Smith,741,43,11,19,4,4,26,20,3,1,2,0.5789,0.6047,0.4651,0.0698,0.0233,0.0465,1244,0.5957,0.0346,2026,Dorian Finney-Smith
Doug McDermott,570,7,3,4,0,0,6,3,0,0,0,0.75,0.8571,0.4286,0.0,0.0,0.0,906,0.6291,0.0077,2026,Doug McDermott
Drake Powell,1847,22,10,16,4,4,24,4,1,0,1,0.625,1.0909,0.1818,0.0455,0.0,0.0455,2637,0.7004,0.0083,2026,Drake Powell
Draymond Green,4591,147,35,63,16,24,88,59,15,9,12,0.5556,0.5986,0.4014,0.102,0.0612,0.0816,3766,1.2191,0.039,2026,Draymond Green
Drew Eubanks,666,155,64,98,9,14,141,33,2,12,7,0.6531,0.9097,0.2129,0.0129,0.0774,0.0452,1140,0.5842,0.136,2026,Drew Eubanks
Drew Peterson,78,3,0,0,0,0,0,3,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,128,0.6094,0.0234,2026,Drew Peterson
Drew Timme,374,23,11,13,2,2,24,9,2,0,1,0.8462,1.0435,0.3913,0.087,0.0,0.0435,458,0.8166,0.0502,2026,Drew Timme
Dru Smith,2247,72,15,30,9,10,40,28,3,2,4,0.5,0.5556,0.3889,0.0417,0.0278,0.0556,2386,0.9417,0.0302,2026,Dru Smith
Duncan Robinson,2455,38,18,21,1,2,37,12,2,4,1,0.8571,0.9737,0.3158,0.0526,0.1053,0.0263,4316,0.5688,0.0088,2026,Duncan Robinson
Duop Reath,305,17,6,10,0,0,14,5,1,2,0,0.6,0.8235,0.2941,0.0588,0.1176,0.0,545,0.5596,0.0312,2026,Duop Reath
Dwight Powell,1108,172,38,58,25,36,107,79,8,11,18,0.6552,0.6221,0.4593,0.0465,0.064,0.1047,1911,0.5798,0.09,2026,Dwight Powell
Dylan Cardwell,1057,300,95,143,15,34,208,120,17,10,16,0.6643,0.6933,0.4,0.0567,0.0333,0.0533,1850,0.5714,0.1622,2026,Dylan Cardwell
Dylan Harper,3274,75,26,42,3,4,56,25,6,4,2,0.619,0.7467,0.3333,0.08,0.0533,0.0267,3211,1.0196,0.0234,2026,Dylan Harper
Dyson Daniels,4909,386,129,200,10,16,271,141,35,20,8,0.645,0.7021,0.3653,0.0907,0.0518,0.0207,5304,0.9255,0.0728,2026,Dyson Daniels
E.J. Liddell,493,35,17,25,1,2,38,7,1,1,1,0.68,1.0857,0.2,0.0286,0.0286,0.0286,706,0.6983,0.0496,2026,E.J. Liddell
Egor DÃ«min,2810,23,7,12,3,4,17,8,2,1,2,0.5833,0.7391,0.3478,0.087,0.0435,0.087,2650,1.0604,0.0087,2026,Egor Dmin
Elijah Harkless,914,11,4,7,3,4,12,2,0,0,2,0.5714,1.0909,0.1818,0.0,0.0,0.1818,1159,0.7886,0.0095,2026,Elijah Harkless
Emanuel Miller,44,3,2,3,0,0,4,0,0,0,0,0.6667,1.3333,0.0,0.0,0.0,0.0,69,0.6377,0.0435,2026,Emanuel Miller
Enrique Freeman,42,2,0,1,2,2,2,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.5,85,0.4941,0.0235,2026,Enrique Freeman
Eric Gordon,103,1,0,0,0,0,0,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,150,0.6867,0.0067,2026,Eric Gordon
Ethan Thompson,976,30,10,16,0,0,21,10,1,3,0,0.625,0.7,0.3333,0.0333,0.1,0.0,1352,0.7219,0.0222,2026,Ethan Thompson
Evan Mobley,4140,492,205,271,49,86,468,115,22,32,38,0.7565,0.9512,0.2337,0.0447,0.065,0.0772,4199,0.9859,0.1172,2026,Evan Mobley
Franz Wagner,1838,86,32,59,8,10,72,16,2,4,4,0.5424,0.8372,0.186,0.0233,0.0465,0.0465,2169,0.8474,0.0396,2026,Franz Wagner
Gabe Vincent,1204,9,2,3,0,0,4,4,1,0,0,0.6667,0.4444,0.4444,0.1111,0.0,0.0,1822,0.6608,0.0049,2026,Gabe Vincent
Garrett Temple,149,1,0,0,1,2,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,146,1.0205,0.0068,2026,Garrett Temple
Garrison Mathews,255,1,0,0,0,0,0,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,413,0.6174,0.0024,2026,Garrison Mathews
Gary Harris,700,18,4,4,0,0,8,13,2,1,0,1.0,0.4444,0.7222,0.1111,0.0556,0.0,1280,0.5469,0.0141,2026,Gary Harris
Gary Payton II,2064,272,125,169,8,10,260,77,17,9,5,0.7396,0.9559,0.2831,0.0625,0.0331,0.0184,2278,0.9061,0.1194,2026,Gary Payton II
Gary Trent Jr.,1291,5,2,4,0,0,6,0,0,0,1,0.5,1.2,0.0,0.0,0.0,0.2,2721,0.4745,0.0018,2026,Gary Trent Jr.
GG Jackson,2107,77,37,55,7,8,82,14,4,3,4,0.6727,1.0649,0.1818,0.0519,0.039,0.0519,2457,0.8575,0.0313,2026,GG Jackson
Giannis Antetokounmpo,2553,248,109,147,46,76,267,31,10,12,34,0.7415,1.0766,0.125,0.0403,0.0484,0.1371,2123,1.2025,0.1168,2026,Giannis Antetokounmpo
Goga Bitadze,1402,288,126,177,33,44,292,70,15,13,19,0.7119,1.0139,0.2431,0.0521,0.0451,0.066,2006,0.6989,0.1436,2026,Goga Bitadze
Gradey Dick,1228,58,18,28,7,8,43,18,4,7,4,0.6429,0.7414,0.3103,0.069,0.1207,0.069,2231,0.5504,0.026,2026,Gradey Dick
Grant Nelson,59,15,3,4,2,4,8,6,1,2,2,0.75,0.5333,0.4,0.0667,0.1333,0.1333,69,0.8551,0.2174,2026,Grant Nelson
Grant Williams,977,54,8,10,7,8,24,34,4,3,4,0.8,0.4444,0.6296,0.0741,0.0556,0.0741,1441,0.678,0.0375,2026,Grant Williams
Grayson Allen,2751,33,5,8,2,4,13,21,3,0,2,0.625,0.3939,0.6364,0.0909,0.0,0.0606,2973,0.9253,0.0111,2026,Grayson Allen
Guerschon Yabusele,1415,96,14,31,6,10,34,46,6,7,5,0.4516,0.3542,0.4792,0.0625,0.0729,0.0521,2110,0.6706,0.0455,2026,Guerschon Yabusele
Gui Santos,2554,178,56,80,23,33,138,64,16,13,18,0.7,0.7753,0.3596,0.0899,0.073,0.1011,2764,0.924,0.0644,2026,Gui Santos
Harrison Barnes,2427,65,21,27,6,8,50,28,2,5,4,0.7778,0.7692,0.4308,0.0308,0.0769,0.0615,4119,0.5892,0.0158,2026,Harrison Barnes
Harrison Ingram,33,4,2,3,0,0,4,1,0,0,0,0.6667,1.0,0.25,0.0,0.0,0.0,55,0.6,0.0727,2026,Harrison Ingram
Hayden Gray,26,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.5,0.0,2026,Hayden Gray
Haywood Highsmith,101,6,1,2,2,2,5,3,1,0,1,0.5,0.8333,0.5,0.1667,0.0,0.1667,175,0.5771,0.0343,2026,Haywood Highsmith
Herbert Jones,2499,54,18,31,7,8,44,13,1,5,4,0.5806,0.8148,0.2407,0.0185,0.0926,0.0741,3285,0.7607,0.0164,2026,Herbert Jones
Hugo GonzÃ¡lez,1274,88,30,43,4,10,64,36,4,4,5,0.6977,0.7273,0.4091,0.0455,0.0455,0.0568,2123,0.6001,0.0415,2026,Hugo Gonzlez
Hunter Dickinson,60,7,3,5,0,0,6,2,1,0,0,0.6,0.8571,0.2857,0.1429,0.0,0.0,96,0.625,0.0729,2026,Hunter Dickinson
Hunter Sallis,62,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,55,1.1273,0.0,2026,Hunter Sallis
Hunter Tyson,212,6,1,2,0,0,2,3,2,1,0,0.5,0.3333,0.5,0.3333,0.1667,0.0,318,0.6667,0.0189,2026,Hunter Tyson
Immanuel Quickley,5043,59,19,27,3,4,43,26,6,2,2,0.7037,0.7288,0.4407,0.1017,0.0339,0.0339,4545,1.1096,0.013,2026,Immanuel Quickley
Isaac Jones,27,4,2,2,2,2,6,1,1,0,1,1.0,1.5,0.25,0.25,0.0,0.25,69,0.3913,0.058,2026,Isaac Jones
Isaac Okoro,1851,129,44,70,9,14,98,37,7,10,7,0.6286,0.7597,0.2868,0.0543,0.0775,0.0543,3568,0.5188,0.0362,2026,Isaac Okoro
Isaiah Collier,3981,25,8,8,2,2,18,14,5,1,1,1.0,0.72,0.56,0.2,0.04,0.04,3183,1.2507,0.0079,2026,Isaiah Collier
Isaiah Crawford,83,6,1,3,0,0,2,2,1,1,0,0.3333,0.3333,0.3333,0.1667,0.1667,0.0,181,0.4586,0.0331,2026,Isaiah Crawford
Isaiah Hartenstein,2149,391,138,206,37,58,323,123,30,19,30,0.6699,0.8261,0.3146,0.0767,0.0486,0.0767,2336,0.9199,0.1674,2026,Isaiah Hartenstein
Isaiah Jackson,1156,266,104,160,31,46,242,59,8,17,22,0.65,0.9098,0.2218,0.0301,0.0639,0.0827,1845,0.6266,0.1442,2026,Isaiah Jackson
Isaiah Joe,1968,36,5,9,8,8,18,15,5,7,4,0.5556,0.5,0.4167,0.1389,0.1944,0.1111,3108,0.6332,0.0116,2026,Isaiah Joe
Isaiah Livers,379,30,5,11,3,4,13,16,4,1,2,0.4545,0.4333,0.5333,0.1333,0.0333,0.0667,713,0.5316,0.0421,2026,Isaiah Livers
Isaiah Stevens,94,2,1,1,0,0,2,0,0,1,0,1.0,1.0,0.0,0.0,0.5,0.0,84,1.119,0.0238,2026,Isaiah Stevens
Isaiah Stewart,1458,282,129,187,40,48,307,33,5,17,19,0.6898,1.0887,0.117,0.0177,0.0603,0.0674,2627,0.555,0.1073,2026,Isaiah Stewart
Ivica Zubac,2304,524,190,320,46,71,437,110,22,29,34,0.5938,0.834,0.2099,0.042,0.0553,0.0649,2898,0.795,0.1808,2026,Ivica Zubac
Ja Morant,1431,18,7,8,0,0,14,7,1,2,0,0.875,0.7778,0.3889,0.0556,0.1111,0.0,1228,1.1653,0.0147,2026,Ja Morant
Ja'Kobe Walter,1784,99,24,45,20,26,71,36,9,5,12,0.5333,0.7172,0.3636,0.0909,0.0505,0.1212,3001,0.5945,0.033,2026,Ja'Kobe Walter
Jabari Smith Jr.,3999,186,70,113,29,34,170,40,11,8,16,0.6195,0.914,0.2151,0.0591,0.043,0.086,5377,0.7437,0.0346,2026,Jabari Smith Jr.
Jabari Walker,906,125,44,77,28,38,117,20,3,5,19,0.5714,0.936,0.16,0.024,0.04,0.152,1580,0.5734,0.0791,2026,Jabari Walker
Jacob Toppin,35,3,3,3,0,0,6,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,32,1.0938,0.0938,2026,Jacob Toppin
Jaden Hardy,1313,6,4,4,0,0,8,2,0,0,0,1.0,1.3333,0.3333,0.0,0.0,0.0,1887,0.6958,0.0032,2026,Jaden Hardy
Jaden Ivey,1097,34,14,22,7,8,35,5,2,2,4,0.6364,1.0294,0.1471,0.0588,0.0588,0.1176,1355,0.8096,0.0251,2026,Jaden Ivey
Jaden McDaniels,3369,119,53,73,8,10,117,30,3,8,4,0.726,0.9832,0.2521,0.0252,0.0672,0.0336,4753,0.7088,0.025,2026,Jaden McDaniels
Jae'Sean Tate,524,48,20,25,2,2,44,16,2,1,1,0.8,0.9167,0.3333,0.0417,0.0208,0.0208,783,0.6692,0.0613,2026,Jae'Sean Tate
Jahmai Mashack,1112,53,15,26,4,6,34,17,2,5,3,0.5769,0.6415,0.3208,0.0377,0.0943,0.0566,1424,0.7809,0.0372,2026,Jahmai Mashack
Jahmir Young,132,3,0,1,0,0,0,1,0,0,0,0.0,0.0,0.3333,0.0,0.0,0.0,128,1.0312,0.0234,2026,Jahmir Young
Jahmyl Telfort,30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.4688,0.0,2026,Jahmyl Telfort
Jaime Jaquez Jr.,4900,139,68,95,7,8,143,37,9,2,5,0.7158,1.0288,0.2662,0.0647,0.0144,0.036,4524,1.0831,0.0307,2026,Jaime Jaquez Jr.
Jake LaRavia,3034,197,72,101,24,30,173,61,12,12,14,0.7129,0.8782,0.3096,0.0609,0.0609,0.0711,4217,0.7195,0.0467,2026,Jake LaRavia
Jakob Poeltl,1702,346,155,211,27,40,342,85,20,20,18,0.7346,0.9884,0.2457,0.0578,0.0578,0.052,2348,0.7249,0.1474,2026,Jakob Poeltl
Jalen Brunson,6755,34,8,15,0,0,16,15,5,3,0,0.5333,0.4706,0.4412,0.1471,0.0882,0.0,5243,1.2884,0.0065,2026,Jalen Brunson
Jalen Duren,3470,741,323,464,144,187,810,112,12,40,90,0.6961,1.0931,0.1511,0.0162,0.054,0.1215,4075,0.8515,0.1818,2026,Jalen Duren
Jalen Green,1532,18,6,10,0,0,13,5,0,0,0,0.6,0.7222,0.2778,0.0,0.0,0.0,1691,0.906,0.0106,2026,Jalen Green
Jalen Johnson,6423,203,91,130,33,40,219,42,13,7,20,0.7,1.0788,0.2069,0.064,0.0345,0.0985,5390,1.1917,0.0377,2026,Jalen Johnson
Jalen Pickett,1457,26,6,10,2,2,14,13,3,2,1,0.6,0.5385,0.5,0.1154,0.0769,0.0385,1615,0.9022,0.0161,2026,Jalen Pickett
Jalen Slawson,568,23,8,10,4,6,20,7,1,3,3,0.8,0.8696,0.3043,0.0435,0.1304,0.1304,641,0.8861,0.0359,2026,Jalen Slawson
Jalen Smith,1827,196,70,102,17,22,157,53,16,15,9,0.6863,0.801,0.2704,0.0816,0.0765,0.0459,2305,0.7926,0.085,2026,Jalen Smith
