Player,touches,paint_touches,paint_fgm,paint_fga,paint_ftm,paint_fta,paint_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_paint,paint_pass_pct,paint_ast_pct,paint_to_pct,Foul%,possessions,Touches Per Poss,paint_per_poss,season_year,player
Xavier Tillman,251,30,7,13,2,4,16,11,2,3,2,0.5385,0.5333,0.3667,0.0667,0.1,0.0667,360,0.6972,0.0833,2026,Xavier Tillman
Yang Hansen,394,57,17,30,12,14,48,11,4,4,6,0.5667,0.8421,0.193,0.0702,0.0702,0.1053,627,0.6284,0.0909,2026,Yang Hansen
Yanic Konan NiederhÃ¤user,473,115,43,66,23,32,109,22,2,7,13,0.6515,0.9478,0.1913,0.0174,0.0609,0.113,844,0.5604,0.1363,2026,Yanic Konan Niederhuser
Yuki Kawamura,443,3,0,0,0,0,0,3,1,0,0,0.0,0.0,1.0,0.3333,0.0,0.0,452,0.9801,0.0066,2026,Yuki Kawamura
Yves Missi,1617,290,88,161,17,30,198,82,20,18,14,0.5466,0.6828,0.2828,0.069,0.0621,0.0483,2665,0.6068,0.1088,2026,Yves Missi
Zaccharie Risacher,1763,135,60,87,15,24,141,25,3,6,11,0.6897,1.0444,0.1852,0.0222,0.0444,0.0815,3218,0.5479,0.042,2026,Zaccharie Risacher
Zach Collins,300,49,21,29,7,8,51,14,3,0,4,0.7241,1.0408,0.2857,0.0612,0.0,0.0816,389,0.7712,0.126,2026,Zach Collins
Zach Edey,401,144,54,83,18,21,127,32,6,5,11,0.6506,0.8819,0.2222,0.0417,0.0347,0.0764,589,0.6808,0.2445,2026,Zach Edey
Zach LaVine,1999,32,11,16,0,0,22,12,4,3,0,0.6875,0.6875,0.375,0.125,0.0938,0.0,2522,0.7926,0.0127,2026,Zach LaVine
Zeke Nnaji,732,92,32,52,17,20,82,20,3,8,10,0.6154,0.8913,0.2174,0.0326,0.087,0.1087,1247,0.587,0.0738,2026,Zeke Nnaji
Ziaire Williams,1493,50,22,32,9,10,56,11,3,1,5,0.6875,1.12,0.22,0.06,0.02,0.1,2620,0.5698,0.0191,2026,Ziaire Williams
Zion Williamson,3041,222,98,143,32,48,234,36,10,13,22,0.6853,1.0541,0.1622,0.045,0.0586,0.0991,3883,0.7832,0.0572,2026,Zion Williamson
Zyon Pullin,85,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,92,0.9239,0.0109,2026,Zyon Pullin
