Player,oreb,oreb_contested,oreb_uncontested,oreb_chances,oreb_chances_deferred,dreb,dreb_contested,dreb_uncontested,dreb_chances,dreb_chances_deferred,season_year,player,oreb_contest_rate,dreb_contest_rate,total_rebs,rpv_proxy
Bradley Beal,2,1,1,4,0,3,0,3,9,0,2026,Bradley Beal,0.25,0.0,5,1.5
Branden Carlson,29,17,12,87,6,95,22,73,158,16,2026,Branden Carlson,0.1954,0.1392,124,47.5
Brandin Podziemski,72,36,31,192,9,347,73,271,537,49,2026,Brandin Podziemski,0.1875,0.1359,419,127.0
Brandon Clarke,4,4,0,6,0,2,1,1,6,1,2026,Brandon Clarke,0.6667,0.1667,6,7.0
Brandon Ingram,62,31,30,162,6,363,111,252,551,30,2026,Brandon Ingram,0.1914,0.2015,425,157.5
Brandon Miller,70,22,48,145,6,249,61,188,423,49,2026,Brandon Miller,0.1517,0.1442,319,94.0
Brandon Williams,29,10,19,99,4,159,35,124,282,25,2026,Brandon Williams,0.101,0.1241,188,50.0
Brice Sensabaugh,55,23,32,143,6,171,37,134,299,23,2026,Brice Sensabaugh,0.1608,0.1237,226,71.5
Bronny James,5,3,2,10,1,18,3,15,40,4,2026,Bronny James,0.3,0.075,23,7.5
Brook Lopez,47,37,10,116,2,226,108,118,411,60,2026,Brook Lopez,0.319,0.2628,273,163.5
Brooks Barnhizer,19,12,6,48,1,59,6,53,87,5,2026,Brooks Barnhizer,0.25,0.069,78,24.0
Bruce Brown,85,30,55,211,11,233,34,198,370,34,2026,Bruce Brown,0.1422,0.0919,318,79.0
Bryce McGowens,12,7,5,46,1,76,16,60,142,12,2026,Bryce McGowens,0.1522,0.1127,88,26.5
Bub Carrington,33,12,21,73,4,243,43,198,389,38,2026,Bub Carrington,0.1644,0.1105,276,61.0
Buddy Hield,27,13,14,84,3,89,18,71,153,12,2026,Buddy Hield,0.1548,0.1176,116,37.5
Cade Cunningham,55,27,28,139,1,292,67,225,444,30,2026,Cade Cunningham,0.1942,0.1509,347,107.5
Caleb Houstan,5,4,1,10,0,6,1,5,8,0,2026,Caleb Houstan,0.4,0.125,11,7.0
Caleb Love,25,6,19,59,1,89,16,72,128,5,2026,Caleb Love,0.1017,0.125,114,25.0
Caleb Martin,26,6,20,57,3,111,22,90,190,24,2026,Caleb Martin,0.1053,0.1158,137,31.0
Cam Christie,19,6,13,38,1,59,10,49,101,9,2026,Cam Christie,0.1579,0.099,78,19.0
Cam Spencer,40,11,29,90,4,143,19,124,231,18,2026,Cam Spencer,0.1222,0.0823,183,35.5
Cam Thomas,11,1,10,40,1,60,11,49,134,17,2026,Cam Thomas,0.025,0.0821,71,12.5
Cam Whitmore,19,8,11,49,0,39,8,31,56,3,2026,Cam Whitmore,0.1633,0.1429,58,20.0
Cameron Johnson,43,17,26,94,2,163,42,118,274,33,2026,Cameron Johnson,0.1809,0.1533,206,67.5
Cameron Payne,3,1,2,11,2,41,5,36,65,5,2026,Cameron Payne,0.0909,0.0769,44,6.5
Caris LeVert,23,13,10,64,3,91,21,70,175,18,2026,Caris LeVert,0.2031,0.12,114,40.5
Carter Bryant,36,18,18,74,2,136,30,106,214,19,2026,Carter Bryant,0.2432,0.1402,172,57.0
Cason Wallace,63,29,34,152,6,175,33,142,315,32,2026,Cason Wallace,0.1908,0.1048,238,76.5
Cedric Coward,83,47,34,209,7,281,65,215,476,52,2026,Cedric Coward,0.2249,0.1366,364,135.5
Chaney Johnson,33,23,10,93,2,46,12,34,72,4,2026,Chaney Johnson,0.2473,0.1667,79,46.5
Charles Bassey,23,12,11,47,1,34,6,28,60,8,2026,Charles Bassey,0.2553,0.1,57,24.0
Chaz Lanier,8,3,5,16,0,15,0,15,32,6,2026,Chaz Lanier,0.1875,0.0,23,4.5
Chet Holmgren,130,88,43,322,11,485,161,320,797,90,2026,Chet Holmgren,0.2733,0.202,615,293.0
Chris Boucher,2,1,1,12,0,16,6,10,28,1,2026,Chris Boucher,0.0833,0.2143,18,7.5
Chris Livingston,0,0,0,0,0,3,1,2,5,2,2026,Chris Livingston,0.0,0.2,3,1.0
Chris MaÃ±on,2,1,1,5,0,8,3,5,17,1,2026,Chris Maon,0.2,0.1765,10,4.5
Chris Paul,6,1,5,9,1,22,5,17,36,1,2026,Chris Paul,0.1111,0.1389,28,6.5
Chris Youngblood,7,1,6,11,1,20,5,15,31,3,2026,Chris Youngblood,0.0909,0.1613,27,6.5
Christian Braun,61,29,31,144,10,150,19,131,229,19,2026,Christian Braun,0.2014,0.083,211,62.5
Christian Koloko,31,22,9,84,2,50,14,36,100,11,2026,Christian Koloko,0.2619,0.14,81,47.0
Chucky Hepburn,0,0,0,0,0,1,0,1,2,0,2026,Chucky Hepburn,0.0,0.0,1,0.0
CJ Huntley,2,1,1,4,0,3,0,3,4,0,2026,CJ Huntley,0.25,0.0,5,1.5
CJ McCollum,62,17,45,133,0,190,33,157,308,19,2026,CJ McCollum,0.1278,0.1071,252,58.5
Clint Capela,160,117,43,279,6,182,79,103,324,37,2026,Clint Capela,0.4194,0.2438,342,254.5
Coby White,17,7,10,57,3,153,23,130,261,16,2026,Coby White,0.1228,0.0881,170,33.5
Cody Martin,1,1,0,8,1,13,4,9,25,2,2026,Cody Martin,0.125,0.16,14,5.5
Cody Williams,60,26,33,132,8,135,32,103,239,21,2026,Cody Williams,0.197,0.1339,195,71.0
Colby Jones,0,0,0,0,0,4,2,2,4,0,2026,Colby Jones,0.0,0.5,4,2.0
Cole Anthony,14,5,9,36,1,69,10,59,114,9,2026,Cole Anthony,0.1389,0.0877,83,17.5
Colin Castleton,2,2,0,7,0,6,1,5,9,0,2026,Colin Castleton,0.2857,0.1111,8,4.0
Collin Gillespie,88,34,54,196,3,237,42,193,429,46,2026,Collin Gillespie,0.1735,0.0979,325,93.0
Collin Murray-Boyles,133,83,50,304,13,152,47,105,329,59,2026,Collin Murray-Boyles,0.273,0.1429,285,171.5
Collin Sexton,41,18,23,122,5,114,20,93,213,18,2026,Collin Sexton,0.1475,0.0939,155,47.0
Cooper Flagg,82,39,41,233,6,374,87,287,638,69,2026,Cooper Flagg,0.1674,0.1364,456,145.5
Corey Kispert,27,7,20,61,3,105,20,85,181,16,2026,Corey Kispert,0.1148,0.1105,132,30.5
Cormac Ryan,8,1,7,16,0,20,2,18,37,4,2026,Cormac Ryan,0.0625,0.0541,28,3.5
Craig Porter Jr.,85,40,45,151,6,134,32,102,232,23,2026,Craig Porter Jr.,0.2649,0.1379,219,92.0
Curtis Jones,2,0,2,4,0,9,2,7,12,2,2026,Curtis Jones,0.0,0.1667,11,2.0
D'Angelo Russell,8,1,7,18,0,53,7,46,84,5,2026,D'Angelo Russell,0.0556,0.0833,61,8.5
Daeqwon Plowden,33,14,19,66,3,64,22,42,125,13,2026,Daeqwon Plowden,0.2121,0.176,97,43.0
Dalano Banton,2,1,1,4,0,3,2,1,3,0,2026,Dalano Banton,0.25,0.6667,5,3.5
Dalen Terry,26,15,11,56,2,60,15,45,110,5,2026,Dalen Terry,0.2679,0.1364,86,37.5
Dalton Knecht,14,5,9,37,0,61,15,46,97,8,2026,Dalton Knecht,0.1351,0.1546,75,22.5
Daniel Gafford,138,100,37,356,13,233,76,156,442,61,2026,Daniel Gafford,0.2809,0.1719,371,226.0
Daniss Jenkins,51,17,34,109,3,114,17,97,211,10,2026,Daniss Jenkins,0.156,0.0806,165,42.5
Danny Wolf,57,25,32,125,3,224,72,152,357,36,2026,Danny Wolf,0.2,0.2017,281,109.5
DaQuan Jeffries,3,2,1,8,1,2,1,1,8,3,2026,DaQuan Jeffries,0.25,0.125,5,4.0
Dario Saric,1,1,0,4,0,5,3,2,8,1,2026,Dario Saric,0.25,0.375,6,4.5
Dario Å ariÄ‡,1,1,0,4,0,5,3,2,8,1,2026,Dario ari,0.25,0.375,6,4.5
Dariq Whitehead,2,0,2,8,0,22,3,19,34,4,2026,Dariq Whitehead,0.0,0.0882,24,3.0
Darius Brown,0,0,0,1,0,1,0,1,1,0,2026,Darius Brown,0.0,0.0,1,0.0
Darius Garland,18,7,11,55,1,88,16,72,161,17,2026,Darius Garland,0.1273,0.0994,106,26.5
DaRon Holmes II,8,5,3,22,1,27,6,21,54,7,2026,DaRon Holmes II,0.2273,0.1111,35,13.5
David Jones Garcia,4,3,1,7,1,9,4,5,13,1,2026,David Jones Garcia,0.4286,0.3077,13,8.5
David Roddy,8,5,3,13,1,12,4,8,19,3,2026,David Roddy,0.3846,0.2105,20,11.5
Davion Mitchell,31,8,23,80,3,150,30,118,296,30,2026,Davion Mitchell,0.1,0.1014,181,42.0
Day'Ron Sharpe,171,122,49,393,10,242,85,157,383,44,2026,Day'Ron Sharpe,0.3104,0.2219,413,268.0
De'Aaron Fox,42,14,27,106,2,228,25,201,365,27,2026,De'Aaron Fox,0.1321,0.0685,270,46.0
De'Andre Hunter,29,12,17,87,4,149,42,106,259,28,2026,De'Andre Hunter,0.1379,0.1622,178,60.0
De'Anthony Melton,39,21,16,117,1,119,24,92,208,18,2026,De'Anthony Melton,0.1795,0.1154,158,55.5
Dean Wade,53,24,29,146,9,194,46,148,357,46,2026,Dean Wade,0.1644,0.1289,247,82.0
Deandre Ayton,185,133,51,384,5,390,120,269,642,73,2026,Deandre Ayton,0.3464,0.1869,575,319.5
DeAndre Jordan,26,16,10,46,0,50,21,29,81,8,2026,DeAndre Jordan,0.3478,0.2593,76,45.0
DeJon Jarreau,12,6,6,30,0,39,7,32,66,6,2026,DeJon Jarreau,0.2,0.1061,51,16.0
Dejounte Murray,4,2,2,25,2,71,5,66,110,10,2026,Dejounte Murray,0.08,0.0455,75,8.0
DeMar DeRozan,35,12,22,112,4,191,51,141,325,28,2026,DeMar DeRozan,0.1071,0.1569,226,69.0
Deni Avdija,74,37,38,236,9,380,74,306,632,61,2026,Deni Avdija,0.1568,0.1171,454,129.5
Dennis Schroder,33,5,28,82,2,156,29,127,277,26,2026,Dennis Schroder,0.061,0.1047,189,36.5
Dennis SchrÃ¶der,33,5,28,82,2,156,29,127,277,26,2026,Dennis Schrder,0.061,0.1047,189,36.5
