Player,oreb,oreb_contested,oreb_uncontested,oreb_chances,oreb_chances_deferred,dreb,dreb_contested,dreb_uncontested,dreb_chances,dreb_chances_deferred,season_year,player,oreb_contest_rate,dreb_contest_rate,total_rebs,rpv_proxy
Jalen Wilson,17,4,13,50,4,97,27,70,161,15,2026,Jalen Wilson,0.08,0.1677,114,33.0
Jamal Cain,28,20,8,77,3,50,9,41,85,11,2026,Jamal Cain,0.2597,0.1059,78,39.0
Jamal Murray,32,11,21,115,5,298,62,233,482,49,2026,Jamal Murray,0.0957,0.1286,330,78.5
Jamal Shead,25,8,17,70,4,114,22,93,233,29,2026,Jamal Shead,0.1143,0.0944,139,34.0
Jamaree Bouyea,18,5,13,50,1,64,12,52,112,14,2026,Jamaree Bouyea,0.1,0.1071,82,19.5
James Harden,40,16,24,161,4,296,50,246,436,32,2026,James Harden,0.0994,0.1147,336,74.0
James Wiseman,5,5,0,7,0,3,2,1,15,3,2026,James Wiseman,0.7143,0.1333,8,9.5
Jamir Watkins,49,16,33,105,3,145,35,110,240,20,2026,Jamir Watkins,0.1524,0.1458,194,59.0
Jamison Battle,20,10,10,38,1,69,15,52,126,19,2026,Jamison Battle,0.2632,0.119,89,30.0
Jarace Walker,49,16,33,129,6,342,63,279,511,40,2026,Jarace Walker,0.124,0.1233,391,87.0
Jared McCain,23,10,13,72,2,115,21,93,208,10,2026,Jared McCain,0.1389,0.101,138,36.0
Jaren Jackson Jr.,42,26,15,124,2,230,86,143,430,50,2026,Jaren Jackson Jr.,0.2097,0.2,272,125.0
Jarred Vanderbilt,80,47,33,194,8,212,55,155,334,30,2026,Jarred Vanderbilt,0.2423,0.1647,292,125.5
Jarrett Allen,142,94,47,305,6,324,101,221,523,53,2026,Jarrett Allen,0.3082,0.1931,466,242.0
Jase Richardson,21,8,12,42,2,42,8,34,64,3,2026,Jase Richardson,0.1905,0.125,63,20.0
Javon Small,36,10,25,76,2,92,22,70,136,8,2026,Javon Small,0.1316,0.1618,128,37.0
Javonte Cooke,4,2,2,11,0,15,1,14,21,2,2026,Javonte Cooke,0.1818,0.0476,19,4.0
Javonte Green,62,34,28,134,5,167,46,119,287,21,2026,Javonte Green,0.2537,0.1603,229,97.0
Jaxson Hayes,99,71,28,212,1,172,60,112,282,28,2026,Jaxson Hayes,0.3349,0.2128,271,166.5
Jay Huff,73,45,28,179,4,251,77,174,566,79,2026,Jay Huff,0.2514,0.136,324,144.5
Jaylen Brown,81,36,45,232,3,411,96,313,634,49,2026,Jaylen Brown,0.1552,0.1514,492,150.0
Jaylen Clark,54,37,17,102,4,66,19,47,117,10,2026,Jaylen Clark,0.3627,0.1624,120,74.5
Jaylen Wells,61,25,35,138,10,159,26,132,298,32,2026,Jaylen Wells,0.1812,0.0872,220,63.5
Jaylin Williams,32,15,17,114,4,323,120,203,494,43,2026,Jaylin Williams,0.1316,0.2429,355,142.5
Jaylon Tyson,116,51,64,272,19,217,31,186,363,48,2026,Jaylon Tyson,0.1875,0.0854,333,107.5
Jayson Kent,0,0,0,0,0,5,1,4,7,0,2026,Jayson Kent,0.0,0.1429,5,1.0
Jayson Tatum,8,2,6,41,2,152,34,118,205,13,2026,Jayson Tatum,0.0488,0.1659,160,37.0
JD Davison,3,2,1,13,1,31,4,27,51,6,2026,JD Davison,0.1538,0.0784,34,7.0
Jeenathan Williams,17,9,8,33,2,10,0,10,19,3,2026,Jeenathan Williams,0.2727,0.0,27,13.5
Jeff Green,7,4,3,9,0,18,5,13,29,1,2026,Jeff Green,0.4444,0.1724,25,11.0
Jerami Grant,55,21,34,125,5,143,24,118,237,19,2026,Jerami Grant,0.168,0.1013,198,55.5
Jeremiah Fears,60,25,35,195,9,240,38,202,417,46,2026,Jeremiah Fears,0.1282,0.0911,300,75.5
Jeremiah Robinson-Earl,36,17,19,91,2,67,16,51,107,8,2026,Jeremiah Robinson-Earl,0.1868,0.1495,103,41.5
Jeremy Sochan,37,24,13,108,4,70,20,50,130,11,2026,Jeremy Sochan,0.2222,0.1538,107,56.0
Jericho Sims,145,93,52,325,11,223,61,162,380,44,2026,Jericho Sims,0.2862,0.1605,368,200.5
Jett Howard,23,7,16,40,3,64,18,46,103,10,2026,Jett Howard,0.175,0.1748,87,28.5
Jevon Carter,14,1,13,24,2,75,10,65,114,5,2026,Jevon Carter,0.0417,0.0877,89,11.5
Jimmy Butler,88,60,27,197,7,123,36,87,211,17,2026,Jimmy Butler,0.3046,0.1706,211,126.0
Jimmy Butler III,88,60,27,197,7,123,36,87,211,17,2026,Jimmy Butler III,0.3046,0.1706,211,126.0
Joan Beringer,45,34,11,110,4,47,13,34,104,16,2026,Joan Beringer,0.3091,0.125,92,64.0
Jock Landale,183,121,62,438,14,204,78,126,423,51,2026,Jock Landale,0.2763,0.1844,387,259.5
Joe Ingles,0,0,0,0,0,19,3,16,25,0,2026,Joe Ingles,0.0,0.12,19,3.0
Joel Embiid,75,50,25,159,4,218,77,141,388,33,2026,Joel Embiid,0.3145,0.1985,293,152.0
John Collins,110,70,40,272,5,257,77,180,457,45,2026,John Collins,0.2574,0.1685,367,182.0
John Konchar,74,27,46,163,6,166,32,134,284,33,2026,John Konchar,0.1656,0.1127,240,72.5
John Poulakidas,4,1,3,13,0,26,2,24,41,6,2026,John Poulakidas,0.0769,0.0488,30,3.5
John Tonje,0,0,0,6,0,6,1,5,8,0,2026,John Tonje,0.0,0.125,6,1.0
Johni Broome,7,3,4,11,0,9,4,5,12,1,2026,Johni Broome,0.2727,0.3333,16,8.5
Johnny Furphy,32,19,13,98,2,121,30,91,203,21,2026,Johnny Furphy,0.1939,0.1478,153,58.5
Johnny Juzang,5,2,3,7,0,12,3,9,19,2,2026,Johnny Juzang,0.2857,0.1579,17,6.0
Jonas Valanciunas,105,75,30,227,6,224,67,155,366,40,2026,Jonas Valanciunas,0.3304,0.1831,329,179.5
Jonas ValanÄiÅ«nas,105,75,30,227,6,224,67,155,366,40,2026,Jonas Valaninas,0.3304,0.1831,329,179.5
Jonathan Isaac,43,30,13,131,4,89,24,65,152,17,2026,Jonathan Isaac,0.229,0.1579,132,69.0
Jonathan Kuminga,49,27,22,111,3,153,42,111,224,10,2026,Jonathan Kuminga,0.2432,0.1875,202,82.5
Jonathan Mogbo,19,9,10,39,1,48,14,34,70,3,2026,Jonathan Mogbo,0.2308,0.2,67,27.5
Jordan Clarkson,62,25,37,132,8,65,14,51,136,19,2026,Jordan Clarkson,0.1894,0.1029,127,51.5
Jordan Goodwin,138,73,65,321,11,203,45,158,369,38,2026,Jordan Goodwin,0.2274,0.122,341,154.5
Jordan Hawkins,20,6,14,38,0,68,22,46,128,17,2026,Jordan Hawkins,0.1579,0.1719,88,31.0
Jordan McLaughlin,7,2,5,16,0,25,3,21,35,2,2026,Jordan McLaughlin,0.125,0.0857,32,6.0
Jordan Miller,50,26,24,127,3,132,32,100,236,23,2026,Jordan Miller,0.2047,0.1356,182,71.0
Jordan Poole,9,4,5,36,2,68,9,59,121,11,2026,Jordan Poole,0.1111,0.0744,77,15.0
Jordan Walsh,85,47,38,188,7,187,49,138,310,26,2026,Jordan Walsh,0.25,0.1581,272,119.5
Jose Alvarado,26,5,21,64,5,145,21,124,255,24,2026,Jose Alvarado,0.0781,0.0824,171,28.5
Josh Giddey,67,36,31,176,11,381,74,308,568,43,2026,Josh Giddey,0.2045,0.1303,448,128.0
Josh Green,45,15,30,76,2,57,15,42,94,9,2026,Josh Green,0.1974,0.1596,102,37.5
Josh Hart,93,48,45,218,10,393,85,307,601,63,2026,Josh Hart,0.2202,0.1414,486,157.0
Josh Minott,48,26,23,92,2,110,31,78,192,21,2026,Josh Minott,0.2826,0.1615,158,70.0
Josh Oduro,11,7,4,21,1,12,3,9,17,2,2026,Josh Oduro,0.3333,0.1765,23,13.5
Josh Okogie,79,41,38,174,11,117,35,83,208,18,2026,Josh Okogie,0.2356,0.1683,196,96.5
Jrue Holiday,71,24,47,162,7,174,27,147,269,11,2026,Jrue Holiday,0.1481,0.1004,245,63.0
Julian Champagnie,74,28,46,175,2,392,92,301,593,66,2026,Julian Champagnie,0.16,0.1551,466,134.0
Julian Phillips,23,13,10,51,3,26,7,19,50,2,2026,Julian Phillips,0.2549,0.14,49,26.5
Julian Reese,55,35,18,111,4,82,29,50,122,10,2026,Julian Reese,0.3153,0.2377,137,81.5
Julian Strawther,12,3,9,33,0,102,22,80,154,14,2026,Julian Strawther,0.0909,0.1429,114,26.5
Julius Randle,128,77,51,336,7,385,106,276,623,67,2026,Julius Randle,0.2292,0.1701,513,221.5
Justin Champagnie,145,81,62,266,4,239,53,185,380,30,2026,Justin Champagnie,0.3045,0.1395,384,174.5
Justin Edwards,26,14,13,55,3,68,16,52,108,4,2026,Justin Edwards,0.2545,0.1481,94,37.0
Jusuf Nurkic,106,85,21,274,4,319,105,213,489,56,2026,Jusuf Nurkic,0.3102,0.2147,425,232.5
Jusuf NurkiÄ‡,106,85,21,274,4,319,105,213,489,56,2026,Jusuf Nurki,0.3102,0.2147,425,232.5
Kadary Richmond,1,1,0,3,0,9,5,4,13,1,2026,Kadary Richmond,0.3333,0.3846,10,6.5
Kam Jones,15,2,13,35,0,45,6,38,86,14,2026,Kam Jones,0.0571,0.0698,60,9.0
Karl-Anthony Towns,233,154,79,505,14,656,179,476,959,79,2026,Karl-Anthony Towns,0.305,0.1867,889,410.0
Karlo MatkoviÄ‡,72,50,22,132,7,157,56,101,272,30,2026,Karlo Matkovi,0.3788,0.2059,229,131.0
Kasparas JakuÄionis,43,13,30,109,5,95,20,74,169,18,2026,Kasparas Jakuionis,0.1193,0.1183,138,39.5
Kawhi Leonard,71,39,32,158,5,342,69,273,523,44,2026,Kawhi Leonard,0.2468,0.1319,413,127.5
Keaton Wallace,3,0,3,14,1,53,10,43,84,5,2026,Keaton Wallace,0.0,0.119,56,10.0
Keegan Murray,33,20,13,68,1,99,24,75,181,22,2026,Keegan Murray,0.2941,0.1326,132,54.0
Kel'el Ware,213,144,69,407,15,465,162,303,735,69,2026,Kel'el Ware,0.3538,0.2204,678,378.0
Keldon Johnson,137,89,48,312,15,299,82,216,510,60,2026,Keldon Johnson,0.2853,0.1608,436,215.5
Kelly Olynyk,24,15,9,51,1,52,9,43,77,10,2026,Kelly Olynyk,0.2941,0.1169,76,31.5
Kelly Oubre Jr.,50,23,27,134,7,202,40,162,342,27,2026,Kelly Oubre Jr.,0.1716,0.117,252,74.5
Kennedy Chandler,6,2,4,18,2,31,4,27,43,4,2026,Kennedy Chandler,0.1111,0.093,37,7.0
Kenrich Williams,59,31,28,149,5,128,33,95,203,10,2026,Kenrich Williams,0.2081,0.1626,187,79.5
Kentavious Caldwell-Pope,20,7,13,46,2,105,17,88,155,12,2026,Kentavious Caldwell-Pope,0.1522,0.1097,125,27.5
Keon Ellis,38,10,28,80,5,97,15,82,176,11,2026,Keon Ellis,0.125,0.0852,135,30.0
Keshad Johnson,26,15,11,50,3,36,12,24,78,13,2026,Keshad Johnson,0.3,0.1538,62,34.5
Keshon Gilbert,2,1,1,4,0,3,0,3,10,1,2026,Keshon Gilbert,0.25,0.0,5,1.5
Kevin Durant,41,8,31,102,5,379,113,266,555,42,2026,Kevin Durant,0.0784,0.2036,420,125.0
Kevin Huerter,34,15,19,103,2,206,42,161,321,27,2026,Kevin Huerter,0.1456,0.1308,240,64.5
Kevin Love,53,37,16,114,7,152,60,92,261,32,2026,Kevin Love,0.3246,0.2299,205,115.5
Kevin McCullar Jr.,11,4,7,23,1,17,4,13,26,1,2026,Kevin McCullar Jr.,0.1739,0.1538,28,10.0
Kevin Porter Jr.,34,12,22,92,1,164,27,137,274,23,2026,Kevin Porter Jr.,0.1304,0.0985,198,45.0
Kevon Looney,48,30,17,85,1,70,20,50,113,8,2026,Kevon Looney,0.3529,0.177,118,65.0
Keyonte George,23,4,19,81,3,173,23,149,256,19,2026,Keyonte George,0.0494,0.0898,196,29.0
Khaman Maluach,47,36,11,111,5,82,18,64,150,20,2026,Khaman Maluach,0.3243,0.12,129,72.0
Khris Middleton,51,21,30,96,3,180,39,141,302,22,2026,Khris Middleton,0.2188,0.1291,231,70.5
Killian Hayes,4,0,4,12,1,50,6,44,72,0,2026,Killian Hayes,0.0,0.0833,54,6.0
KJ Simpson,9,3,6,21,1,28,8,20,41,4,2026,KJ Simpson,0.1429,0.1951,37,12.5
Klay Thompson,18,6,12,42,0,122,29,92,217,24,2026,Klay Thompson,0.1429,0.1336,140,38.0
Kobe Brown,68,39,29,149,1,117,28,89,199,10,2026,Kobe Brown,0.2617,0.1407,185,86.5
Kobe Bufkin,1,0,1,5,0,12,1,11,20,2,2026,Kobe Bufkin,0.0,0.05,13,1.0
Kobe Sanders,29,13,16,72,2,124,26,98,224,22,2026,Kobe Sanders,0.1806,0.1161,153,45.5
Koby Brea,1,1,0,2,0,7,1,6,11,0,2026,Koby Brea,0.5,0.0909,8,2.5
Kon Knueppel,97,41,56,258,11,335,63,271,609,63,2026,Kon Knueppel,0.1589,0.1034,432,124.5
Kris Dunn,58,25,33,130,4,213,44,169,395,43,2026,Kris Dunn,0.1923,0.1114,271,81.5
Kris Murray,90,65,25,229,10,116,30,86,232,24,2026,Kris Murray,0.2838,0.1293,206,127.5
Kristaps Porzingis,40,34,6,101,1,127,54,73,218,25,2026,Kristaps Porzingis,0.3366,0.2477,167,105.0
Kristaps PorziÅ†Ä£is,40,34,6,101,1,127,54,73,218,25,2026,Kristaps Porziis,0.3366,0.2477,167,105.0
Kyle Anderson,41,19,22,80,0,99,32,67,176,18,2026,Kyle Anderson,0.2375,0.1818,140,60.5
Kyle Filipowski,144,85,58,342,6,404,123,277,578,31,2026,Kyle Filipowski,0.2485,0.2128,548,250.5
Kyle Kuzma,54,32,22,150,5,247,60,187,400,46,2026,Kyle Kuzma,0.2133,0.15,301,108.0
Kyle Lowry,0,0,0,2,0,9,2,7,18,2,2026,Kyle Lowry,0.0,0.1111,9,2.0
Kyshawn George,43,21,22,117,7,202,56,145,322,18,2026,Kyshawn George,0.1795,0.1739,245,87.5
Lachlan Olbrich,41,28,13,92,3,65,23,42,122,19,2026,Lachlan Olbrich,0.3043,0.1885,106,65.0
LaMelo Ball,65,28,37,164,8,282,66,216,420,33,2026,LaMelo Ball,0.1707,0.1571,347,108.0
Landry Shamet,23,7,16,55,4,69,9,60,149,18,2026,Landry Shamet,0.1273,0.0604,92,19.5
Larry Nance Jr.,29,17,12,69,0,64,12,52,117,12,2026,Larry Nance Jr.,0.2464,0.1026,93,37.5
Lauri Markkanen,81,53,28,182,5,201,61,140,302,21,2026,Lauri Markkanen,0.2912,0.202,282,140.5
Lawson Lovering,6,4,2,8,0,9,3,6,15,0,2026,Lawson Lovering,0.5,0.2,15,9.0
Leaky Black,15,6,8,23,0,60,13,47,93,5,2026,Leaky Black,0.2609,0.1398,75,22.0
LeBron James,43,21,22,137,1,321,70,251,485,40,2026,LeBron James,0.1533,0.1443,364,101.5
Leonard Miller,54,26,28,112,2,127,28,92,210,20,2026,Leonard Miller,0.2321,0.1333,181,67.0
Liam McNeeley,13,7,6,38,3,60,11,49,103,13,2026,Liam McNeeley,0.1842,0.1068,73,21.5
Lindy Waters III,3,2,1,10,0,26,9,17,42,5,2026,Lindy Waters III,0.2,0.2143,29,12.0
LJ Cryer,4,0,4,7,1,21,4,17,34,3,2026,LJ Cryer,0.0,0.1176,25,4.0
Lonzo Ball,26,13,13,63,0,114,30,84,180,14,2026,Lonzo Ball,0.2063,0.1667,140,49.5
Lucas Williamson,11,6,5,23,0,27,9,18,49,5,2026,Lucas Williamson,0.2609,0.1837,38,18.0
Luguentz Dort,56,23,33,145,2,189,55,134,337,31,2026,Luguentz Dort,0.1586,0.1632,245,89.5
Luka DonÄiÄ‡,41,18,22,116,1,454,121,333,681,50,2026,Luka Doni,0.1552,0.1777,495,148.0
Luka Garza,156,115,41,363,17,125,61,64,281,46,2026,Luka Garza,0.3168,0.2171,281,233.5
Luke Kennard,32,10,22,75,4,150,13,137,243,18,2026,Luke Kennard,0.1333,0.0535,182,28.0
Luke Kornet,180,127,54,360,11,233,92,141,450,68,2026,Luke Kornet,0.3528,0.2044,413,282.5
Luke Travers,9,2,7,18,0,15,5,10,21,0,2026,Luke Travers,0.1111,0.2381,24,8.0
Mac McClung,2,1,1,6,0,8,1,7,19,3,2026,Mac McClung,0.1667,0.0526,10,2.5
Malachi Smith,12,5,7,27,1,39,9,30,57,2,2026,Malachi Smith,0.1852,0.1579,51,16.5
Malaki Branham,12,4,8,26,0,32,8,24,56,6,2026,Malaki Branham,0.1538,0.1429,44,14.0
Malevy Leons,29,15,14,53,0,23,9,14,61,8,2026,Malevy Leons,0.283,0.1475,52,31.5
Malik Monk,15,3,12,58,2,102,22,80,173,15,2026,Malik Monk,0.0517,0.1272,117,26.5
Marcus Sasser,7,1,6,14,0,32,2,30,46,2,2026,Marcus Sasser,0.0714,0.0435,39,3.5
Marcus Smart,36,10,26,74,4,136,57,78,251,29,2026,Marcus Smart,0.1351,0.2271,172,72.0
MarJon Beauchamp,7,4,3,11,0,25,7,18,55,8,2026,MarJon Beauchamp,0.3636,0.1273,32,13.0
Mark Sears,1,0,1,1,0,1,0,1,2,0,2026,Mark Sears,0.0,0.0,2,0.0
Mark Williams,185,134,51,354,10,292,91,199,479,47,2026,Mark Williams,0.3785,0.19,477,292.0
Markelle Fultz,0,0,0,1,0,1,0,1,1,0,2026,Markelle Fultz,0.0,0.0,1,0.0
Marvin Bagley III,150,105,44,309,3,216,90,126,387,40,2026,Marvin Bagley III,0.3398,0.2326,366,247.5
Mason Plumlee,17,7,10,43,2,36,9,27,70,7,2026,Mason Plumlee,0.1628,0.1286,53,19.5
Matas Buzelis,77,40,37,196,9,371,72,298,636,77,2026,Matas Buzelis,0.2041,0.1132,448,132.0
Matisse Thybulle,17,3,14,31,1,42,9,33,71,7,2026,Matisse Thybulle,0.0968,0.1268,59,13.5
Max Christie,15,4,11,60,5,230,52,178,385,33,2026,Max Christie,0.0667,0.1351,245,58.0
Max Shulga,3,3,0,6,0,3,0,3,5,0,2026,Max Shulga,0.5,0.0,6,4.5
Max Strus,9,2,7,26,2,56,14,42,80,8,2026,Max Strus,0.0769,0.175,65,17.0
Maxi Kleber,36,23,13,77,2,48,12,36,86,8,2026,Maxi Kleber,0.2987,0.1395,84,46.5
Maxime Raynaud,142,78,64,349,11,414,122,292,658,63,2026,Maxime Raynaud,0.2235,0.1854,556,239.0
Micah Peavy,46,25,21,106,3,71,16,55,142,13,2026,Micah Peavy,0.2358,0.1127,117,53.5
Micah Potter,58,33,25,142,4,175,59,116,316,39,2026,Micah Potter,0.2324,0.1867,233,108.5
Michael Porter Jr.,69,33,36,178,7,298,76,222,461,36,2026,Michael Porter Jr.,0.1854,0.1649,367,125.5
Mikal Bridges,79,34,45,139,5,233,47,185,425,41,2026,Mikal Bridges,0.2446,0.1106,312,98.0
Mike Conley,18,5,13,38,1,74,14,60,138,11,2026,Mike Conley,0.1316,0.1014,92,21.5
Miles Bridges,75,30,45,181,2,375,86,289,594,50,2026,Miles Bridges,0.1657,0.1448,450,131.0
Miles Kelly,5,1,4,8,0,19,5,14,30,1,2026,Miles Kelly,0.125,0.1667,24,6.5
Miles McBride,24,8,16,58,1,76,18,57,149,17,2026,Miles McBride,0.1379,0.1208,100,30.0
Mitchell Robinson,252,191,60,412,8,273,127,146,421,30,2026,Mitchell Robinson,0.4636,0.3017,525,413.5
Mo Bamba,10,6,4,9,1,12,5,7,15,3,2026,Mo Bamba,0.6667,0.3333,22,14.0
Mohamed Diawara,15,9,6,40,0,79,13,66,120,9,2026,Mohamed Diawara,0.225,0.1083,94,26.5
Monte Morris,1,0,1,5,0,6,0,6,8,0,2026,Monte Morris,0.0,0.0,7,0.0
MontÃ© Morris,1,0,1,5,0,6,0,6,8,0,2026,Mont Morris,0.0,0.0,7,0.0
Moritz Wagner,27,16,11,93,3,86,16,68,144,17,2026,Moritz Wagner,0.172,0.1111,113,40.0
Moses Moody,51,25,26,128,8,149,35,114,276,29,2026,Moses Moody,0.1953,0.1268,200,72.5
Mouhamadou Gueye,2,2,0,5,0,4,0,4,8,2,2026,Mouhamadou Gueye,0.4,0.0,6,3.0
Mouhamed Gueye,89,64,25,215,6,186,60,126,324,30,2026,Mouhamed Gueye,0.2977,0.1852,275,156.0
Moussa Cisse,89,62,27,210,8,126,41,86,238,23,2026,Moussa Cisse,0.2952,0.1723,215,134.0
Moussa Diabate,273,198,75,795,34,362,99,263,697,119,2026,Moussa Diabate,0.2491,0.142,635,396.0
Moussa DiabatÃ©,273,198,75,795,34,362,99,263,697,119,2026,Moussa Diabat,0.2491,0.142,635,396.0
Myles Turner,74,45,28,169,5,296,111,185,621,92,2026,Myles Turner,0.2663,0.1787,370,178.5
Myron Gardner,39,21,18,110,3,83,15,67,127,11,2026,Myron Gardner,0.1909,0.1181,122,46.5
N'Faly Dante,3,3,0,5,0,4,1,3,5,0,2026,N'Faly Dante,0.6,0.2,7,5.5
Nae'Qwan Tomlin,85,58,27,190,11,100,22,78,189,20,2026,Nae'Qwan Tomlin,0.3053,0.1164,185,109.0
Naji Marshall,65,33,32,158,4,281,50,230,458,46,2026,Naji Marshall,0.2089,0.1092,346,99.5
Nate Williams,17,9,8,33,2,10,0,10,19,3,2026,Nate Williams,0.2727,0.0,27,13.5
Naz Reid,86,50,36,209,7,379,126,253,606,61,2026,Naz Reid,0.2392,0.2079,465,201.0
Neemias Queta,230,169,61,504,12,406,164,242,753,111,2026,Neemias Queta,0.3353,0.2178,636,417.5
Nic Claxton,168,112,56,397,8,310,92,218,529,45,2026,Nic Claxton,0.2821,0.1739,478,260.0
Nick Richards,77,59,16,209,4,166,52,107,279,23,2026,Nick Richards,0.2823,0.1864,243,140.5
Nick Smith Jr.,3,0,3,8,1,20,2,18,34,2,2026,Nick Smith Jr.,0.0,0.0588,23,2.0
Nickeil Alexander-Walker,52,19,33,173,8,216,44,172,380,31,2026,Nickeil Alexander-Walker,0.1098,0.1158,268,72.5
Nicolas Batum,23,7,16,56,0,161,36,125,259,25,2026,Nicolas Batum,0.125,0.139,184,46.5
Nigel Hayes,12,5,7,25,2,21,2,19,29,0,2026,Nigel Hayes,0.2,0.069,33,9.5
Nigel Hayes-Davis,12,5,7,25,2,21,2,19,29,0,2026,Nigel Hayes-Davis,0.2,0.069,33,9.5
Nikola JokiÄ‡,192,135,55,390,5,644,254,386,972,97,2026,Nikola Joki,0.3462,0.2613,836,456.5
Nikola JoviÄ‡,24,15,9,60,1,127,40,87,236,31,2026,Nikola Jovi,0.25,0.1695,151,62.5
Nikola TopiÄ‡,7,4,3,14,1,12,4,8,23,1,2026,Nikola Topi,0.2857,0.1739,19,10.0
Nikola Vucevic,125,78,47,268,9,412,139,273,648,61,2026,Nikola Vucevic,0.291,0.2145,537,256.0
Nikola VuÄeviÄ‡,125,78,47,268,9,412,139,273,648,61,2026,Nikola Vuevi,0.291,0.2145,537,256.0
Nique Clifford,65,27,38,153,5,217,36,181,376,34,2026,Nique Clifford,0.1765,0.0957,282,76.5
Noah Clowney,52,25,27,128,5,221,57,164,399,38,2026,Noah Clowney,0.1953,0.1429,273,94.5
Noah Penda,67,37,30,128,3,120,31,88,203,16,2026,Noah Penda,0.2891,0.1527,187,86.5
Nolan Traore,14,5,9,55,3,85,22,63,175,15,2026,Nolan Traore,0.0909,0.1257,99,29.5
Norchad Omier,4,2,2,9,0,3,1,2,5,0,2026,Norchad Omier,0.2222,0.2,7,4.0
Norman Powell,22,5,17,72,1,175,51,124,292,30,2026,Norman Powell,0.0694,0.1747,197,58.5
Obi Toppin,13,8,5,39,1,93,17,76,126,6,2026,Obi Toppin,0.2051,0.1349,106,29.0
Ochai Agbaji,46,24,22,106,4,95,30,65,169,18,2026,Ochai Agbaji,0.2264,0.1775,141,66.0
OG Anunoby,85,42,43,201,10,266,90,176,444,44,2026,OG Anunoby,0.209,0.2027,351,153.0
Olivier Sarr,2,1,1,5,0,9,4,5,15,2,2026,Olivier Sarr,0.2,0.2667,11,5.5
Olivier-Maxence Prosper,59,40,19,159,5,128,33,95,255,35,2026,Olivier-Maxence Prosper,0.2516,0.1294,187,93.0
Omer Yurtseven,13,7,6,29,1,17,5,12,34,1,2026,Omer Yurtseven,0.2414,0.1471,30,15.5
Onyeka Okongwu,140,90,50,306,9,422,135,287,705,76,2026,Onyeka Okongwu,0.2941,0.1915,562,270.0
Orlando Robinson,2,1,1,5,0,2,0,2,3,0,2026,Orlando Robinson,0.2,0.0,4,1.5
Oscar Tshiebwe,77,52,25,194,5,102,41,61,171,13,2026,Oscar Tshiebwe,0.268,0.2398,179,119.0
Oso Ighodaro,138,88,46,294,6,280,89,185,498,56,2026,Oso Ighodaro,0.2993,0.1787,418,221.0
Ousmane Dieng,29,21,8,56,2,151,38,113,239,21,2026,Ousmane Dieng,0.375,0.159,180,69.5
P.J. Washington,84,43,41,194,7,310,70,237,490,39,2026,P.J. Washington,0.2216,0.1429,394,134.5
PacÃ´me Dadiet,4,3,1,12,0,23,3,20,34,4,2026,Pacme Dadiet,0.25,0.0882,27,7.5
Paolo Banchero,85,43,41,250,8,519,105,412,772,64,2026,Paolo Banchero,0.172,0.136,604,169.5
Pascal Siakam,89,53,36,211,5,322,63,259,499,47,2026,Pascal Siakam,0.2512,0.1263,411,142.5
Pat Connaughton,15,6,9,34,3,46,16,30,77,5,2026,Pat Connaughton,0.1765,0.2078,61,25.0
Pat Spencer,51,17,34,106,3,105,19,86,198,23,2026,Pat Spencer,0.1604,0.096,156,44.5
Patrick Baldwin Jr.,12,5,7,18,1,11,3,8,22,2,2026,Patrick Baldwin Jr.,0.2778,0.1364,23,10.5
Patrick Williams,49,25,24,141,7,166,54,112,269,19,2026,Patrick Williams,0.1773,0.2007,215,91.5
Paul George,20,11,9,64,1,176,33,144,322,32,2026,Paul George,0.1719,0.1025,196,49.5
Paul Reed,123,90,32,224,6,157,59,98,296,35,2026,Paul Reed,0.4018,0.1993,280,194.0
Payton Pritchard,69,21,48,185,10,243,38,205,436,49,2026,Payton Pritchard,0.1135,0.0872,312,69.5
Payton Sandfort,1,1,0,1,0,9,1,8,12,0,2026,Payton Sandfort,1.0,0.0833,10,2.5
Pelle Larsson,68,32,36,180,7,172,40,131,280,26,2026,Pelle Larsson,0.1778,0.1429,240,88.0
Pete Nance,27,12,15,73,2,98,21,77,168,17,2026,Pete Nance,0.1644,0.125,125,39.0
Peyton Watson,49,20,29,128,9,215,47,168,363,39,2026,Peyton Watson,0.1562,0.1295,264,77.0
PJ Hall,33,24,9,73,3,42,14,28,76,5,2026,PJ Hall,0.3288,0.1842,75,50.0
Precious Achiuwa,177,127,50,378,17,315,105,210,525,57,2026,Precious Achiuwa,0.336,0.2,492,295.5
Quentin Grimes,46,14,32,119,4,227,51,176,408,46,2026,Quentin Grimes,0.1176,0.125,273,72.0
Quenton Jackson,28,8,20,72,3,86,12,74,159,18,2026,Quenton Jackson,0.1111,0.0755,114,24.0
Quinten Post,66,34,31,147,5,197,58,139,390,52,2026,Quinten Post,0.2313,0.1487,263,109.0
Rasheer Fleming,54,34,20,105,4,64,18,46,115,9,2026,Rasheer Fleming,0.3238,0.1565,118,69.0
Rayan Rupert,48,25,23,115,4,140,22,118,242,27,2026,Rayan Rupert,0.2174,0.0909,188,59.5
RayJ Dennis,8,2,6,17,1,18,2,16,34,6,2026,RayJ Dennis,0.1176,0.0588,26,5.0
Reed Sheppard,28,6,22,73,5,207,39,167,355,29,2026,Reed Sheppard,0.0822,0.1099,235,48.0
Riley Minix,2,1,1,4,0,4,0,4,9,0,2026,Riley Minix,0.25,0.0,6,1.5
RJ Barrett,55,24,31,153,1,239,48,191,383,32,2026,RJ Barrett,0.1569,0.1253,294,84.0
