player,season_year,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct,def_rim_fga_per_poss,rim_protection_above_avg,dsv_proxy,possessions
Walter Clayton Jr.,2026,42,19,114,91,131,0.6947,0.0443,-0.0292,78.17,2956
Wendell Carter Jr.,2026,60,49,415,200,327,0.6116,0.0684,0.0539,156.63,4783
Wendell Moore Jr.,2026,2,2,5,0,5,0.0,0.0413,0.6655,8.33,121
Will Richard,2026,79,9,105,69,96,0.7188,0.0334,-0.0533,122.38,2875
Will Riley,2026,54,9,156,113,160,0.7063,0.0461,-0.0408,83.47,3468
Xavier Tillman,2026,9,5,24,24,34,0.7059,0.0907,-0.0404,17.13,375
Yang Hansen,2026,3,10,46,39,67,0.5821,0.1026,0.0834,20.09,653
Yanic Konan Niederhuser,2026,5,30,80,58,102,0.5686,0.1176,0.0969,47.38,867
Yuki Kawamura,2026,9,0,26,10,16,0.625,0.0346,0.0405,14.15,462
Yves Missi,2026,20,101,202,158,284,0.5563,0.1064,0.1092,162.01,2670
Zaccharie Risacher,2026,59,36,186,122,177,0.6893,0.0548,-0.0238,120.29,3231
Zach Collins,2026,2,4,40,26,39,0.6667,0.1,-0.0012,6.95,390
Zach Edey,2026,7,21,79,22,38,0.5789,0.0659,0.0866,34.79,577
Zach LaVine,2026,28,10,100,75,92,0.8152,0.0363,-0.1497,38.23,2534
Zeke Nnaji,2026,17,24,103,55,97,0.567,0.075,0.0985,59.05,1294
Ziaire Williams,2026,76,21,104,78,104,0.75,0.0395,-0.0845,126.21,2634
Zion Williamson,2026,60,34,228,102,153,0.6667,0.0392,-0.0012,123.82,3901
Zyon Pullin,2026,1,0,2,6,9,0.6667,0.0938,-0.0012,1.49,96
