player,season_year,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct,def_rim_fga_per_poss,rim_protection_above_avg,dsv_proxy,possessions
Marcus Smart,2026,87,23,136,67,105,0.6381,0.029,0.0274,156.38,3622
MarJon Beauchamp,2026,9,4,25,13,20,0.65,0.0468,0.0155,17.81,427
Mark Sears,2026,0,0,1,2,3,0.6667,0.0526,-0.0012,-0.0,57
Mark Williams,2026,55,55,292,195,301,0.6478,0.1028,0.0177,142.83,2927
Markelle Fultz,2026,2,0,1,3,3,1.0,0.0353,-0.3345,2.0,85
Marvin Bagley III,2026,28,43,212,138,236,0.5847,0.0964,0.0808,104.07,2447
Mason Plumlee,2026,10,0,36,16,25,0.64,0.0681,0.0255,15.64,367
Matas Buzelis,2026,55,116,371,265,414,0.6401,0.0861,0.0254,209.02,4808
Matisse Thybulle,2026,60,16,42,22,22,1.0,0.0217,-0.3345,98.64,1016
Max Christie,2026,44,25,225,135,186,0.7258,0.0406,-0.0603,79.78,4582
Max Shulga,2026,1,0,3,3,4,0.75,0.0482,-0.0845,1.16,83
Max Strus,2026,3,0,56,19,26,0.7308,0.0424,-0.0653,2.8,613
Maxi Kleber,2026,18,11,48,59,83,0.7108,0.0868,-0.0453,34.24,956
Maxime Raynaud,2026,38,39,414,250,376,0.6649,0.0918,0.0006,96.23,4095
Micah Peavy,2026,43,9,71,34,57,0.5965,0.0294,0.069,77.43,1939
Micah Potter,2026,22,15,175,157,230,0.6826,0.1173,-0.0171,44.07,1960
Michael Porter Jr.,2026,55,13,298,132,180,0.7333,0.053,-0.0678,83.3,3397
Mikal Bridges,2026,107,62,233,149,225,0.6622,0.0411,0.0033,223.24,5470
Mike Conley,2026,35,14,74,63,91,0.6923,0.0444,-0.0268,64.06,2049
Miles Bridges,2026,46,34,375,136,203,0.67,0.0419,-0.0045,102.09,4850
Miles Kelly,2026,4,1,19,10,12,0.8333,0.041,-0.1678,4.99,293
Miles McBride,2026,35,9,76,56,88,0.6364,0.0406,0.0291,64.06,2169
Mitchell Robinson,2026,56,70,273,103,178,0.5787,0.0757,0.0868,169.45,2352
Mo Bamba,2026,0,3,12,3,11,0.2727,0.1222,0.3928,7.32,90
Mohamed Diawara,2026,17,6,79,43,53,0.8113,0.0407,-0.1458,23.77,1303
Monte Morris,2026,1,1,6,2,3,0.6667,0.021,-0.0012,2.5,143
Mont Morris,2026,1,1,6,2,3,0.6667,0.021,-0.0012,2.5,143
Moritz Wagner,2026,15,2,88,37,56,0.6607,0.0636,0.0048,24.77,881
Moses Moody,2026,55,32,147,113,167,0.6766,0.0532,-0.0111,112.65,3142
Mouhamadou Gueye,2026,2,1,4,4,8,0.5,0.0808,0.1655,5.32,99
Mouhamed Gueye,2026,61,39,186,97,159,0.6101,0.0639,0.0554,139.31,2489
Moussa Cisse,2026,19,45,126,92,155,0.5935,0.1364,0.072,84.66,1136
Moussa Diabate,2026,56,72,362,272,430,0.6326,0.1127,0.0329,170.15,3814
Moussa Diabat,2026,56,72,362,272,430,0.6326,0.1127,0.0329,170.15,3814
Myles Turner,2026,50,114,296,242,403,0.6005,0.104,0.065,215.2,3875
Myron Gardner,2026,20,8,83,22,33,0.6667,0.0365,-0.0012,37.96,903
N'Faly Dante,2026,2,0,4,1,2,0.5,0.0625,0.1655,3.33,32
Nae'Qwan Tomlin,2026,41,34,100,55,90,0.6111,0.043,0.0544,100.4,2091
Naji Marshall,2026,79,6,275,115,158,0.7278,0.0355,-0.0623,114.66,4448
Nate Williams,2026,5,0,10,7,13,0.5385,0.0267,0.127,9.15,487
