Player,Touches,Elbow Touches,FGM,FGA,FTM,FTA,Points,Passes,Assists,Turnovers,Fouls,FG%,Points Per Elbow Touch,Pass%,Ast%,TO%,Foul%,Possessions,Touches Per Poss,Elbow Touches Per Poss,season_year
Ben Saraf,2122,13,4,5,0,0,8,5,0,0,0,0.8,0.6154,0.3846,0.0,0.0,0.0,1876,1.1311,0.0069,2026
Ben Sheppard,2203,17,2,7,2,2,7,9,0,0,1,0.2857,0.4118,0.5294,0.0,0.0,0.0588,2931,0.7516,0.0058,2026
Bennedict Mathurin,2769,72,19,34,16,19,55,24,2,3,9,0.5588,0.7639,0.3333,0.0278,0.0417,0.125,3342,0.8285,0.0215,2026
Bez Mbeng,619,17,6,8,0,0,13,8,2,1,0,0.75,0.7647,0.4706,0.1176,0.0588,0.0,1080,0.5731,0.0157,2026
Bilal Coulibaly,2543,26,8,11,6,8,23,10,0,1,4,0.7273,0.8846,0.3846,0.0,0.0385,0.1538,3139,0.8101,0.0083,2026
Bismack Biyombo,163,10,0,2,0,0,0,8,1,0,0,0.0,0.0,0.8,0.1,0.0,0.0,280,0.5821,0.0357,2026
Blake Hinson,360,8,3,7,0,0,7,0,0,1,0,0.4286,0.875,0.0,0.0,0.125,0.0,609,0.5911,0.0131,2026
Blake Wesley,772,5,1,3,0,0,2,1,0,1,0,0.3333,0.4,0.2,0.0,0.2,0.0,766,1.0078,0.0065,2026
Bobby Portis,3048,64,20,30,1,2,42,30,6,3,1,0.6667,0.6562,0.4688,0.0938,0.0469,0.0156,3207,0.9504,0.02,2026
Bobi Klintman,101,3,0,2,0,0,0,1,0,0,0,0.0,0.0,0.3333,0.0,0.0,0.0,150,0.6733,0.02,2026
Bogdan Bogdanovic,786,5,0,1,0,0,0,3,1,0,0,0.0,0.0,0.6,0.2,0.0,0.0,886,0.8871,0.0056,2026
Bogdan BogdanoviÄ‡,786,5,0,1,0,0,0,3,1,0,0,0.0,0.0,0.6,0.2,0.0,0.0,886,0.8871,0.0056,2026
Bones Hyland,2754,8,3,3,0,0,6,4,1,0,0,1.0,0.75,0.5,0.125,0.0,0.0,2447,1.1255,0.0033,2026
Bradley Beal,177,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,243,0.7284,0.0041,2026
Branden Carlson,727,28,10,17,2,2,22,9,4,1,1,0.5882,0.7857,0.3214,0.1429,0.0357,0.0357,1000,0.727,0.028,2026
Brandin Podziemski,4846,65,16,24,3,4,37,33,6,5,2,0.6667,0.5692,0.5077,0.0923,0.0769,0.0308,4721,1.0265,0.0138,2026
Brandon Clarke,27,4,1,2,0,0,2,2,0,0,0,0.5,0.5,0.5,0.0,0.0,0.0,47,0.5745,0.0851,2026
Brandon Ingram,4241,78,18,44,8,10,44,21,2,5,5,0.4091,0.5641,0.2692,0.0256,0.0641,0.0641,5290,0.8017,0.0147,2026
Brandon Miller,3828,83,20,39,6,6,48,39,6,2,3,0.5128,0.5783,0.4699,0.0723,0.0241,0.0361,3983,0.9611,0.0208,2026
Brandon Williams,3167,19,4,8,4,4,12,6,1,2,2,0.5,0.6316,0.3158,0.0526,0.1053,0.1053,3127,1.0128,0.0061,2026
Brice Sensabaugh,2744,45,14,22,4,6,32,10,2,3,3,0.6364,0.7111,0.2222,0.0444,0.0667,0.0667,3708,0.74,0.0121,2026
Bronny James,747,1,0,0,0,0,0,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,745,1.0027,0.0013,2026
Brook Lopez,1889,71,12,27,7,10,31,34,9,3,5,0.4444,0.4366,0.4789,0.1268,0.0423,0.0704,3187,0.5927,0.0223,2026
Brooks Barnhizer,397,9,1,2,2,2,4,5,1,1,1,0.5,0.4444,0.5556,0.1111,0.1111,0.1111,705,0.5631,0.0128,2026
Bruce Brown,3034,65,18,36,8,10,47,20,6,3,6,0.5,0.7231,0.3077,0.0923,0.0462,0.0923,4060,0.7473,0.016,2026
