Player,Touches,Elbow Touches,FGM,FGA,FTM,FTA,Points,Passes,Assists,Turnovers,Fouls,FG%,Points Per Elbow Touch,Pass%,Ast%,TO%,Foul%,Possessions,Touches Per Poss,Elbow Touches Per Poss,season_year
Evan Mobley,4140,222,48,82,27,44,125,94,25,13,22,0.5854,0.5631,0.4234,0.1126,0.0586,0.0991,4199,0.9859,0.0529,2026
Franz Wagner,1838,60,11,31,6,8,28,22,5,0,3,0.3548,0.4667,0.3667,0.0833,0.0,0.05,2169,0.8474,0.0277,2026
Gabe Vincent,1204,7,1,1,2,2,4,5,2,0,1,1.0,0.5714,0.7143,0.2857,0.0,0.1429,1822,0.6608,0.0038,2026
Garrett Temple,149,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146,1.0205,0.0,2026
Garrison Mathews,255,3,1,1,2,2,4,0,0,1,1,1.0,1.3333,0.0,0.0,0.3333,0.3333,413,0.6174,0.0073,2026
Gary Harris,700,4,0,1,0,0,0,2,1,1,0,0.0,0.0,0.5,0.25,0.25,0.0,1280,0.5469,0.0031,2026
Gary Payton II,2064,76,26,32,2,6,56,37,10,1,3,0.8125,0.7368,0.4868,0.1316,0.0132,0.0395,2278,0.9061,0.0334,2026
Gary Trent Jr.,1291,3,1,3,0,0,2,0,0,0,0,0.3333,0.6667,0.0,0.0,0.0,0.0,2721,0.4745,0.0011,2026
GG Jackson,2107,19,9,10,0,0,18,8,1,1,0,0.9,0.9474,0.4211,0.0526,0.0526,0.0,2457,0.8575,0.0077,2026
Giannis Antetokounmpo,2553,168,40,67,19,26,98,75,20,8,12,0.597,0.5833,0.4464,0.119,0.0476,0.0714,2123,1.2025,0.0791,2026
Goga Bitadze,1402,69,13,19,6,12,34,42,2,2,4,0.6842,0.4928,0.6087,0.029,0.029,0.058,2006,0.6989,0.0344,2026
Gradey Dick,1228,27,12,17,4,4,28,5,0,1,2,0.7059,1.037,0.1852,0.0,0.037,0.0741,2231,0.5504,0.0121,2026
Grant Nelson,59,15,0,3,1,2,1,9,3,1,1,0.0,0.0667,0.6,0.2,0.0667,0.0667,69,0.8551,0.2174,2026
Grant Williams,977,14,3,3,0,0,6,7,2,2,0,1.0,0.4286,0.5,0.1429,0.1429,0.0,1441,0.678,0.0097,2026
Grayson Allen,2751,22,4,5,2,4,11,14,3,1,2,0.8,0.5,0.6364,0.1364,0.0455,0.0909,2973,0.9253,0.0074,2026
Guerschon Yabusele,1415,44,9,18,0,2,19,23,2,1,1,0.5,0.4318,0.5227,0.0455,0.0227,0.0227,2110,0.6706,0.0209,2026
Gui Santos,2554,53,10,16,5,6,25,31,11,1,3,0.625,0.4717,0.5849,0.2075,0.0189,0.0566,2764,0.924,0.0192,2026
Harrison Barnes,2427,48,6,13,3,4,16,27,3,4,2,0.4615,0.3333,0.5625,0.0625,0.0833,0.0417,4119,0.5892,0.0117,2026
Harrison Ingram,33,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,55,0.6,0.0182,2026
Hayden Gray,26,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.5,0.0,2026
Haywood Highsmith,101,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,175,0.5771,0.0057,2026
Herbert Jones,2499,23,3,10,2,2,9,10,3,2,1,0.3,0.3913,0.4348,0.1304,0.087,0.0435,3285,0.7607,0.007,2026
Hugo GonzÃ¡lez,1274,18,7,8,0,0,14,10,2,0,0,0.875,0.7778,0.5556,0.1111,0.0,0.0,2123,0.6001,0.0085,2026
Hunter Dickinson,60,3,0,1,0,0,0,2,1,0,0,0.0,0.0,0.6667,0.3333,0.0,0.0,96,0.625,0.0312,2026
Hunter Sallis,62,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,55,1.1273,0.0,2026
Hunter Tyson,212,2,0,1,0,0,0,1,1,0,0,0.0,0.0,0.5,0.5,0.0,0.0,318,0.6667,0.0063,2026
Immanuel Quickley,5043,40,11,18,4,4,27,19,8,1,2,0.6111,0.675,0.475,0.2,0.025,0.05,4545,1.1096,0.0088,2026
Isaac Jones,27,1,0,0,2,2,2,0,0,0,1,0.0,2.0,0.0,0.0,0.0,1.0,69,0.3913,0.0145,2026
Isaac Okoro,1851,39,9,18,4,4,22,16,3,1,2,0.5,0.5641,0.4103,0.0769,0.0256,0.0513,3568,0.5188,0.0109,2026
Isaiah Collier,3981,16,7,8,0,0,14,8,3,0,0,0.875,0.875,0.5,0.1875,0.0,0.0,3183,1.2507,0.005,2026
Isaiah Crawford,83,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,181,0.4586,0.0,2026
Isaiah Hartenstein,2149,154,33,59,12,22,82,73,18,5,12,0.5593,0.5325,0.474,0.1169,0.0325,0.0779,2336,0.9199,0.0659,2026
Isaiah Jackson,1156,75,17,27,2,2,38,39,7,6,1,0.6296,0.5067,0.52,0.0933,0.08,0.0133,1845,0.6266,0.0407,2026
Isaiah Joe,1968,20,4,6,2,2,10,11,3,2,1,0.6667,0.5,0.55,0.15,0.1,0.05,3108,0.6332,0.0064,2026
Isaiah Livers,379,6,1,1,0,0,2,5,2,0,0,1.0,0.3333,0.8333,0.3333,0.0,0.0,713,0.5316,0.0084,2026
Isaiah Stevens,94,2,1,1,0,0,2,0,0,1,0,1.0,1.0,0.0,0.0,0.5,0.0,84,1.119,0.0238,2026
Isaiah Stewart,1458,124,27,48,8,12,62,63,15,5,5,0.5625,0.5,0.5081,0.121,0.0403,0.0403,2627,0.555,0.0472,2026
Ivica Zubac,2304,227,57,99,4,8,123,103,11,14,4,0.5758,0.5419,0.4537,0.0485,0.0617,0.0176,2898,0.795,0.0783,2026
Ja Morant,1431,6,2,2,0,0,4,3,1,1,0,1.0,0.6667,0.5,0.1667,0.1667,0.0,1228,1.1653,0.0049,2026
Ja'Kobe Walter,1784,27,9,10,7,8,26,12,4,1,4,0.9,0.963,0.4444,0.1481,0.037,0.1481,3001,0.5945,0.009,2026
Jabari Smith Jr.,3999,93,25,48,9,12,61,29,5,7,6,0.5208,0.6559,0.3118,0.0538,0.0753,0.0645,5377,0.7437,0.0173,2026
Jabari Walker,906,25,4,9,6,6,14,12,2,0,3,0.4444,0.56,0.48,0.08,0.0,0.12,1580,0.5734,0.0158,2026
Jacob Toppin,35,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,32,1.0938,0.0312,2026
Jaden Hardy,1313,4,2,3,0,0,4,0,0,1,0,0.6667,1.0,0.0,0.0,0.25,0.0,1887,0.6958,0.0021,2026
Jaden Ivey,1097,11,4,5,0,0,9,5,0,0,0,0.8,0.8182,0.4545,0.0,0.0,0.0,1355,0.8096,0.0081,2026
Jaden McDaniels,3369,34,17,21,0,0,34,11,4,1,0,0.8095,1.0,0.3235,0.1176,0.0294,0.0,4753,0.7088,0.0072,2026
Jae'Sean Tate,524,12,7,8,0,0,15,2,0,0,0,0.875,1.25,0.1667,0.0,0.0,0.0,783,0.6692,0.0153,2026
Jahmai Mashack,1112,23,7,16,2,4,16,3,1,1,2,0.4375,0.6957,0.1304,0.0435,0.0435,0.087,1424,0.7809,0.0162,2026
Jahmir Young,132,2,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,128,1.0312,0.0156,2026
Jahmyl Telfort,30,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.4688,0.0,2026
Jaime Jaquez Jr.,4900,59,22,30,4,4,50,24,9,3,2,0.7333,0.8475,0.4068,0.1525,0.0508,0.0339,4524,1.0831,0.013,2026
Jake LaRavia,3034,46,20,28,3,6,45,12,1,1,3,0.7143,0.9783,0.2609,0.0217,0.0217,0.0652,4217,0.7195,0.0109,2026
Jakob Poeltl,1702,165,56,83,9,14,124,59,13,12,7,0.6747,0.7515,0.3576,0.0788,0.0727,0.0424,2348,0.7249,0.0703,2026
Jalen Brunson,6755,29,8,10,0,0,16,15,6,3,0,0.8,0.5517,0.5172,0.2069,0.1034,0.0,5243,1.2884,0.0055,2026
Jalen Duren,3470,284,79,130,37,50,202,101,16,14,24,0.6077,0.7113,0.3556,0.0563,0.0493,0.0845,4075,0.8515,0.0697,2026
Jalen Green,1532,9,6,7,0,0,12,2,0,0,0,0.8571,1.3333,0.2222,0.0,0.0,0.0,1691,0.906,0.0053,2026
Jalen Johnson,6423,159,57,84,15,18,132,56,25,6,9,0.6786,0.8302,0.3522,0.1572,0.0377,0.0566,5390,1.1917,0.0295,2026
Jalen Pickett,1457,16,3,6,0,0,6,10,0,0,0,0.5,0.375,0.625,0.0,0.0,0.0,1615,0.9022,0.0099,2026
Jalen Slawson,568,9,4,5,0,2,8,2,0,1,1,0.8,0.8889,0.2222,0.0,0.1111,0.1111,641,0.8861,0.014,2026
Jalen Smith,1827,83,18,31,10,14,47,35,5,6,7,0.5806,0.5663,0.4217,0.0602,0.0723,0.0843,2305,0.7926,0.036,2026
Jalen Suggs,3700,10,1,3,0,0,2,6,1,1,0,0.3333,0.2,0.6,0.1,0.1,0.0,3360,1.1012,0.003,2026
Jalen Williams,1807,25,8,9,2,2,18,14,5,0,1,0.8889,0.72,0.56,0.2,0.0,0.04,1957,0.9234,0.0128,2026
Jalen Wilson,1220,8,2,3,0,0,4,4,0,0,0,0.6667,0.5,0.5,0.0,0.0,0.0,1714,0.7118,0.0047,2026
Jamal Cain,571,11,1,4,2,2,4,5,1,0,1,0.25,0.3636,0.4545,0.0909,0.0,0.0909,993,0.575,0.0111,2026
Jamal Murray,5720,80,22,31,20,21,66,34,11,3,9,0.7097,0.825,0.425,0.1375,0.0375,0.1125,5446,1.0503,0.0147,2026
Jamal Shead,4029,28,3,11,0,0,6,15,3,0,0,0.2727,0.2143,0.5357,0.1071,0.0,0.0,3781,1.0656,0.0074,2026
Jamaree Bouyea,1282,6,2,2,0,0,4,2,0,1,0,1.0,0.6667,0.3333,0.0,0.1667,0.0,1266,1.0126,0.0047,2026
James Harden,5366,26,4,7,6,6,14,14,2,1,1,0.5714,0.5385,0.5385,0.0769,0.0385,0.0385,4929,1.0887,0.0053,2026
James Wiseman,61,1,0,0,1,2,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1.0,124,0.4919,0.0081,2026
Jamir Watkins,1297,32,7,11,3,8,17,16,2,0,4,0.6364,0.5312,0.5,0.0625,0.0,0.125,2163,0.5996,0.0148,2026
Jamison Battle,575,11,4,6,0,0,8,5,1,0,0,0.6667,0.7273,0.4545,0.0909,0.0,0.0,1062,0.5414,0.0104,2026
Jarace Walker,3215,58,13,23,7,10,34,25,4,2,5,0.5652,0.5862,0.431,0.069,0.0345,0.0862,4139,0.7768,0.014,2026
Jared McCain,1930,12,2,5,2,2,6,5,0,1,1,0.4,0.5,0.4167,0.0,0.0833,0.0833,2416,0.7988,0.005,2026
Jaren Jackson Jr.,2340,44,7,21,12,14,27,11,2,0,5,0.3333,0.6136,0.25,0.0455,0.0,0.1136,3050,0.7672,0.0144,2026
Jarred Vanderbilt,1450,32,5,8,3,6,13,17,5,2,3,0.625,0.4062,0.5312,0.1562,0.0625,0.0938,2296,0.6315,0.0139,2026
Jarrett Allen,2091,226,70,129,30,42,171,57,9,12,21,0.5426,0.7566,0.2522,0.0398,0.0531,0.0929,3116,0.6711,0.0725,2026
Jase Richardson,919,8,3,4,0,0,6,3,0,1,0,0.75,0.75,0.375,0.0,0.125,0.0,1201,0.7652,0.0067,2026
Javon Small,1615,15,3,7,2,2,9,7,4,0,0,0.4286,0.6,0.4667,0.2667,0.0,0.0,1754,0.9208,0.0086,2026
Javonte Cooke,175,2,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,195,0.8974,0.0103,2026
Javonte Green,1978,47,13,22,7,8,33,15,5,3,4,0.5909,0.7021,0.3191,0.1064,0.0638,0.0851,2983,0.6631,0.0158,2026
Jaxson Hayes,1345,118,31,41,20,34,84,51,6,5,17,0.7561,0.7119,0.4322,0.0508,0.0424,0.1441,2467,0.5452,0.0478,2026
Jay Huff,2386,55,9,19,12,12,31,27,5,2,6,0.4737,0.5636,0.4909,0.0909,0.0364,0.1091,3595,0.6637,0.0153,2026
Jaylen Brown,4859,55,13,25,5,6,31,18,9,3,3,0.52,0.5636,0.3273,0.1636,0.0545,0.0545,4905,0.9906,0.0112,2026
Jaylen Clark,813,10,1,1,0,0,2,9,4,0,0,1.0,0.2,0.9,0.4,0.0,0.0,1821,0.4465,0.0055,2026
Jaylen Wells,2167,30,14,18,3,6,32,6,1,1,3,0.7778,1.0667,0.2,0.0333,0.0333,0.1,3775,0.574,0.0079,2026
Jaylin Williams,2681,54,12,19,6,8,32,25,7,4,4,0.6316,0.5926,0.463,0.1296,0.0741,0.0741,2659,1.0083,0.0203,2026
Jaylon Tyson,2652,106,31,58,7,8,71,34,10,9,4,0.5345,0.6698,0.3208,0.0943,0.0849,0.0377,3638,0.729,0.0291,2026
Jayson Kent,19,1,1,1,0,0,3,0,0,0,0,1.0,3.0,0.0,0.0,0.0,0.0,42,0.4524,0.0238,2026
Jayson Tatum,1220,18,6,8,0,0,12,10,3,0,0,0.75,0.6667,0.5556,0.1667,0.0,0.0,1047,1.1652,0.0172,2026
JD Davison,428,2,0,0,0,0,0,1,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,427,1.0023,0.0047,2026
Jeenathan Williams,261,10,3,5,2,2,8,2,0,1,1,0.6,0.8,0.2,0.0,0.1,0.1,477,0.5472,0.021,2026
Jeff Green,194,5,1,2,0,0,2,2,0,1,0,0.5,0.4,0.4,0.0,0.2,0.0,345,0.5623,0.0145,2026
Jerami Grant,2637,39,6,12,4,4,16,19,2,4,2,0.5,0.4103,0.4872,0.0513,0.1026,0.0513,3599,0.7327,0.0108,2026
Jeremiah Fears,4615,32,13,19,0,2,27,10,1,2,1,0.6842,0.8438,0.3125,0.0312,0.0625,0.0312,4439,1.0396,0.0072,2026
Jeremiah Robinson-Earl,477,4,1,2,2,2,4,1,0,0,1,0.5,1.0,0.25,0.0,0.0,0.25,756,0.631,0.0053,2026
Jeremy Sochan,685,40,14,19,2,4,31,18,3,1,2,0.7368,0.775,0.45,0.075,0.025,0.05,950,0.7211,0.0421,2026
Jericho Sims,1960,120,15,20,4,4,34,88,9,7,2,0.75,0.2833,0.7333,0.075,0.0583,0.0167,2564,0.7644,0.0468,2026
Jett Howard,755,8,3,4,0,0,6,3,2,1,0,0.75,0.75,0.375,0.25,0.125,0.0,1420,0.5317,0.0056,2026
Jevon Carter,1661,5,0,0,2,2,2,3,1,1,1,0.0,0.4,0.6,0.2,0.2,0.2,1787,0.9295,0.0028,2026
Jimmy Butler,2441,64,12,21,16,16,45,30,11,1,9,0.5714,0.7031,0.4688,0.1719,0.0156,0.1406,2439,1.0008,0.0262,2026
Jimmy Butler III,2441,64,12,21,16,16,45,30,11,1,9,0.5714,0.7031,0.4688,0.1719,0.0156,0.1406,2439,1.0008,0.0262,2026
Joan Beringer,386,18,8,12,0,0,17,5,1,0,0,0.6667,0.9444,0.2778,0.0556,0.0,0.0,667,0.5787,0.027,2026
Jock Landale,2182,110,29,48,7,10,66,53,4,3,5,0.6042,0.6,0.4818,0.0364,0.0273,0.0455,3116,0.7003,0.0353,2026
Joe Ingles,284,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,343,0.828,0.0029,2026
Joel Embiid,2638,124,40,65,31,38,115,30,8,7,19,0.6154,0.9274,0.2419,0.0645,0.0565,0.1532,2481,1.0633,0.05,2026
John Collins,2490,71,32,45,7,8,75,17,6,2,4,0.7111,1.0563,0.2394,0.0845,0.0282,0.0563,3701,0.6728,0.0192,2026
John Konchar,1653,46,13,17,1,2,27,26,3,1,1,0.7647,0.587,0.5652,0.0652,0.0217,0.0217,2388,0.6922,0.0193,2026
John Poulakidas,270,3,0,1,0,0,0,1,1,0,0,0.0,0.0,0.3333,0.3333,0.0,0.0,520,0.5192,0.0058,2026
John Tonje,50,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,87,0.5747,0.0115,2026
Johni Broome,99,8,0,2,0,0,0,5,0,0,0,0.0,0.0,0.625,0.0,0.0,0.0,113,0.8761,0.0708,2026
Johnny Furphy,958,10,1,1,0,0,2,8,1,1,0,1.0,0.2,0.8,0.1,0.1,0.0,1326,0.7225,0.0075,2026
Johnny Juzang,121,2,2,2,0,0,4,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,193,0.6269,0.0104,2026
Jonas Valanciunas,1764,140,33,59,15,18,82,61,16,5,9,0.5593,0.5857,0.4357,0.1143,0.0357,0.0643,1721,1.025,0.0813,2026
Jonas ValanÄiÅ«nas,1764,140,33,59,15,18,82,61,16,5,9,0.5593,0.5857,0.4357,0.1143,0.0357,0.0643,1721,1.025,0.0813,2026
Jonathan Isaac,613,34,3,7,2,2,9,21,4,1,1,0.4286,0.2647,0.6176,0.1176,0.0294,0.0294,1061,0.5778,0.032,2026
Jonathan Kuminga,1498,39,9,14,5,6,23,17,6,3,3,0.6429,0.5897,0.4359,0.1538,0.0769,0.0769,1729,0.8664,0.0226,2026
Jonathan Mogbo,348,23,6,7,0,0,12,13,2,2,0,0.8571,0.5217,0.5652,0.087,0.087,0.0,512,0.6797,0.0449,2026
Jordan Clarkson,1630,36,11,18,2,2,24,14,5,1,1,0.6111,0.6667,0.3889,0.1389,0.0278,0.0278,2576,0.6328,0.014,2026
Jordan Goodwin,2736,24,2,8,2,2,6,14,5,1,0,0.25,0.25,0.5833,0.2083,0.0417,0.0,3165,0.8645,0.0076,2026
Jordan Hawkins,883,12,1,6,2,2,4,2,1,3,1,0.1667,0.3333,0.1667,0.0833,0.25,0.0833,1459,0.6052,0.0082,2026
Jordan McLaughlin,606,5,0,0,0,0,0,3,1,2,0,0.0,0.0,0.6,0.2,0.4,0.0,579,1.0466,0.0086,2026
Jordan Miller,2006,36,12,17,3,6,27,14,4,0,3,0.7059,0.75,0.3889,0.1111,0.0,0.0833,2603,0.7706,0.0138,2026
Jordan Poole,1745,3,2,2,0,0,4,1,0,0,0,1.0,1.3333,0.3333,0.0,0.0,0.0,1982,0.8804,0.0015,2026
Jordan Walsh,1237,22,3,5,2,2,8,16,3,0,1,0.6,0.3636,0.7273,0.1364,0.0,0.0455,2336,0.5295,0.0094,2026
Jose Alvarado,2906,16,7,8,0,0,14,7,1,1,0,0.875,0.875,0.4375,0.0625,0.0625,0.0,2770,1.0491,0.0058,2026
Josh Giddey,5079,48,8,17,5,6,22,23,2,4,3,0.4706,0.4583,0.4792,0.0417,0.0833,0.0625,3693,1.3753,0.013,2026
Josh Green,795,19,3,3,0,0,6,13,1,2,0,1.0,0.3158,0.6842,0.0526,0.1053,0.0,1794,0.4431,0.0106,2026
Josh Hart,3885,73,14,20,0,0,28,47,5,4,0,0.7,0.3836,0.6438,0.0685,0.0548,0.0,4033,0.9633,0.0181,2026
Josh Minott,935,14,3,3,1,2,7,7,1,2,0,1.0,0.5,0.5,0.0714,0.1429,0.0,1664,0.5619,0.0084,2026
Josh Oduro,81,3,0,2,0,0,0,1,0,0,0,0.0,0.0,0.3333,0.0,0.0,0.0,185,0.4378,0.0162,2026
Josh Okogie,1396,42,1,4,6,8,8,33,3,1,4,0.25,0.1905,0.7857,0.0714,0.0238,0.0952,2641,0.5286,0.0159,2026
Jrue Holiday,3599,64,8,18,6,6,24,38,11,5,3,0.4444,0.375,0.5938,0.1719,0.0781,0.0469,3291,1.0936,0.0194,2026
Julian Champagnie,3080,24,7,9,4,4,19,10,0,2,2,0.7778,0.7917,0.4167,0.0,0.0833,0.0833,4734,0.6506,0.0051,2026
Julian Phillips,384,4,1,2,0,0,2,1,0,1,0,0.5,0.5,0.25,0.0,0.25,0.0,911,0.4215,0.0044,2026
Julian Reese,603,78,16,35,8,12,40,27,3,6,6,0.4571,0.5128,0.3462,0.0385,0.0769,0.0769,841,0.717,0.0927,2026
Julian Strawther,1240,11,3,5,1,2,7,3,0,1,1,0.6,0.6364,0.2727,0.0,0.0909,0.0909,1774,0.699,0.0062,2026
Julius Randle,4731,150,36,58,16,20,95,69,18,7,10,0.6207,0.6333,0.46,0.12,0.0467,0.0667,5381,0.8792,0.0279,2026
Justin Champagnie,2077,40,12,21,3,4,29,14,4,3,2,0.5714,0.725,0.35,0.1,0.075,0.05,2908,0.7142,0.0138,2026
Justin Edwards,1418,11,1,6,1,2,3,4,0,0,1,0.1667,0.2727,0.3636,0.0,0.0,0.0909,2057,0.6894,0.0053,2026
Jusuf Nurkic,2372,123,42,71,7,16,92,36,11,6,8,0.5915,0.748,0.2927,0.0894,0.0488,0.065,2328,1.0189,0.0528,2026
Jusuf NurkiÄ‡,2372,123,42,71,7,16,92,36,11,6,8,0.5915,0.748,0.2927,0.0894,0.0488,0.065,2328,1.0189,0.0528,2026
Kadary Richmond,85,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,145,0.5862,0.0069,2026
Kam Jones,1243,13,4,4,0,0,8,9,1,0,0,1.0,0.6154,0.6923,0.0769,0.0,0.0,1303,0.954,0.01,2026
Karl-Anthony Towns,3924,151,38,60,24,27,107,58,14,10,15,0.6333,0.7086,0.3841,0.0927,0.0662,0.0993,4711,0.8329,0.0321,2026
Karlo MatkoviÄ‡,1031,38,6,9,3,4,15,26,5,1,2,0.6667,0.3947,0.6842,0.1316,0.0263,0.0526,1880,0.5484,0.0202,2026
Kasparas JakuÄionis,1736,10,0,3,0,0,0,6,3,0,1,0.0,0.0,0.6,0.3,0.0,0.1,2054,0.8452,0.0049,2026
Kawhi Leonard,3657,89,32,51,17,17,87,25,7,3,9,0.6275,0.9775,0.2809,0.0787,0.0337,0.1011,4090,0.8941,0.0218,2026
Keaton Wallace,1247,3,1,1,0,0,2,2,0,0,0,1.0,0.6667,0.6667,0.0,0.0,0.0,1093,1.1409,0.0027,2026
Keegan Murray,1055,23,6,16,2,2,14,5,1,1,1,0.375,0.6087,0.2174,0.0435,0.0435,0.0435,1628,0.648,0.0141,2026
Kel'el Ware,2303,36,9,17,1,2,19,17,1,1,1,0.5294,0.5278,0.4722,0.0278,0.0278,0.0278,3546,0.6495,0.0102,2026
Keldon Johnson,2987,48,15,20,5,6,35,22,4,2,2,0.75,0.7292,0.4583,0.0833,0.0417,0.0417,3980,0.7505,0.0121,2026
Kelly Olynyk,668,29,2,4,2,2,6,20,2,2,0,0.5,0.2069,0.6897,0.069,0.069,0.0,737,0.9064,0.0393,2026
Kelly Oubre Jr.,2288,16,6,7,0,0,12,7,1,1,0,0.8571,0.75,0.4375,0.0625,0.0625,0.0,3237,0.7068,0.0049,2026
Kennedy Chandler,793,8,2,3,0,0,4,2,0,1,0,0.6667,0.5,0.25,0.0,0.125,0.0,791,1.0025,0.0101,2026
Kenrich Williams,1224,26,7,8,3,6,17,13,5,1,3,0.875,0.6538,0.5,0.1923,0.0385,0.1154,1727,0.7087,0.0151,2026
Kentavious Caldwell-Pope,2061,11,2,5,0,0,4,6,2,0,0,0.4,0.3636,0.5455,0.1818,0.0,0.0,2250,0.916,0.0049,2026
Keon Ellis,1741,37,10,17,2,2,23,14,2,4,1,0.5882,0.6216,0.3784,0.0541,0.1081,0.027,3022,0.5761,0.0122,2026
Keshad Johnson,481,12,2,4,1,2,5,5,1,0,1,0.5,0.4167,0.4167,0.0833,0.0,0.0833,618,0.7783,0.0194,2026
Keshon Gilbert,110,3,0,2,0,0,0,1,0,0,0,0.0,0.0,0.3333,0.0,0.0,0.0,151,0.7285,0.0199,2026
Kevin Durant,5017,139,55,81,10,10,125,42,10,8,5,0.679,0.8993,0.3022,0.0719,0.0576,0.036,5727,0.876,0.0243,2026
Kevin Huerter,2590,35,18,24,0,0,36,10,2,0,0,0.75,1.0286,0.2857,0.0571,0.0,0.0,3256,0.7955,0.0107,2026
Kevin Love,1085,11,1,3,1,2,3,7,1,0,1,0.3333,0.2727,0.6364,0.0909,0.0,0.0909,1256,0.8639,0.0088,2026
Kevin McCullar Jr.,257,4,1,1,0,0,2,2,1,1,0,1.0,0.5,0.5,0.25,0.25,0.0,306,0.8399,0.0131,2026
Kevin Porter Jr.,3025,18,3,8,2,2,8,6,2,2,1,0.375,0.4444,0.3333,0.1111,0.1111,0.0556,2559,1.1821,0.007,2026
Kevon Looney,492,25,3,8,0,0,6,16,3,1,0,0.375,0.24,0.64,0.12,0.04,0.0,645,0.7628,0.0388,2026
Keyonte George,4175,28,9,11,11,12,33,6,1,2,5,0.8182,1.1786,0.2143,0.0357,0.0714,0.1786,3711,1.125,0.0075,2026
Khaman Maluach,530,24,7,12,2,2,16,8,0,3,1,0.5833,0.6667,0.3333,0.0,0.125,0.0417,816,0.6495,0.0294,2026
Khris Middleton,1947,25,4,9,2,2,11,12,2,3,1,0.4444,0.44,0.48,0.08,0.12,0.04,2991,0.651,0.0084,2026
Killian Hayes,866,3,1,2,0,0,2,1,1,0,0,0.5,0.6667,0.3333,0.3333,0.0,0.0,839,1.0322,0.0036,2026
KJ Simpson,564,4,1,1,0,0,2,2,0,0,0,1.0,0.5,0.5,0.0,0.0,0.0,527,1.0702,0.0076,2026
Klay Thompson,1632,18,4,9,2,4,11,5,0,2,2,0.4444,0.6111,0.2778,0.0,0.1111,0.1111,3050,0.5351,0.0059,2026
Kobe Brown,1405,15,3,5,2,2,8,7,0,2,1,0.6,0.5333,0.4667,0.0,0.1333,0.0667,1954,0.719,0.0077,2026
Kobe Bufkin,208,2,1,2,0,0,2,0,0,0,0,0.5,1.0,0.0,0.0,0.0,0.0,245,0.849,0.0082,2026
Kobe Sanders,1843,23,4,7,6,6,14,10,4,2,3,0.5714,0.6087,0.4348,0.1739,0.087,0.1304,2740,0.6726,0.0084,2026
Koby Brea,151,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,162,0.9321,0.0062,2026
Kon Knueppel,4146,62,18,31,2,2,40,24,5,4,1,0.5806,0.6452,0.3871,0.0806,0.0645,0.0161,5206,0.7964,0.0119,2026
Kris Dunn,4154,74,14,27,0,0,29,43,9,1,0,0.5185,0.3919,0.5811,0.1216,0.0135,0.0,4394,0.9454,0.0168,2026
Kris Murray,1154,32,5,6,3,4,13,19,5,4,2,0.8333,0.4062,0.5938,0.1562,0.125,0.0625,2771,0.4165,0.0115,2026
Kristaps Porzingis,1242,93,22,44,14,22,63,29,10,3,12,0.5,0.6774,0.3118,0.1075,0.0323,0.129,1541,0.806,0.0604,2026
Kristaps PorziÅ†Ä£is,1242,93,22,44,14,22,63,29,10,3,12,0.5,0.6774,0.3118,0.1075,0.0323,0.129,1541,0.806,0.0604,2026
Kyle Anderson,1430,53,11,17,2,4,24,27,8,5,2,0.6471,0.4528,0.5094,0.1509,0.0943,0.0377,1751,0.8167,0.0303,2026
Kyle Filipowski,3175,130,37,67,9,16,85,43,12,7,9,0.5522,0.6538,0.3308,0.0923,0.0538,0.0692,3781,0.8397,0.0344,2026
Kyle Kuzma,2972,89,24,46,7,10,57,34,13,3,4,0.5217,0.6404,0.382,0.1461,0.0337,0.0449,3626,0.8196,0.0245,2026
Kyle Lowry,175,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,252,0.6944,0.004,2026
Kyshawn George,2798,27,5,7,0,0,10,16,4,4,0,0.7143,0.3704,0.5926,0.1481,0.1481,0.0,2937,0.9527,0.0092,2026
Lachlan Olbrich,547,26,6,13,0,0,12,13,2,0,0,0.4615,0.4615,0.5,0.0769,0.0,0.0,733,0.7462,0.0355,2026
