player,team,minutes,off_poss,pts,fg2m,fg2a,Fg2Pct,fg3m,fg3a,Fg3Pct,non_heave_fg3_pct,ft_pts,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,assisted_2s_pct,NonPutbacksAssisted2sPct,assisted_3s_pct,fg3a_rate,shot_quality,efg_pct,ts_pct,pts_putbacks,fg2a_blocked,FG2APctBlocked,fg3a_blocked,FG3APctBlocked,usage,ppp,creation_rate
Brandon Williams,DAL,112,236,59,16,36,0.4444444444444444,5,11,0.4545454545454545,0.4545454545454545,12,12,20,15,0,0.375,0.375,1.0,0.2340425531914893,0.5550308510638299,0.5,0.5566037735849056,0,5,0.1388888888888889,0,0.0,24.43609022556391,0.25,0.3125
Ryan Dunn,PHX,112,225,41,12,18,0.6666666666666666,5,16,0.3125,0.3125,2,14,10,15,0,0.5833333333333334,1.0,1.0,0.4705882352941176,0.5850558823529411,0.5735294117647058,0.5694444444444444,10,1,0.0555555555555555,0,0.0,14.84375,0.1822,0.2083
Ajay Mitchell,OKC,107,221,55,19,31,0.6129032258064516,4,10,0.4,0.4,5,10,28,12,0,0.2631578947368421,0.2631578947368421,1.0,0.2439024390243902,0.5411621951219513,0.6097560975609756,0.625,0,0,0.0,0,0.0,19.10569105691057,0.2489,0.3684
Sandro Mamukelashvili,TOR,105,208,44,6,12,0.5,10,19,0.5263157894736842,0.5263157894736842,2,8,4,30,0,0.6666666666666666,0.8,1.0,0.6129032258064516,0.5756032258064515,0.6774193548387096,0.6470588235294118,2,0,0.0,0,0.0,15.06276150627615,0.2115,0.1667
Mitchell Robinson,NYK,105,204,30,15,28,0.5357142857142857,0,0,0.0,0.0,0,14,16,0,0,0.4666666666666667,1.0,0.0,0.0,0.6534821428571428,0.5357142857142857,0.5357142857142857,16,2,0.0714285714285714,0,0.0,13.306451612903226,0.1471,0.7667
Isaiah Jackson,IND,99,210,28,10,22,0.4545454545454545,0,0,0.0,0.0,8,12,8,0,0,0.6,0.6666666666666666,0.0,0.0,0.5772500000000002,0.4545454545454545,0.5185185185185185,2,2,0.0909090909090909,0,0.0,13.596491228070176,0.1333,0.7
Kasparas Jakučionis,MIA,98,224,35,3,8,0.375,8,17,0.4705882352941176,0.4705882352941176,5,6,0,24,0,1.0,1.0,1.0,0.68,0.577494,0.6,0.625,0,2,0.25,1,0.0588235294117647,12.64822134387352,0.1562,0.0
Kentavious Caldwell-Pope,MEM,98,195,30,7,21,0.3333333333333333,5,11,0.4545454545454545,0.4545454545454545,1,10,4,15,0,0.7142857142857143,0.7142857142857143,1.0,0.34375,0.5066437500000001,0.453125,0.4545454545454545,0,0,0.0,0,0.0,17.647058823529413,0.1538,0.1429
Caleb Martin,DAL,98,210,27,8,17,0.4705882352941176,2,8,0.25,0.25,5,10,6,6,0,0.625,0.625,1.0,0.32,0.5840420000000001,0.44,0.45,0,2,0.1176470588235294,0,0.0,14.830508474576272,0.1286,0.1875
Ochai Agbaji,TOR,97,195,38,12,19,0.631578947368421,3,11,0.2727272727272727,0.2727272727272727,5,16,8,9,0,0.6666666666666666,1.0,1.0,0.3666666666666666,0.5912000000000001,0.55,0.59375,8,4,0.2105263157894736,0,0.0,15.137614678899082,0.1949,0.1667
Keon Ellis,CLE,95,198,41,7,12,0.5833333333333334,9,14,0.6428571428571429,0.6428571428571429,0,10,4,27,0,0.7142857142857143,0.8333333333333334,1.0,0.5384615384615384,0.5716019230769229,0.7884615384615384,0.7884615384615384,2,2,0.1666666666666666,0,0.0,13.6986301369863,0.2071,0.1429
Tristan Vukcevic,WAS,94,204,85,20,33,0.6060606060606061,11,23,0.4782608695652174,0.4782608695652174,12,26,14,27,6,0.65,0.6842105263157895,0.8181818181818182,0.4107142857142857,0.5465633928571428,0.6517857142857143,0.6854838709677419,2,2,0.0606060606060606,0,0.0,28.508771929824565,0.4167,0.2659
Al Horford,GSW,93,193,52,9,13,0.6923076923076923,10,28,0.3571428571428571,0.3571428571428571,4,12,6,30,0,0.6666666666666666,0.8571428571428571,1.0,0.6829268292682927,0.5521585365853658,0.5853658536585366,0.6046511627906976,4,0,0.0,0,0.0,20.83333333333333,0.2694,0.1667
Julian Strawther,DEN,93,194,46,10,13,0.7692307692307693,8,19,0.4210526315789473,0.4210526315789473,2,16,4,24,0,0.8,0.8,1.0,0.59375,0.5719765625,0.6875,0.71875,0,0,0.0,0,0.0,16.19047619047619,0.2371,0.1
Dwight Powell,DAL,92,194,16,5,9,0.5555555555555556,0,0,0.0,0.0,6,8,2,0,0,0.8,1.0,0.0,0.0,0.6276,0.5555555555555556,0.5714285714285714,2,3,0.3333333333333333,0,0.0,9.134615384615383,0.0825,0.6
Vince Williams Jr.,MEM,91,184,20,7,18,0.3888888888888889,2,16,0.125,0.125,0,2,12,6,0,0.1428571428571428,0.1666666666666666,1.0,0.4705882352941176,0.5212338235294117,0.2941176470588235,0.2941176470588235,2,1,0.0555555555555555,0,0.0,18.867924528301884,0.1087,0.4286
Pat Spencer,GSW,91,188,45,9,16,0.5625,8,16,0.5,0.5,3,8,10,15,9,0.4444444444444444,0.5,0.625,0.5,0.5535015624999999,0.65625,0.6617647058823529,2,2,0.125,1,0.0625,16.74418604651163,0.2394,0.4653
Marvin Bagley III,DAL,90,180,49,21,32,0.65625,1,1,1.0,1.0,4,30,12,3,0,0.7142857142857143,0.9375,1.0,0.0303030303030303,0.5744318181818181,0.6818181818181818,0.6805555555555556,10,2,0.0625,0,0.0,20.895522388059703,0.2722,0.1429
Santi Aldama,MEM,90,192,55,16,26,0.6153846153846154,6,16,0.375,0.375,5,26,6,18,0,0.8125,0.8666666666666667,1.0,0.3809523809523809,0.5275952380952381,0.5952380952380952,0.6111111111111112,2,0,0.0,0,0.0,23.00884955752213,0.2865,0.0938
