player,team,minutes,off_poss,pts,fg2m,fg2a,Fg2Pct,fg3m,fg3a,Fg3Pct,non_heave_fg3_pct,ft_pts,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,assisted_2s_pct,NonPutbacksAssisted2sPct,assisted_3s_pct,fg3a_rate,shot_quality,efg_pct,ts_pct,pts_putbacks,fg2a_blocked,FG2APctBlocked,fg3a_blocked,FG3APctBlocked,usage,ppp,creation_rate
Dyson Daniels,ATL,746,1615,253,102,176,0.5795454545454546,8,39,0.2051282051282051,0.2051282051282051,25,126,78,24,0,0.6176470588235294,0.6702127659574468,1.0,0.1813953488372093,0.5721934883720929,0.5302325581395348,0.55,16,11,0.0625,0,0.0,14.9393605292172,0.1567,0.1912
Mikal Bridges,NYK,736,1472,364,98,160,0.6125,48,110,0.4363636363636363,0.4363636363636363,24,158,38,144,0,0.8061224489795918,0.8315789473684211,1.0,0.4074074074074074,0.5688503703703706,0.6296296296296297,0.6453900709219859,6,8,0.05,0,0.0,17.904191616766468,0.2473,0.0969
Donte DiVincenzo,MIN,727,1503,290,22,47,0.4680851063829787,74,199,0.371859296482412,0.371859296482412,24,28,16,204,18,0.6363636363636364,0.7,0.918918918918919,0.8089430894308943,0.5638662601626018,0.540650406504065,0.562015503875969,4,2,0.0425531914893617,0,0.0,17.759237187127532,0.1929,0.2224
Julius Randle,MIN,727,1503,430,110,207,0.5314009661835749,56,141,0.3971631205673759,0.3971631205673759,42,90,130,144,24,0.4090909090909091,0.4368932038834951,0.8571428571428571,0.4051724137931034,0.5354794540229887,0.5574712643678161,0.5779569892473119,14,8,0.038647342995169,0,0.0,25.446960667461266,0.2861,0.3669
Jalen Johnson,ATL,721,1566,441,131,242,0.5413223140495868,33,102,0.3235294117647059,0.3235294117647059,80,138,124,90,9,0.5267175572519084,0.575,0.9090909090909092,0.2965116279069767,0.5448411337209301,0.5247093023255814,0.5697674418604651,22,21,0.0867768595041322,1,0.0098039215686274,25.61044860874503,0.2816,0.2821
Rudy Gobert,MIN,703,1451,243,98,140,0.7,0,0,0.0,0.0,47,134,62,0,0,0.6836734693877551,0.943661971830986,0.0,0.0,0.6622478571428569,0.7,0.675,54,16,0.1142857142857142,0,0.0,12.915129151291511,0.1675,0.6582
Nickeil Alexander-Walker,ATL,703,1521,415,74,130,0.5692307692307692,72,168,0.4285714285714285,0.4285714285714285,51,80,68,210,6,0.5405405405405406,0.5405405405405406,0.9722222222222222,0.5637583892617449,0.572501342281879,0.610738255033557,0.64576802507837,0,13,0.1,1,0.0059523809523809,20.32615026208503,0.2728,0.2436
Karl-Anthony Towns,NYK,692,1382,400,102,177,0.576271186440678,36,88,0.4090909090909091,0.4090909090909091,88,104,100,102,6,0.5098039215686274,0.6265060240963856,0.9444444444444444,0.3320754716981132,0.5691666037735849,0.5886792452830188,0.6456310679611651,38,15,0.0847457627118644,1,0.0113636363636363,23.64563416188655,0.2894,0.2729
Desmond Bane,ORL,678,1412,380,102,158,0.6455696202531646,44,96,0.4583333333333333,0.4583333333333333,44,116,88,123,9,0.5686274509803921,0.6041666666666666,0.9318181818181818,0.3779527559055118,0.5463334645669292,0.6614173228346457,0.6900369003690037,12,13,0.0822784810126582,2,0.0208333333333333,19.371391917896087,0.2691,0.2498
Jalen Brunson,NYK,675,1351,404,102,211,0.4834123222748815,49,131,0.3740458015267175,0.3740458015267175,53,64,140,105,42,0.3137254901960784,0.3137254901960784,0.7142857142857143,0.3830409356725146,0.5114397660818714,0.5131578947368421,0.5447154471544715,0,9,0.0426540284360189,0,0.0,26.609724047306177,0.299,0.486
DeMar DeRozan,SAC,672,1384,350,123,226,0.5442477876106194,12,34,0.3529411764705882,0.3529411764705882,68,108,138,33,3,0.4390243902439024,0.453781512605042,0.9166666666666666,0.1307692307692307,0.4713005769230769,0.5423076923076923,0.5945017182130584,8,11,0.0486725663716814,0,0.0,20.076481835564053,0.2529,0.3222
Amen Thompson,HOU,664,1302,328,132,216,0.6111111111111112,6,27,0.2222222222222222,0.2222222222222222,46,136,128,18,0,0.5151515151515151,0.5619834710743802,1.0,0.1111111111111111,0.5595220164609054,0.5802469135802469,0.6096654275092936,22,18,0.0833333333333333,0,0.0,19.920582395764395,0.2519,0.2424
Jaden McDaniels,MIN,661,1370,331,101,156,0.6474358974358975,32,68,0.4705882352941176,0.4705882352941176,33,128,74,93,3,0.6336633663366337,0.6808510638297872,0.96875,0.3035714285714285,0.5604113839285715,0.6651785714285714,0.6854166666666667,14,8,0.0512820512820512,2,0.0294117647058823,18.19371727748691,0.2416,0.1988
Duncan Robinson,DET,658,1353,301,23,44,0.5227272727272727,80,162,0.4938271604938271,0.4938271604938271,15,36,10,234,6,0.782608695652174,0.8571428571428571,0.975,0.7864077669902912,0.5678310679611649,0.6941747572815534,0.7065727699530516,4,3,0.0681818181818181,0,0.0,13.959390862944163,0.2225,0.1212
Kon Knueppel,CHA,657,1356,389,60,102,0.5882352941176471,82,155,0.5290322580645161,0.5290322580645161,23,74,46,237,9,0.6166666666666667,0.6271186440677966,0.9634146341463414,0.603112840466926,0.5605904296875,0.7120622568093385,0.7203703703703703,2,12,0.1176470588235294,0,0.0,19.120458891013385,0.2869,0.21
Kevin Durant,HOU,656,1291,407,114,196,0.5816326530612245,43,106,0.4056603773584906,0.4056603773584906,50,132,96,108,21,0.5789473684210527,0.5892857142857143,0.8372093023255814,0.3509933774834437,0.4979372516556291,0.5910596026490066,0.6188271604938271,4,7,0.0357142857142857,0,0.0,24.563758389261743,0.3153,0.2919
Jamal Murray,DEN,656,1331,451,100,187,0.5347593582887701,66,151,0.4370860927152318,0.4370860927152318,53,92,108,135,63,0.46,0.46,0.6818181818181818,0.4467455621301775,0.5251825443786982,0.5887573964497042,0.6211699164345403,0,19,0.1016042780748663,1,0.0066225165562913,26.78812415654521,0.3388,0.4291
Jabari Smith Jr.,HOU,648,1268,284,58,100,0.58,45,109,0.4128440366972477,0.4128440366972477,33,82,34,135,0,0.7068965517241379,0.7454545454545455,1.0,0.5215311004784688,0.540349043062201,0.6004784688995215,0.6288888888888889,6,8,0.08,0,0.0,16.937669376693766,0.224,0.1466
Wendell Carter Jr.,ORL,641,1339,262,75,122,0.6147540983606558,28,74,0.3783783783783784,0.3783783783783784,28,124,26,84,0,0.8266666666666667,0.96875,1.0,0.3775510204081632,0.5697528061224493,0.5969387755102041,0.6150234741784038,22,10,0.081967213114754,0,0.0,16.216216216216214,0.1957,0.0867
Onyeka Okongwu,ATL,632,1372,347,72,134,0.5373134328358209,56,136,0.4117647058823529,0.4117647058823529,35,104,40,168,0,0.7222222222222222,0.8,1.0,0.5037037037037037,0.5676983333333333,0.5777777777777777,0.6045296167247387,14,14,0.1044776119402985,0,0.0,20.442708333333336,0.2529,0.1389
Deandre Ayton,LAL,631,1305,281,130,190,0.6842105263157895,0,0,0.0,0.0,21,238,22,0,0,0.9153846153846154,1.0,0.0,0.0,0.5559826315789472,0.6842105263157895,0.6820388349514563,22,5,0.0263157894736842,0,0.0,16.445066480055985,0.2153,0.5423
Scottie Barnes,TOR,626,1269,293,105,172,0.6104651162790697,20,62,0.3225806451612903,0.3225806451612903,23,118,92,57,3,0.5619047619047619,0.5784313725490197,0.95,0.2649572649572649,0.5421230769230769,0.5769230769230769,0.5907258064516129,6,5,0.0290697674418604,0,0.0,19.92982456140351,0.2309,0.244
Bam Adebayo,MIA,625,1356,429,109,228,0.4780701754385965,46,129,0.3565891472868217,0.3565891472868217,73,138,80,126,12,0.6330275229357798,0.69,0.9130434782608696,0.361344537815126,0.5388941176470586,0.4985994397759103,0.5389447236180904,18,11,0.0482456140350877,0,0.0,28.59947643979058,0.3164,0.227
Miles Bridges,CHA,622,1279,311,66,120,0.55,47,111,0.4234234234234234,0.4234234234234234,38,68,64,132,9,0.5151515151515151,0.5396825396825397,0.9361702127659576,0.4805194805194805,0.5553443722943722,0.5909090909090909,0.6195219123505976,6,6,0.05,0,0.0,18.440677966101696,0.2432,0.2743
James Harden,LAC,620,1258,316,60,100,0.6,41,110,0.3727272727272727,0.3727272727272727,73,20,100,66,57,0.1666666666666666,0.1666666666666666,0.5365853658536586,0.5238095238095238,0.5299197619047619,0.5785714285714286,0.6514522821576764,0,16,0.16,3,0.0272727272727272,21.748400852878465,0.2512,0.6484
Davion Mitchell,MIA,613,1320,230,63,103,0.6116504854368932,32,76,0.4210526315789473,0.4210526315789473,8,34,92,84,12,0.2698412698412698,0.2741935483870967,0.875,0.4245810055865922,0.5521712290502793,0.6201117318435754,0.6216216216216216,2,6,0.058252427184466,0,0.0,14.787305874409183,0.1742,0.4276
Alperen Sengun,HOU,611,1202,364,148,264,0.5606060606060606,10,25,0.4,0.4,38,146,150,24,6,0.4932432432432432,0.5407407407407407,0.8,0.0865051903114186,0.5182332179930795,0.5640138408304498,0.5852090032154341,26,14,0.053030303030303,0,0.0,25.88320115356885,0.3028,0.3534
Brandon Ingram,TOR,611,1238,407,125,217,0.576036866359447,37,86,0.4302325581395348,0.4302325581395348,46,116,134,108,3,0.464,0.4833333333333333,0.972972972972973,0.2838283828382838,0.5237229372937292,0.5957095709570958,0.6234567901234568,10,14,0.064516129032258,0,0.0,26.346015793251976,0.3288,0.2815
Ausar Thompson,DET,611,1263,220,95,193,0.4922279792746113,0,3,0.0,0.0,30,104,86,0,0,0.5473684210526316,0.6190476190476191,0.0,0.0153061224489795,0.5644051020408165,0.4846938775510204,0.5116279069767442,22,15,0.077720207253886,0,0.0,17.27891156462585,0.1742,0.7263
Derrick White,BOS,610,1214,240,48,89,0.5393258426966292,39,121,0.3223140495867768,0.3223140495867768,27,54,42,93,24,0.5625,0.574468085106383,0.7948717948717948,0.5761904761904761,0.5353507177033492,0.5071428571428571,0.5405405405405406,2,5,0.0561797752808988,0,0.0,18.09045226130653,0.1977,0.3213
Donovan Mitchell,CLE,609,1248,462,114,187,0.6096256684491979,57,164,0.3475609756097561,0.3475609756097561,63,86,142,114,57,0.3771929824561403,0.3839285714285714,0.6666666666666666,0.4672364672364672,0.5536082621082622,0.5683760683760684,0.6055408970976254,4,13,0.0695187165775401,1,0.0060975609756097,30.09292351679771,0.3702,0.4781
Myles Turner,MIL,607,1250,287,46,86,0.5348837209302325,54,138,0.391304347826087,0.391304347826087,33,60,32,162,0,0.6521739130434783,0.75,1.0,0.6160714285714286,0.5391178571428573,0.5669642857142857,0.5857142857142857,12,15,0.1744186046511628,1,0.0072463768115942,19.706959706959708,0.2296,0.1739
OG Anunoby,NYK,606,1222,259,57,102,0.5588235294117647,39,102,0.3823529411764705,0.3823529411764705,28,88,26,108,9,0.7719298245614035,0.7857142857142857,0.9230769230769232,0.5,0.6051661764705882,0.5661764705882353,0.5967741935483871,2,8,0.0784313725490196,2,0.0196078431372549,17.583212735166423,0.2119,0.1525
VJ Edgecombe,PHI,605,1233,272,63,122,0.5163934426229508,35,97,0.3608247422680412,0.3608247422680412,41,60,66,81,24,0.4761904761904761,0.4838709677419355,0.7714285714285715,0.4429223744292237,0.5552769406392694,0.5273972602739726,0.5666666666666667,2,12,0.0983606557377049,1,0.0103092783505154,19.071428571428573,0.2206,0.3762
Nic Claxton,BKN,604,1209,245,100,173,0.5780346820809249,1,7,0.1428571428571428,0.1428571428571428,42,138,62,3,0,0.69,0.7666666666666667,1.0,0.0388888888888888,0.5699980555555554,0.5638888888888889,0.5861244019138756,20,10,0.0578034682080924,0,0.0,17.564575645756456,0.2026,0.155
Toumani Camara,POR,603,1267,275,36,63,0.5714285714285714,60,151,0.3973509933774834,0.3973509933774834,23,46,26,150,30,0.6388888888888888,0.7666666666666667,0.8333333333333334,0.705607476635514,0.5791731308411215,0.5887850467289719,0.6030701754385965,12,5,0.0793650793650793,0,0.0,17.007251153592616,0.217,0.2639
Jalen Duren,DET,599,1235,438,173,256,0.67578125,0,0,0.0,0.0,92,230,116,0,0,0.6647398843930635,0.7666666666666667,0.0,0.0,0.5738312499999999,0.67578125,0.7041800643086816,46,24,0.09375,0,0.0,24.164345403899723,0.3547,0.6676
Paolo Banchero,ORL,596,1235,354,104,181,0.574585635359116,15,60,0.25,0.25,101,122,86,36,9,0.5865384615384616,0.6039603960396039,0.8,0.2489626556016597,0.5605885892116184,0.524896265560166,0.6040955631399317,6,20,0.1104972375690607,0,0.0,24.633431085043988,0.2866,0.3067
Luka Dončić,LAL,596,1227,499,113,202,0.5594059405940595,62,168,0.369047619047619,0.369047619047619,87,50,176,99,87,0.2212389380530973,0.2293577981651376,0.532258064516129,0.4540540540540541,0.506450810810811,0.5567567567567567,0.6031553398058253,8,3,0.0148514851485148,1,0.0059523809523809,35.02235469448584,0.4067,0.6233
Kris Dunn,LAC,595,1201,180,40,72,0.5555555555555556,27,60,0.45,0.45,19,34,46,81,0,0.425,0.4358974358974359,1.0,0.4545454545454545,0.5463583333333333,0.6098484848484849,0.6347517730496454,2,3,0.0416666666666666,1,0.0166666666666666,12.443778110944528,0.1499,0.2875
Neemias Queta,BOS,590,1173,267,120,178,0.6741573033707865,0,0,0.0,0.0,27,182,58,0,0,0.7583333333333333,0.9381443298969072,0.0,0.0,0.571825842696629,0.6741573033707865,0.6881443298969072,46,16,0.0898876404494382,0,0.0,15.937731653076352,0.2276,0.6208
CJ McCollum,ATL,584,1241,351,68,120,0.5666666666666667,57,128,0.4453125,0.4453125,44,54,82,117,54,0.3970588235294117,0.3970588235294117,0.6842105263157895,0.5161290322580645,0.5432393145161292,0.6189516129032258,0.6554307116104869,0,3,0.025,1,0.0078125,21.285714285714285,0.2828,0.4594
Ryan Rollins,MIL,579,1195,283,60,112,0.5357142857142857,48,110,0.4363636363636363,0.4363636363636363,19,34,86,99,45,0.2833333333333333,0.2833333333333333,0.6875,0.4954954954954955,0.5572925675675675,0.5945945945945946,0.6077586206896551,0,12,0.1071428571428571,0,0.0,21.923076923076923,0.2368,0.5146
Kawhi Leonard,LAC,577,1152,457,117,221,0.5294117647058824,53,127,0.4173228346456692,0.4173228346456692,64,98,136,105,54,0.4188034188034188,0.4454545454545454,0.660377358490566,0.3649425287356322,0.5087964080459769,0.5646551724137931,0.6099195710455764,14,9,0.0407239819004524,0,0.0,31.36186770428016,0.3967,0.4604
Nikola Jokić,DEN,574,1180,390,128,188,0.6808510638297872,27,65,0.4153846153846154,0.4153846153846154,53,154,102,66,15,0.6015625,0.6936936936936937,0.8148148148148148,0.2569169960474308,0.5101324110671938,0.66600790513834,0.6914893617021277,34,8,0.0425531914893617,1,0.0153846153846153,25.58667676003028,0.3305,0.2918
Trey Murphy III,NOP,573,1194,298,62,112,0.5535714285714286,49,126,0.3888888888888889,0.3888888888888889,27,100,24,117,30,0.8064516129032258,0.8620689655172413,0.7959183673469388,0.5294117647058824,0.5592088607594935,0.569327731092437,0.5896414342629482,8,6,0.0535714285714285,0,0.0,20.74074074074074,0.2496,0.1988
De'Aaron Fox,SAS,573,1202,292,87,146,0.5958904109589042,31,85,0.3647058823529411,0.3647058823529411,25,44,130,81,12,0.2528735632183908,0.2558139534883721,0.8709677419354839,0.3679653679653679,0.5435567099567099,0.577922077922078,0.6008230452674898,2,14,0.0958904109589041,0,0.0,21.20754716981132,0.2429,0.4381
Donovan Clingan,POR,572,1202,282,77,120,0.6416666666666667,32,89,0.3595505617977528,0.3595505617977528,32,88,66,93,3,0.5714285714285714,0.88,0.96875,0.4258373205741627,0.5896978468899521,0.5980861244019139,0.618421052631579,54,12,0.1,0,0.0,17.32776617954071,0.2346,0.2299
Andrew Wiggins,MIA,568,1233,289,64,140,0.4571428571428571,45,102,0.4411764705882353,0.4411764705882353,26,52,76,129,6,0.40625,0.490566037735849,0.9555555555555556,0.4214876033057851,0.5602243801652891,0.5433884297520661,0.564453125,22,19,0.1357142857142857,1,0.0098039215686274,19.84011627906977,0.2344,0.3191
Matas Buzelis,CHI,568,1188,318,74,124,0.5967741935483871,41,117,0.3504273504273504,0.3504273504273504,47,82,66,123,0,0.5540540540540541,0.5694444444444444,1.0,0.4854771784232365,0.6100383817427387,0.5622406639004149,0.5955056179775281,4,15,0.1209677419354838,3,0.0256410256410256,23.686214775323684,0.2677,0.223
Tyrese Maxey,PHI,566,1152,300,55,133,0.4135338345864661,54,149,0.3624161073825503,0.3624161073825503,28,56,54,90,72,0.509090909090909,0.5185185185185185,0.5555555555555556,0.5283687943262412,0.5364306737588652,0.4822695035460992,0.5068259385665529,2,10,0.075187969924812,2,0.0134228187919463,25.36287242169595,0.2604,0.4677
Royce O'Neale,PHX,564,1153,175,11,19,0.5789473684210527,51,138,0.3695652173913043,0.3695652173913043,0,18,4,141,12,0.8181818181818182,0.8181818181818182,0.9215686274509804,0.8789808917197452,0.5661407643312102,0.5573248407643312,0.5573248407643312,0,1,0.0526315789473684,0,0.0,13.88036809815951,0.1518,0.1301
Jaylen Brown,BOS,563,1121,443,133,252,0.5277777777777778,36,95,0.3789473684210526,0.3789473684210526,69,100,166,60,48,0.3759398496240601,0.3816793893129771,0.5555555555555556,0.2737752161383285,0.501621098265896,0.5389048991354467,0.5783289817232375,4,19,0.0753968253968253,0,0.0,33.540856031128406,0.3952,0.5343
Immanuel Quickley,TOR,560,1137,287,47,86,0.5465116279069767,53,115,0.4608695652173913,0.4608695652173913,34,48,46,150,9,0.5106382978723404,0.5333333333333333,0.9433962264150944,0.572139303482587,0.5412263681592041,0.6293532338308457,0.6651162790697674,4,11,0.127906976744186,1,0.008695652173913,18.60828772478499,0.2524,0.273
Saddiq Bey,NOP,560,1173,306,64,142,0.4507042253521127,44,112,0.3928571428571428,0.3928571428571428,46,54,74,126,6,0.421875,0.4736842105263157,0.9545454545454546,0.4409448818897638,0.5528293307086614,0.5118110236220472,0.5565693430656934,14,12,0.0845070422535211,0,0.0,22.05438066465257,0.2609,0.3118
Anthony Edwards,MIN,558,1154,403,86,164,0.524390243902439,54,137,0.3941605839416058,0.3941605839416058,69,72,100,96,66,0.4186046511627907,0.4235294117647059,0.5925925925925926,0.4551495016611295,0.5438036544850499,0.5548172757475083,0.5970149253731343,2,6,0.0365853658536585,0,0.0,29.79876160990712,0.3492,0.4944
Chet Holmgren,OKC,557,1162,368,105,157,0.6687898089171974,34,86,0.3953488372093023,0.3953488372093023,56,134,76,99,3,0.638095238095238,0.7362637362637363,0.9705882352941176,0.3539094650205761,0.5685368312757203,0.6419753086419753,0.673992673992674,28,7,0.0445859872611464,3,0.0348837209302325,23.374613003095977,0.3167,0.1957
LaMelo Ball,CHA,555,1148,439,59,117,0.5042735042735043,94,212,0.4433962264150943,0.4433962264150943,39,42,76,177,105,0.3559322033898305,0.3818181818181818,0.6276595744680851,0.6443768996960486,0.5420148936170212,0.60790273556231,0.6278735632183908,8,11,0.094017094017094,2,0.0094339622641509,28.62481315396113,0.3824,0.5082
Noah Clowney,BKN,552,1107,239,29,78,0.3717948717948718,47,138,0.3405797101449275,0.3405797101449275,40,40,18,141,0,0.6896551724137931,0.6896551724137931,1.0,0.6388888888888888,0.5483148148148148,0.4606481481481481,0.5021097046413502,0,13,0.1666666666666666,0,0.0,21.40549273021001,0.2159,0.1552
Stephon Castle,SAS,551,1159,279,76,135,0.562962962962963,19,55,0.3454545454545454,0.3454545454545454,70,60,92,57,0,0.3947368421052631,0.410958904109589,1.0,0.2894736842105263,0.5877650000000001,0.55,0.6172566371681416,6,15,0.1111111111111111,1,0.0181818181818181,22.28303362001564,0.2407,0.3026
AJ Green,MIL,546,1119,195,5,12,0.4166666666666667,60,143,0.4195804195804196,0.4195804195804196,5,10,0,168,12,1.0,1.0,0.9333333333333332,0.9225806451612903,0.5585983870967742,0.6129032258064516,0.6185897435897436,0,2,0.1666666666666666,3,0.0209790209790209,14.29731925264013,0.1743,0.0333
Julian Champagnie,SAS,543,1130,234,29,46,0.6304347826086957,51,126,0.4047619047619047,0.4047619047619047,23,40,18,150,3,0.6896551724137931,0.7692307692307693,0.9803921568627452,0.7325581395348837,0.5895642441860465,0.6133720930232558,0.6428571428571429,6,4,0.0869565217391304,0,0.0,15.755627009646302,0.2071,0.165
Cade Cunningham,DET,542,1116,338,88,187,0.4705882352941176,34,82,0.4146341463414634,0.4146341463414634,60,66,110,54,48,0.375,0.3793103448275862,0.5294117647058824,0.3048327137546468,0.5320189591078066,0.516728624535316,0.5570469798657718,2,14,0.0748663101604278,1,0.0121951219512195,27.174749807544263,0.3029,0.5478
Tobias Harris,DET,539,1116,242,69,133,0.518796992481203,26,93,0.2795698924731182,0.2795698924731182,26,82,56,69,9,0.5942028985507246,0.640625,0.8846153846153846,0.411504424778761,0.5319926991150442,0.4778761061946903,0.5084388185654009,10,12,0.0902255639097744,1,0.010752688172043,20.153846153846157,0.2168,0.2606
Luguentz Dort,OKC,538,1125,175,22,47,0.4680851063829787,41,105,0.3904761904761905,0.3904761904761905,8,32,12,120,3,0.7272727272727273,0.7272727272727273,0.975609756097561,0.6907894736842105,0.5701529605263157,0.5493421052631579,0.5573248407643312,0,2,0.0425531914893617,1,0.0095238095238095,13.89776357827476,0.1556,0.1486
LeBron James,LAL,537,1102,318,110,168,0.6547619047619048,26,63,0.4126984126984127,0.4126984126984127,20,136,84,57,21,0.6181818181818182,0.6181818181818182,0.7307692307692307,0.2727272727272727,0.5499818181818181,0.645021645021645,0.654320987654321,0,7,0.0416666666666666,0,0.0,22.88557213930348,0.2886,0.3255
Shai Gilgeous-Alexander,OKC,537,1125,368,118,211,0.5592417061611374,20,58,0.3448275862068966,0.3448275862068966,72,38,198,18,42,0.1610169491525423,0.1623931623931624,0.3,0.2156133828996282,0.5247741635687733,0.550185873605948,0.606312292358804,2,8,0.0379146919431279,0,0.0,27.309236947791167,0.3271,0.7695
Devin Vassell,SAS,532,1127,277,47,92,0.5108695652173914,55,116,0.4741379310344827,0.4741379310344827,18,60,34,165,0,0.6382978723404256,0.6521739130434783,1.0,0.5576923076923077,0.5414935096153847,0.6225961538461539,0.641860465116279,2,5,0.0543478260869565,0,0.0,18.08681672025724,0.2458,0.1809
Evan Mobley,CLE,532,1084,324,116,170,0.6823529411764706,22,58,0.3793103448275862,0.3793103448275862,26,126,106,66,0,0.5431034482758621,0.5833333333333334,1.0,0.2543859649122807,0.5720203947368422,0.6535087719298246,0.6639344262295082,16,9,0.0529411764705882,1,0.0172413793103448,22.08538587848933,0.2989,0.2284
Devin Booker,PHX,525,1082,337,95,187,0.5080213903743316,26,86,0.3023255813953488,0.3023255813953488,69,74,116,63,15,0.3894736842105263,0.3936170212765957,0.8076923076923077,0.315018315018315,0.5213987179487181,0.4908424908424908,0.5439739413680782,2,6,0.0320855614973262,0,0.0,28.30188679245283,0.3115,0.4014
Russell Westbrook,SAC,518,1076,265,65,126,0.5158730158730159,37,125,0.296,0.296,24,28,102,90,21,0.2153846153846154,0.2222222222222222,0.8108108108108109,0.49800796812749,0.5236458167330678,0.4800796812749004,0.4944029850746269,4,14,0.1111111111111111,0,0.0,27.272727272727277,0.2463,0.4869
Brandon Miller,CHA,513,1049,335,64,119,0.5378151260504201,60,144,0.4166666666666667,0.4166666666666667,27,78,50,159,21,0.609375,0.6290322580645161,0.8833333333333333,0.5475285171102662,0.5438039923954373,0.5855513307984791,0.605072463768116,4,8,0.0672268907563025,1,0.0069444444444444,25.509372453137736,0.3194,0.2536
John Collins,LAC,507,1009,253,83,115,0.7217391304347827,21,62,0.3387096774193548,0.3387096774193548,24,102,64,63,0,0.6144578313253012,0.7727272727272727,1.0,0.3502824858757062,0.5659505649717512,0.6468926553672316,0.6728723404255319,34,9,0.0782608695652174,0,0.0,18.538324420677363,0.2507,0.1928
Jaylen Wells,MEM,505,1049,225,41,86,0.4767441860465116,35,90,0.3888888888888889,0.3888888888888889,38,60,22,96,9,0.7317073170731707,0.7894736842105263,0.9142857142857144,0.5113636363636364,0.5381508522727275,0.53125,0.5773195876288659,6,9,0.1046511627906976,0,0.0,18.05205709487825,0.2145,0.177
Ace Bailey,UTA,505,1070,280,75,149,0.5033557046979866,38,110,0.3454545454545454,0.3454545454545454,16,112,38,105,9,0.7466666666666667,0.8115942028985508,0.9210526315789472,0.4247104247104247,0.5356185328185328,0.5096525096525096,0.5223880597014925,12,5,0.0335570469798657,0,0.0,24.029727497935596,0.2617,0.1661
Dominick Barlow,PHI,505,1028,176,66,101,0.6534653465346535,7,27,0.2592592592592592,0.2592592592592592,23,80,52,21,0,0.6060606060606061,0.8,1.0,0.2109375,0.632916015625,0.59765625,0.6285714285714286,32,7,0.0693069306930693,0,0.0,13.036020583190394,0.1712,0.197
Cooper Flagg,DAL,500,1027,261,100,195,0.5128205128205128,12,46,0.2608695652173913,0.2608695652173913,25,84,116,27,9,0.42,0.4565217391304347,0.75,0.1908713692946058,0.5169917012448133,0.4896265560165975,0.5158102766798419,16,12,0.0615384615384615,1,0.0217391304347826,25.0,0.2541,0.415
Josh Hart,NYK,500,999,181,50,88,0.5681818181818182,20,52,0.3846153846153846,0.3846153846153846,21,76,24,39,21,0.76,0.8085106382978723,0.65,0.3714285714285714,0.5704075000000001,0.5714285714285714,0.5953947368421053,6,12,0.1363636363636363,0,0.0,16.262353998203054,0.1812,0.295
Collin Gillespie,PHX,493,1011,177,10,28,0.3571428571428571,50,112,0.4464285714285714,0.4464285714285714,7,8,12,126,24,0.4,0.4444444444444444,0.84,0.8,0.5458364285714286,0.6071428571428571,0.6145833333333334,2,5,0.1785714285714285,1,0.0089285714285714,14.66198419666374,0.1751,0.38
Pascal Siakam,IND,492,1027,355,118,215,0.5488372093023256,20,58,0.3448275862068966,0.3448275862068966,59,124,112,51,9,0.5254237288135594,0.5688073394495413,0.85,0.2124542124542124,0.5330448717948717,0.5421245421245421,0.5781758957654723,18,11,0.0511627906976744,0,0.0,29.75133214920071,0.3457,0.3123
Herbert Jones,NOP,489,1004,175,34,67,0.5074626865671642,31,93,0.3333333333333333,0.3333333333333333,14,30,38,87,6,0.4411764705882353,0.46875,0.935483870967742,0.58125,0.5703903124999998,0.503125,0.5239520958083832,4,5,0.0746268656716417,0,0.0,16.769095697980685,0.1743,0.3117
Bilal Coulibaly,WAS,488,1040,189,45,104,0.4326923076923077,22,71,0.3098591549295774,0.3098591549295774,33,26,64,57,9,0.2888888888888888,0.3023255813953488,0.8636363636363636,0.4057142857142857,0.5760831428571429,0.4457142857142857,0.4796954314720812,4,14,0.1346153846153846,0,0.0,19.194515852613534,0.1817,0.4237
Max Christie,DAL,487,1000,225,30,57,0.5263157894736842,49,108,0.4537037037037037,0.4537037037037037,18,36,24,138,9,0.6,0.6,0.9387755102040816,0.6545454545454545,0.5392363636363635,0.6272727272727273,0.6436781609195402,0,5,0.087719298245614,2,0.0185185185185185,17.241379310344826,0.225,0.2306
Deni Avdija,POR,487,1027,304,71,142,0.5,24,73,0.3287671232876712,0.3287671232876712,90,56,86,57,15,0.3943661971830985,0.417910447761194,0.7916666666666666,0.3395348837209302,0.5615755813953489,0.4976744186046511,0.5813953488372093,8,18,0.1267605633802817,0,0.0,24.59546925566343,0.296,0.407
Draymond Green,GSW,483,1004,225,42,67,0.6268656716417911,43,124,0.3467741935483871,0.3467741935483871,12,72,12,129,0,0.8571428571428571,0.8780487804878049,1.0,0.6492146596858639,0.5656897905759161,0.5575916230366492,0.5739795918367347,2,2,0.0298507462686567,1,0.0080645161290322,21.53708668453977,0.2241,0.0714
Marcus Smart,LAL,480,984,129,26,45,0.5777777777777777,21,73,0.2876712328767123,0.2876712328767123,14,26,26,57,6,0.5,0.52,0.9047619047619048,0.6186440677966102,0.5571898305084745,0.4872881355932203,0.5201612903225806,2,5,0.1111111111111111,0,0.0,13.8347260909935,0.1311,0.2976
