bbref_id,nba_id,player_name,source,confidence
brownst02,1628425,Sterling Brown,authoritative,high
browntr01,1628972,Troy Brown Jr.,authoritative,high
brunsja01,1628973,Jalen Brunson,authoritative,high
bryanel01,1629091,Elijah Bryant,stub_reconstruction,high
bryanth01,1628418,Thomas Bryant,authoritative,high
buchash01,1629783,Shaq Buchanan,stub_reconstruction,high
bufkiko01,1641723,Kobe Bufkin,stub_reconstruction,high
bullore01,203493,Reggie Bullock Jr.,authoritative,high
burketr01,203504,Trey Burke,authoritative,high
burksal01,202692,Alec Burks,authoritative,high
burtode02,1629126,Deonte Burton,authoritative,high
butleja02,1630215,Jared Butler,stub_reconstruction,high
butleji01,202710,Jimmy Butler,authoritative,high
butlejo01,1631219,John Butler Jr.,stub_reconstruction,high
buzelma01,1641824,Matas Buzelis,stub_reconstruction,high
cabocbr01,203998,Bruno Caboclo,authoritative,high
cacokde01,1629719,Devontae Cacok,stub_reconstruction,high
cainja01,1631288,Jamal Cain,stub_reconstruction,high
caldwke01,203484,Kentavious Caldwell-Pope,authoritative,high
camarto01,1641739,Toumani Camara,stub_reconstruction,high
campafa01,1630267,Facundo Campazzo,stub_reconstruction,high
cancavl01,1628427,Vlatko Cancar,stub_reconstruction,high
cannade01,1629962,Devin Cannady,stub_reconstruction,high
capelca01,203991,Clint Capela,authoritative,high
careyve01,1630176,Vernon Carey Jr.,stub_reconstruction,high
carlsbr01,1642382,Branden Carlson,stub_reconstruction,high
carrica01,1642267,Bub Carrington,stub_reconstruction,low_nickname
cartede02,1642269,Devin Carter,stub_reconstruction,high
carteje01,1628975,Jevon Carter,authoritative,high
cartemi01,203487,Michael Carter-Williams,authoritative,high
cartewe01,1628976,Wendell Carter Jr.,authoritative,high
cartodj01,1630618,D.J. Carton,stub_reconstruction,high
carusal01,1627936,Alex Caruso,authoritative,high
castlco01,1630658,Colin Castleton,stub_reconstruction,high
castlst01,1642264,Stephon Castle,stub_reconstruction,high
caulewi01,1626161,Willie Cauley-Stein,authoritative,high
chandke01,1631113,Kennedy Chandler,stub_reconstruction,high
chiozch01,1629185,Chris Chiozza,authoritative,high
chomcul01,1642279,Ulrich Chomche,stub_reconstruction,high
chrisca02,1642353,Cam Christie,stub_reconstruction,high
chrisjo01,1630528,Josh Christopher,stub_reconstruction,high
chrisma01,1627737,Marquese Chriss,authoritative,high
cissosi01,1631321,Sidy Cissoko,stub_reconstruction,high
clarkbr01,1629634,Brandon Clarke,stub_reconstruction,high
