game_id,period,time_on,time_off,away_p1,away_p2,away_p3,away_p4,away_p5,home_p1,home_p2,home_p3,home_p4,home_p5
202204030CLE,1,5:39.0,5:39.0,D. Garland,J. Embiid,L. Markkanen,M. Brown,S. Milton,I. Okoro,J. Embiid,M. Thybulle,T. Harris,T. Maxey
202204030CLE,1,5:39.0,4:10.0,D. Garland,J. Embiid,K. Love,L. Markkanen,S. Milton,I. Okoro,J. Embiid,M. Thybulle,T. Harris,T. Maxey
