game_id,period,time_on,time_off,away_p1,away_p2,away_p3,away_p4,away_p5,home_p1,home_p2,home_p3,home_p4,home_p5
202107110MIL,1,8:30.0,8:30.0,C. Johnson,D. Booker,G. Antetokounmpo,J. Holiday,K. Middleton,B. Lopez,C. Paul,D. Ayton,G. Antetokounmpo,J. Crowder
202107110MIL,1,8:30.0,6:04.0,C. Johnson,D. Booker,J. Holiday,K. Middleton,P. Connaughton,B. Lopez,C. Paul,D. Ayton,G. Antetokounmpo,J. Crowder
202107110MIL,1,6:04.0,6:04.0,D. Booker,J. Crowder,J. Holiday,K. Middleton,P. Connaughton,B. Lopez,C. Paul,D. Ayton,G. Antetokounmpo,J. Crowder
