game_id,period,time_on,time_off,away_p1,away_p2,away_p3,away_p4,away_p5,home_p1,home_p2,home_p3,home_p4,home_p5
202210240NYK,1,6:58.0,6:58.0,F. Wagner,J. Brunson,J. Randle,M. Bamba,T. Ross,E. Fournier,J. Brunson,J. Randle,P. Banchero,W. Carter
202210240NYK,1,6:58.0,4:32.0,C. Houstan,J. Brunson,J. Randle,M. Bamba,T. Ross,E. Fournier,J. Brunson,J. Randle,P. Banchero,W. Carter
