entity_id,season_year,drives,pts_per_drive,cov_proxy,adj_ast,pva_proxy,elbow_touches,paint_touches,post_touches,total_touches,miv_proxy,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy,def_rim_fgm,def_rim_fga,dsv_proxy,rim_fga,rim_fgm,mid_fga,fg3a,fg3m,total_fga,overall_efg,rim_rate,three_rate,ptv_proxy,off_poss,minutes,stl,blk,data_source,confidence,open_cs_fg3a,open_cs_fg3m,open_cs_3_rate,open_cs_fg3_pct,off_drbl_fg3a,off_drbl_fg3m,off_drbl_fg2a,off_drbl_fg2m,off_drbl_rate,off_drbl_fg3_pct,contested_fg3a,contested_fg2a,contested_shot_rate,wide_open_fg3a,wide_open_fg3m,three_rate_sz,total_fga_sz
1718,2016,,,,,,,,,,,,,,,,,,,33.0,18.0,,239.0,75.0,380.0,0.4776,0.0868,0.6289,-2.368,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1718,2017,,,,,,,,,,,,,,,,,,,7.0,6.0,,43.0,15.0,68.0,0.522,0.1029,0.6323,-1.843,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1733,2014,,,,,,,,,,,,,,,,,,,73.0,41.0,,95.0,32.0,190.0,0.5,0.3842,0.5,1.2,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1737,2014,,,,,,,,,,,,,,,,,,,69.0,42.0,,0.0,0.0,118.0,0.4576,0.5847,0.0,-1.625,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1737,2015,,,,,,,,,,,,,,,,,,,2.0,2.0,,0.0,0.0,5.0,0.5988,0.3992,0.0,-0.941,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1737,2016,,,,,,,,,,,,,,,,,,,2.0,2.0,,0.0,0.0,5.0,0.5988,0.3992,0.0,-0.941,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1740,2014,,,,,,,,,,,,,,,,,,,63.0,38.0,,132.0,46.0,230.0,0.5261,0.2739,0.5739,0.344,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1882,2014,,,,,,,,,,,,,,,,,,,128.0,86.0,,2.0,0.0,315.0,0.5587,0.4063,0.0063,-0.762,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1882,2015,,,,,,,,,,,,,,,,,,,19.0,13.0,,1.0,0.0,70.0,0.4428,0.2714,0.0143,-2.937,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1882,2016,,,,,,,,,,,,,,,,,,,19.0,13.0,,1.0,0.0,70.0,0.4428,0.2714,0.0143,-2.937,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1889,2014,,,,,,,,,,,,,,,,,,,126.0,69.0,,20.0,11.0,204.0,0.5318,0.6176,0.098,1.488,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1889,2015,,,,,,,,,,,,,,,,,,,55.0,42.0,,8.0,2.0,94.0,0.6382,0.585,0.0851,1.952,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1889,2016,,,,,,,,,,,,,,,,,,,55.0,42.0,,8.0,2.0,94.0,0.6382,0.585,0.0851,1.952,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1890,2014,,,,,,,,,,,,,,,,,,,394.0,231.0,,160.0,58.0,678.0,0.5442,0.5811,0.236,2.038,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1891,2014,,,,,,,,,,,,,,,,,,,14.0,6.0,,97.0,38.0,139.0,0.5179,0.1007,0.6978,-1.763,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1891,2015,,,,,,,,,,,,,,,,,,,56.0,35.0,,261.0,93.0,372.0,0.5309,0.1505,0.7016,-1.187,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1891,2016,,,,,,,,,,,,,,,,,,,56.0,35.0,,261.0,93.0,372.0,0.5309,0.1505,0.7016,-1.187,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1891,2017,,,,,,,,,,,,,,,,,,,37.0,21.0,,168.0,73.0,235.0,0.6021,0.1574,0.7149,0.056,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1897,2014,,,,,,,,,,,,,,,,,,,39.0,25.0,,53.0,16.0,132.0,0.4772,0.2954,0.4015,-1.612,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1897,2015,,,,,,,,,,,,,,,,,,,49.0,17.0,,84.0,26.0,162.0,0.4197,0.3025,0.5185,-1.307,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1897,2016,,,,,,,,,,,,,,,,,,,49.0,17.0,,84.0,26.0,162.0,0.4197,0.3025,0.5185,-1.307,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1897,2017,,,,,,,,,,,,,,,,,,,8.0,4.0,,38.0,9.0,65.0,0.3615,0.1231,0.5845,-2.616,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1905,2014,,,,,,,,,,,,,,,,,,,108.0,74.0,,5.0,1.0,141.0,0.5709,0.7659,0.0355,2.6,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1938,2014,,,,,,,,,,,,,,,,,,,237.0,167.0,,251.0,90.0,595.0,0.5697,0.3983,0.4218,2.006,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1938,2015,,,,,,,,,,,,,,,,,,,157.0,88.0,,178.0,70.0,412.0,0.5631,0.3811,0.432,1.667,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1938,2016,,,,,,,,,,,,,,,,,,,157.0,88.0,,178.0,70.0,412.0,0.5631,0.3811,0.432,1.667,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
1938,2017,,,,,,,,,,,,,,,,,,,120.0,59.0,,221.0,87.0,413.0,0.5121,0.2905,0.5351,-0.625,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2030,2014,,,,,,,,,,,,,,,,,,,77.0,50.0,,1.0,0.0,117.0,0.5384,0.6581,0.0085,1.475,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2034,2014,,,,,,,,,,,,,,,,,,,67.0,44.0,,233.0,107.0,436.0,0.6112,0.1537,0.5344,-0.363,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2034,2015,,,,,,,,,,,,,,,,,,,4.0,2.0,,50.0,19.0,59.0,0.5338,0.0678,0.8473,-1.472,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2034,2016,,,,,,,,,,,,,,,,,,,4.0,2.0,,50.0,19.0,59.0,0.5338,0.0678,0.8473,-1.472,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2034,2017,,,,,,,,,,,,,,,,,,,1.0,1.0,,19.0,8.0,22.0,0.5906,0.0454,0.8632,-0.575,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
