entity_id,season_year,u10_fg2m,u10_fg2a,o10_fg2m,o10_fg2a,fg3m,fg3a,open_cs_fg3m,open_cs_fg3a,off_drbl_fg3m,off_drbl_fg3a,off_drbl_fg2m,off_drbl_fg2a,contested_fg3a,contested_fg3m,contested_fg2a,contested_fg2m,wide_open_fg3a,wide_open_fg3m,total_fga_sz,three_rate_sz,open_cs_3_rate,off_drbl_rate,contested_shot_rate,open_cs_fg3_pct,off_drbl_fg3_pct
2617,2023,3,8,4,12,3,9,3.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,4.0,1.0,29,0.3103,0.3103,0.0345,0.2069,0.3333,
2730,2018,462,698,42,126,1,7,1.0,6.0,0.0,0.0,72.0,129.0,1.0,0.0,617.0,390.0,6.0,1.0,831,0.0084,0.0072,0.1552,0.7437,0.1667,
2730,2022,125,195,1,9,8,15,7.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,167.0,103.0,13.0,8.0,219,0.0685,0.0594,0.0091,0.7626,0.5385,
2731,2018,36,57,12,27,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,27.0,0.0,0.0,84,0.0,0.0,0.0119,0.5595,,
2733,2018,80,116,90,204,0,5,0.0,1.0,0.0,0.0,10.0,25.0,2.0,0.0,89.0,55.0,1.0,0.0,325,0.0154,0.0031,0.0769,0.28,0.0,
2734,2018,95,162,10,38,77,222,52.0,129.0,15.0,50.0,33.0,66.0,30.0,6.0,131.0,74.0,107.0,44.0,422,0.5261,0.3057,0.2749,0.3815,0.4031,0.3
2736,2018,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2,0.0,0.0,0.5,1.0,,
2738,2018,90,123,25,68,33,117,20.0,83.0,3.0,9.0,27.0,38.0,11.0,3.0,91.0,62.0,64.0,12.0,308,0.3799,0.2695,0.1526,0.3312,0.241,0.3333
2738,2022,26,38,2,8,16,72,14.0,57.0,1.0,7.0,5.0,8.0,6.0,2.0,29.0,18.0,44.0,10.0,118,0.6102,0.4831,0.1271,0.2966,0.2456,0.1429
2738,2023,5,5,0,0,0,7,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0.0,12,0.5833,0.5,0.0,0.4167,0.0,
