entity_id,entity_type,season,season_type,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def
1629006,player,2023-24,RegularSeason,959.74,1958,1978,105,17,39,17,22,54,47,12,7,11,789,638,64,5,8,120,72,155,48,24,59,87,1101,608,38.5,20,1,6,2,2,4,12,1,0,1,90,23,39,24,31,75,26,5,5,16,0,0,0,0,0,0,0,0,0,0,73,46,27,156,4,78,23,55,144,15,388631,73.6,36.62,36.95
1630581,player,2023-24,RegularSeason,2011.57,4213,4180,566,135,274,30,42,311,208,45,45,23,3365,2848,386,35,40,600,460,982,51,44,124,182,4523,2215,225.9,98,26,43,11,12,64,40,11,7,6,184,60,115,6,8,128,53,12,8,5,20,2,9,0,0,4,9,2,2,0,111,56,55,234,6,403,72,326,603,39,838693,158.84,84.26,74.63
1630322,player,2023-24,RegularSeason,280.23,587,573,18,4,5,0,0,10,11,5,1,0,293,324,24,0,4,33,27,59,5,7,14,23,420,252,18.5,1,0,0,0,0,0,1,0,0,0,10,2,4,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,13,1,33,7,26,45,5,119116,22.58,12.44,10.13
1626174,player,2023-24,RegularSeason,871.92,1793,1813,84,21,41,14,22,58,21,3,7,11,830,654,49,4,7,69,60,118,16,33,75,134,1207,607,37.2,47,13,19,6,14,33,14,1,2,6,86,40,55,10,12,93,14,4,10,5,19,1,6,3,6,5,7,2,1,3,39,21,15,75,4,214,57,151,296,16,315113,59.69,31.57,28.1
1629117,player,2023-24,RegularSeason,81.02,163,165,9,2,6,0,2,4,1,1,1,1,72,53,3,0,0,4,3,7,2,2,7,12,104,55,2.6,3,0,0,0,0,0,2,1,1,0,15,5,9,0,2,10,4,0,1,1,1,0,1,0,0,0,0,0,0,0,7,6,1,17,2,18,5,13,27,1,32606,6.17,3.41,2.76
1631246,player,2023-24,RegularSeason,1436.53,2910,2907,264,38,86,28,40,102,114,21,27,19,1789,1663,175,13,13,313,202,459,47,34,94,159,2388,1263,129.7,21,3,4,4,4,11,13,2,2,2,94,31,44,11,12,74,34,5,10,6,6,1,3,0,0,2,3,1,0,0,59,27,32,157,8,231,42,185,372,38,610056,115.54,59.68,55.85
1631260,player,2023-24,RegularSeason,614.33,1231,1232,22,2,5,0,0,4,14,5,2,0,459,483,30,1,4,58,34,71,9,4,32,41,692,432,22.6,5,1,1,0,0,2,4,0,0,0,13,4,5,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,21,0,55,6,48,95,6,253296,47.99,25.37,22.56
203992,player,2023-24,RegularSeason,2406.65,4969,4933,487,125,240,54,56,311,186,53,27,28,2408,2685,247,32,28,441,302,622,96,26,201,277,3757,2299,145.7,45,13,24,5,6,32,16,4,2,3,72,24,43,7,8,56,20,7,3,3,4,0,0,2,2,2,2,0,1,1,53,20,31,155,13,219,45,171,391,42,972586,184.23,100.55,83.64
1630548,player,2023-24,RegularSeason,365.59,722,721,35,8,16,1,2,17,13,4,5,1,226,280,22,2,1,39,25,58,4,2,32,44,358,253,12.3,5,1,3,0,0,2,2,1,0,0,11,4,6,1,2,9,4,2,0,1,0,0,0,0,0,0,0,0,0,0,7,4,2,12,0,29,4,25,49,7,160407,30.38,16.69,13.72
1626220,player,2023-24,RegularSeason,1894.7,3873,3890,153,22,50,12,16,56,78,25,14,8,2692,1848,214,14,31,317,254,529,58,42,145,210,3369,1640,105.0,28,3,5,0,0,6,21,4,0,0,64,19,29,1,2,39,29,6,2,1,2,0,0,0,0,0,2,1,0,0,57,21,36,163,5,309,73,231,514,47,767011,145.23,81.93,63.3
