entity_id,season_year,drives,pts_per_drive,cov_proxy,adj_ast,pva_proxy,elbow_touches,paint_touches,post_touches,total_touches,miv_proxy,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy,def_rim_fgm,def_rim_fga,dsv_proxy,rim_fga,rim_fgm,mid_fga,fg3a,fg3m,total_fga,overall_efg,rim_rate,three_rate,ptv_proxy,off_poss,minutes,stl,blk,data_source,confidence
2617,2019,,,,,,,,,,,,,,,,,,,10.0,5.0,11.0,12.0,0.0,33.0,0.3333333333333333,0.303030303030303,0.3636363636363636,-0.1666666666666666,,,,,shot_zones,low
2617,2020,,,,,,,,,,,,,,,,,,,7.0,3.0,1.0,3.0,1.0,11.0,0.4090909090909091,0.6363636363636364,0.2727272727272727,-0.0909090909090908,,,,,shot_zones,low
2617,2021,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.5,0.0,0.5,,,,,shot_zones,low
2617,2022,1.0,0.0,0.0,4.0,0.0227272727272727,12.0,24.0,2.0,120.0,0.3166666666666666,4.0,21.0,4.0,6.0,0.2272727272727272,7.0,9.0,0.7777777777777778,,,,,,,,,,,176.0,83.22,1.0,1.0,tracking,low
2617,2023,3.0,0.6666666666666666,0.0137931034482758,2.0,0.0137931034482758,8.0,9.0,5.0,110.0,0.2,4.0,7.0,2.0,1.0,0.0857142857142857,4.0,7.0,0.5714285714285714,,,,,,,,,,,145.0,72.12,1.0,2.0,tracking,low
2730,2019,,,,,,,,,,,,,,,,,,,59.0,39.0,9.0,0.0,0.0,68.0,0.6323529411764706,0.8676470588235294,0.0,0.1323529411764705,,,,,shot_zones,high
2730,2020,,,,,,,,,,,,,,,,,,,267.0,196.0,2.0,5.0,3.0,274.0,0.7354014598540146,0.9744525547445256,0.0182481751824817,0.2354014598540146,,,,,shot_zones,high
2730,2021,,,,,,,,,,,,,,,,,,,270.0,167.0,13.0,20.0,5.0,303.0,0.5957095709570958,0.8910891089108911,0.066006600660066,0.0957095709570957,,,,,shot_zones,high
2730,2022,5.0,1.2,0.0030410542321338,44.0,0.0223010643689812,105.0,319.0,17.0,1402.0,0.3145506419400856,118.0,238.0,86.0,76.0,0.2539184952978056,106.0,169.0,0.6272189349112426,,,,,,,,,,,1973.0,970.74,34.0,36.0,tracking,high
2733,2019,,,,,,,,,,,,,,,,,,,101.0,62.0,107.0,2.0,0.0,210.0,0.5190476190476191,0.4809523809523809,0.0095238095238095,0.019047619047619,,,,,shot_zones,high
2734,2019,,,,,,,,,,,,,,,,,,,117.0,62.0,30.0,200.0,62.0,347.0,0.4697406340057637,0.3371757925072046,0.5763688760806917,-0.0302593659942362,,,,,shot_zones,high
2736,2019,,,,,,,,,,,,,,,,,,,55.0,39.0,19.0,44.0,14.0,118.0,0.559322033898305,0.4661016949152542,0.3728813559322034,0.059322033898305,,,,,shot_zones,high
