name_slug,name,season_year,fga,total_zone_fga,u10_fga,o10_fg2a,fg3a,p_exp_efgpct,act_efgpct,efg_above_position,efg_above_league,u10_fgpct_p_diff,o10_fg2pct_p_diff,fg3pct_p_diff,ptv_raw
cartier-martin,Cartier Martin,2015,50,50,6,12,32,0.5419,0.36,-0.1819,-0.155,0.0,-0.1109,-0.1617,-0.1301
chandler-parsons,Chandler Parsons,2015,791,791,342,104,345,0.5783,0.5664,-0.0119,0.0145,-0.0173,0.0065,-0.0082,-0.0102
channing-frye,Channing Frye,2015,478,478,46,87,345,0.534,0.5418,0.0078,0.0097,-0.0174,-0.0136,0.0111,0.00386
charlie-villanueva,Charlie Villanueva,2015,352,352,94,37,221,0.5216,0.544,0.0224,-0.0118,-0.0054,-0.0058,0.0261,0.01433
chase-budinger,Chase Budinger,2015,360,360,131,91,138,0.5158,0.5389,0.0231,-0.0085,-0.0001,0.0231,0.0299,0.01726
chris-andersen,Chris Andersen,2015,181,181,138,30,13,0.6618,0.6519,-0.0099,0.0186,-0.0346,0.0602,0.0604,-0.01206
chris-bosh,Chris Bosh,2015,715,715,169,378,168,0.5172,0.5238,0.0066,0.0399,-0.0297,0.0072,0.0276,0.00327
chris-copeland,Chris Copeland,2015,286,286,88,32,166,0.5112,0.4825,-0.0287,-0.0457,-0.0259,-0.0313,-0.0197,-0.02291
chris-douglas-roberts,Chris Douglas-Roberts,2015,17,17,8,2,7,0.5209,0.3235,-0.1974,-0.2268,0.0146,-0.25,-0.283,-0.13907
chris-johnson,Chris Johnson,2015,144,144,38,13,93,0.5195,0.5278,0.0083,-0.0311,0.0856,0.109,-0.0249,0.01635
chris-kaman,Chris Kaman,2015,514,514,308,206,0,0.543,0.5506,0.0076,0.0379,0.0084,0.0065,,0.00764
chris-paul,Chris Paul,2015,1146,1146,205,593,348,0.5367,0.5563,0.0196,0.0846,-0.009,0.0277,0.015,0.01728
chuck-hayes,Chuck Hayes,2015,39,39,38,1,0,0.5342,0.5641,0.0299,-0.1254,0.0307,0.0,,0.02991
cj-mccollum,CJ McCollum,2015,339,339,95,109,135,0.5459,0.5472,0.0013,0.0381,-0.0028,0.0267,-0.0108,0.0035
cj-miles,CJ Miles,2015,798,798,153,204,441,0.5167,0.5069,-0.0098,-0.0075,-0.0071,-0.0101,-0.0071,-0.00787
cj-wilcox,CJ Wilcox,2015,37,37,6,12,19,0.527,0.527,0.0,0.015,0.0,0.0,0.0,0.0
cleanthony-early,Cleanthony Early,2015,197,197,64,50,83,0.4416,0.4416,0.0,-0.0852,0.0,0.0,0.0,0.0
clint-capela,Clint Capela,2015,25,25,25,0,0,0.56,0.56,0.0,-0.1241,0.0,,,0.0
cody-zeller,Cody Zeller,2015,330,330,176,153,1,0.5132,0.5227,0.0095,-0.0247,0.0045,0.0152,0.0,0.00945
cole-aldrich,Cole Aldrich,2015,283,283,270,13,0,0.5178,0.5053,-0.0125,-0.1065,-0.0131,0.0,,-0.0125
corey-brewer,Corey Brewer,2015,744,744,367,145,232,0.5025,0.4933,-0.0092,-0.0762,-0.0082,-0.0018,-0.0104,-0.00764
cory-jefferson,Cory Jefferson,2015,151,151,83,53,15,0.5033,0.5033,0.0,-0.0446,0.0,0.0,0.0,0.0
cory-joseph,Cory Joseph,2015,377,377,198,136,43,0.5644,0.5703,0.0059,0.0645,0.0033,0.0027,0.0187,0.00484
courtney-lee,Courtney Lee,2015,625,625,146,257,222,0.5371,0.5328,-0.0043,0.021,-0.0296,-0.0139,0.0155,-0.00712
d-j-augustin,D.J. Augustin,2015,597,597,245,109,243,0.5185,0.5017,-0.0168,-0.0144,0.0265,-0.0143,-0.0411,-0.00846
dahntay-jones,Dahntay Jones,2015,20,20,7,9,4,0.3,0.3,0.0,-0.2367,0.0,0.0,0.0,0.0
damian-lillard,Damian Lillard,2015,1291,1291,441,284,566,0.5331,0.5314,-0.0017,0.0135,0.026,0.0014,-0.0166,0.00191
damjan-rudez,Damjan Rudez,2015,258,258,26,63,169,0.595,0.595,0.0,0.0705,0.0,0.0,0.0,0.0
danilo-gallinari,Danilo Gallinari,2015,535,535,118,121,296,0.5262,0.5262,0.0,0.0124,0.0,0.0,0.0,0.0
danny-granger,Danny Granger,2015,148,148,27,41,80,0.4739,0.5101,0.0362,-0.0085,0.0291,0.0098,0.0348,0.02683
danny-green,Danny Green,2015,717,717,150,116,451,0.5892,0.5823,-0.0069,0.0432,-0.0266,0.0142,-0.0038,-0.00566
dant-exum,DantÃ© Exum,2015,411,411,88,61,262,0.4477,0.4477,0.0,-0.0909,0.0,0.0,0.0,0.0
dante-cunningham,Dante Cunningham,2015,314,314,93,213,8,0.484,0.4952,0.0112,-0.003,0.0174,0.0089,0.0,0.01119
dante-exum,Dante Exum,2015,411,411,88,61,262,0.4477,0.4477,0.0,-0.0909,0.0,0.0,0.0,0.0
darius-miller,Darius Miller,2015,7,7,1,5,1,0.1952,0.1429,-0.0523,-0.3026,0.0,-0.0733,0.0,-0.05236
darius-morris,Darius Morris,2015,101,101,39,29,33,0.4176,0.3911,-0.0265,-0.1274,-0.0483,0.0299,-0.0335,-0.02101
darrell-arthur,Darrell Arthur,2015,374,374,66,199,109,0.4399,0.4492,0.0093,-0.0582,0.06,0.03,-0.0395,0.01504
darren-collison,Darren Collison,2015,525,525,154,210,161,0.5421,0.5524,0.0103,0.0493,-0.0001,0.0149,0.0095,0.00884
david-lee,David Lee,2015,292,292,231,59,2,0.5736,0.5479,-0.0257,-0.0352,-0.041,0.0333,0.0,-0.02571
david-stockton,David Stockton,2015,6,6,2,2,2,0.4167,0.4167,0.0,-0.0696,0.0,0.0,0.0,0.0
david-wear,David Wear,2015,2,2,1,0,1,0.0,0.0,0.0,-0.576,0.0,,0.0,0.0
david-west,David West,2015,661,661,224,417,20,0.5132,0.4917,-0.0215,0.0106,-0.0224,-0.0216,-0.0083,-0.02147
deandre-jordan,DeAndre Jordan,2015,518,518,512,2,4,0.7246,0.7326,0.008,0.0481,0.0081,0.0,0.0,0.00801
dejuan-blair,DeJuan Blair,2015,50,50,35,15,0,0.5324,0.52,-0.0124,-0.0551,-0.0436,0.0604,,-0.0124
demar-derozan,DeMar DeRozan,2015,921,921,274,560,87,0.4687,0.4577,-0.011,-0.0019,0.0021,-0.0168,-0.0107,-0.0106
demarcus-cousins,DeMarcus Cousins,2015,956,956,614,334,8,0.5318,0.5209,-0.0109,0.0019,-0.0012,-0.0289,0.0,-0.01087
demarre-carroll,DeMarre Carroll,2015,612,612,240,70,302,0.6062,0.6176,0.0114,0.0437,0.0093,-0.0194,0.0136,0.00814
dennis-schr-der,Dennis SchrÃ¶der,2015,591,591,292,153,146,0.5081,0.5245,0.0164,0.0181,0.0147,0.0287,0.0047,0.01585
dennis-schroder,Dennis Schroder,2015,591,591,292,153,146,0.5081,0.5245,0.0164,0.0181,0.0147,0.0287,0.0047,0.01585
deron-williams,Deron Williams,2015,732,732,253,243,236,0.499,0.4652,-0.0338,-0.0427,-0.0395,-0.0537,-0.0049,-0.03306
derrick-favors,Derrick Favors,2015,848,848,525,317,6,0.5551,0.569,0.0139,0.0315,0.0147,0.0129,0.0,0.01392
derrick-rose,Derrick Rose,2015,785,785,284,236,265,0.4772,0.479,0.0018,-0.0276,0.0082,0.0111,-0.0089,0.0033
derrick-williams,Derrick Williams,2015,451,451,198,97,156,0.5353,0.5355,0.0002,-0.0285,-0.0001,-0.0255,0.011,-0.00172
devin-harris,Devin Harris,2015,503,503,165,73,265,0.5258,0.5298,0.004,-0.0045,0.0248,0.0244,-0.0097,0.00657
devyn-marble,Devyn Marble,2015,41,41,15,5,21,0.3902,0.3902,0.0,-0.1972,0.0,0.0,0.0,0.0
dewayne-dedmon,Dewayne Dedmon,2015,143,143,133,9,1,0.6089,0.6364,0.0275,-0.0013,0.0326,-0.0445,0.0,0.02752
dion-waiters,Dion Waiters,2015,884,884,337,305,242,0.4923,0.4593,-0.033,-0.052,-0.0178,-0.0245,-0.0432,-0.02707
dirk-nowitzki,Dirk Nowitzki,2015,1039,1039,112,653,274,0.5326,0.5188,-0.0138,0.0515,-0.0172,-0.0186,-0.0007,-0.01373
donald-sloan,Donald Sloan,2015,322,322,127,65,130,0.5026,0.514,0.0114,0.0212,0.0057,0.0031,0.0141,0.00857
donatas-motiejunas,Donatas Motiejunas,2015,650,650,478,40,132,0.5603,0.5746,0.0143,-0.0194,0.0016,0.0071,0.0417,0.01008
dorell-wright,Dorell Wright,2015,187,187,51,28,108,0.4827,0.4947,0.012,-0.041,-0.0211,-0.0637,0.0315,0.0029
doug-mcdermott,Doug McDermott,2015,99,99,43,16,40,0.5,0.5,0.0,-0.0664,0.0,0.0,0.0,0.0
draymond-green,Draymond Green,2015,731,731,308,94,329,0.5363,0.5383,0.002,-0.0471,0.0039,-0.0046,0.0014,0.00168
drew-gooden,Drew Gooden,2015,261,261,76,126,59,0.4774,0.4655,-0.0119,-0.0382,-0.0596,-0.0044,0.0223,-0.01444
drew-gordon,Drew Gordon,2015,18,18,11,4,3,0.4444,0.4444,0.0,-0.1538,0.0,0.0,0.0,0.0
dwight-buycks,Dwight Buycks,2015,35,35,11,13,11,0.5714,0.6143,0.0429,0.1359,0.0454,0.0,0.0606,0.03331
dwight-howard,Dwight Howard,2015,372,372,367,3,2,0.6754,0.6519,-0.0235,0.0572,-0.0221,-0.3333,0.125,-0.02382
dwight-powell,Dwight Powell,2015,60,60,26,23,11,0.5417,0.5417,0.0,-0.0115,0.0,0.0,0.0,0.0
dwyane-wade,Dwyane Wade,2015,1010,1010,413,500,97,0.5065,0.5025,-0.004,0.0142,-0.01,0.0023,-0.0075,-0.00367
e-twaun-moore,E'Twaun Moore,2015,125,125,48,41,36,0.5178,0.528,0.0102,0.0157,0.0374,0.0401,-0.0403,0.01591
earl-barron,Earl Barron,2015,37,37,10,23,4,0.3514,0.3514,0.0,-0.1404,0.0,0.0,0.0,0.0
earl-clark,Earl Clark,2015,30,30,5,11,14,0.5658,0.4333,-0.1325,-0.0831,-0.2556,-0.1013,-0.0754,-0.11493
ed-davis,Ed Davis,2015,418,418,406,12,0,0.6532,0.6746,0.0214,0.0475,0.0225,-0.0128,,0.02149
ekpe-udoh,Ekpe Udoh,2015,22,22,11,11,0,0.4303,0.5,0.0697,-0.0304,0.0788,0.0606,,0.0697
elfrid-payton,Elfrid Payton,2015,598,598,434,122,42,0.5075,0.5075,0.0,-0.0277,0.0,0.0,0.0,0.0
elijah-millsap,Elijah Millsap,2015,210,210,86,34,90,0.4524,0.4524,0.0,-0.0835,0.0,0.0,0.0,0.0
elliot-williams,Elliot Williams,2015,35,35,8,9,18,0.4488,0.5143,0.0655,0.0006,-0.0208,-0.1593,0.1441,0.02839
elton-brand,Elton Brand,2015,91,91,25,65,1,0.4984,0.4615,-0.0369,-0.0214,-0.033,-0.0388,0.0,-0.03678
enes-freedom,Enes Freedom,2015,851,851,557,249,45,0.5602,0.5758,0.0156,0.0237,0.0287,-0.0109,0.0,0.0156
enes-kanter,Enes Kanter,2015,851,851,557,249,45,0.5602,0.5758,0.0156,0.0237,0.0287,-0.0109,0.0,0.0156
eric-bledsoe,Eric Bledsoe,2015,995,995,428,296,271,0.5242,0.5146,-0.0096,-0.0193,-0.0189,-0.0075,0.0019,-0.00984
eric-gordon,Eric Gordon,2015,653,653,201,141,311,0.5561,0.5444,-0.0117,0.0208,-0.0531,-0.0075,0.0089,-0.01373
eric-moreland,Eric Moreland,2015,1,1,1,0,0,1.0,1.0,0.0,0.4972,0.0,,,0.0
erick-green,Erick Green,2015,159,159,29,84,46,0.4277,0.4277,0.0,-0.0524,0.0,0.0,0.0,0.0
ersan-ilyasova,Ersan Ilyasova,2015,521,521,193,141,187,0.5369,0.5758,0.0389,0.0174,0.0382,0.0269,0.0324,0.03306
evan-fournier,Evan Fournier,2015,538,538,224,89,225,0.5377,0.5493,0.0116,0.0048,0.0397,-0.0005,-0.0078,0.01318
evan-turner,Evan Turner,2015,706,706,228,360,118,0.491,0.4752,-0.0158,-0.0136,-0.0215,-0.0026,-0.0298,-0.01325
festus-ezeli,Festus Ezeli,2015,122,122,108,14,0,0.623,0.623,0.0,0.0124,0.0,0.0,,0.0
francisco-garcia,Francisco Garcia,2015,61,61,10,6,45,0.4533,0.3607,-0.0926,-0.1737,-0.0357,-0.1111,-0.0685,-0.06731
furkan-aldemir,Furkan Aldemir,2015,68,68,50,13,5,0.5882,0.5882,0.0,-0.0038,0.0,0.0,0.0,0.0
gal-mekel,Gal Mekel,2015,17,17,5,9,3,0.2745,0.1765,-0.098,-0.2761,-0.0667,-0.037,-0.2222,-0.07842
garrett-temple,Garrett Temple,2015,160,160,37,35,88,0.4805,0.5281,0.0476,-0.0059,0.0324,-0.0042,0.0498,0.03396
gary-harris,Gary Harris,2015,198,198,50,48,100,0.3864,0.3864,0.0,-0.1476,0.0,0.0,0.0,0.0
gary-neal,Gary Neal,2015,478,478,82,234,162,0.4666,0.4456,-0.021,-0.0204,-0.0291,0.0047,-0.0361,-0.01493
george-hill,George Hill,2015,509,509,181,136,192,0.5454,0.5688,0.0234,0.0489,0.0049,0.0671,0.0064,0.02209
gerald-green,Gerald Green,2015,762,762,140,237,385,0.5377,0.5151,-0.0226,0.0078,-0.0379,0.0101,-0.0248,-0.01635
gerald-henderson,Gerald Henderson,2015,813,813,227,450,136,0.4692,0.4828,0.0136,0.0046,0.0157,0.0099,0.015,0.01237
gerald-wallace,Gerald Wallace,2015,29,29,24,2,3,0.5685,0.5,-0.0685,-0.1112,-0.0654,-0.5833,0.1666,-0.07712
giannis-antetokounmpo,Giannis Antetokounmpo,2015,706,706,458,205,43,0.5255,0.539,0.0135,-0.0048,0.0145,0.0302,-0.0519,0.01501
gigi-datome,Gigi Datome,2015,89,89,18,31,40,0.5142,0.5843,0.0701,0.0601,-0.0092,0.0065,0.1033,0.04683
glen-davis,Glen Davis,2015,227,227,148,75,4,0.5657,0.5154,-0.0503,-0.0415,-0.0158,-0.121,0.0,-0.05028
glen-rice,Glen Rice,2015,14,14,5,2,7,0.2286,0.25,0.0214,-0.2504,0.0,0.0,0.0286,0.0143
glenn-robinson-iii,Glenn Robinson III,2015,64,64,26,19,19,0.4453,0.4453,0.0,-0.0732,0.0,0.0,0.0,0.0
goran-dragic,Goran Dragic,2015,953,953,465,233,255,0.5886,0.574,-0.0146,0.0273,0.0011,-0.0256,-0.0221,-0.01164
gordon-hayward,Gordon Hayward,2015,1024,1024,340,357,327,0.5133,0.5303,0.017,0.0154,0.001,0.0101,0.0275,0.01263
gorgui-dieng,Gorgui Dieng,2015,444,444,268,171,5,0.5549,0.5777,0.0228,0.0402,0.0308,0.0108,0.0,0.02275
grant-jerrett,Grant Jerrett,2015,26,26,7,4,15,0.2885,0.2885,0.0,-0.2915,0.0,0.0,0.0,0.0
greg-monroe,Greg Monroe,2015,766,766,703,63,0,0.5569,0.5522,-0.0047,-0.006,-0.0074,0.0252,,-0.00472
greg-smith,Greg Smith,2015,40,40,40,0,0,0.7863,0.75,-0.0363,0.0666,-0.0363,,,-0.0363
greg-stiemsma,Greg Stiemsma,2015,8,8,7,1,0,0.7336,0.75,0.0164,0.0463,-0.0765,0.6667,,0.0164
greivis-vasquez,Greivis Vasquez,2015,696,696,204,145,347,0.5265,0.5208,-0.0057,0.0,-0.0032,-0.0174,-0.0014,-0.00526
harrison-barnes,Harrison Barnes,2015,623,623,252,158,213,0.5569,0.5754,0.0185,0.0128,0.0085,0.0243,0.0174,0.01555
hassan-whiteside,Hassan Whiteside,2015,355,355,315,40,0,0.6817,0.6817,0.0,0.0804,0.0,0.0,,0.0
hedo-turkoglu,Hedo Turkoglu,2015,188,188,20,29,139,0.5947,0.6011,0.0064,0.0824,-0.0167,0.023,0.0042,0.00488
henry-sims,Henry Sims,2015,472,472,218,232,22,0.4903,0.5085,0.0182,-0.017,0.0305,0.0083,0.0,0.01817
henry-walker,Henry Walker,2015,159,159,23,7,129,0.5063,0.5063,0.0,-0.0371,0.0,0.0,0.0,0.0
hollis-thompson,Hollis Thompson,2015,518,518,150,83,285,0.5515,0.5434,-0.0081,0.0022,-0.0297,-0.0258,0.0056,-0.00965
ian-clark,Ian Clark,2015,52,52,13,9,30,0.4353,0.4615,0.0262,-0.0906,-0.0128,0.0555,0.0228,0.01956
ian-mahinmi,Ian Mahinmi,2015,196,196,171,25,0,0.5922,0.5969,0.0047,-0.0126,0.0154,-0.0683,,0.00472
iman-shumpert,Iman Shumpert,2015,457,457,103,158,196,0.4782,0.4934,0.0152,-0.0147,-0.0029,0.0212,0.0133,0.01238
isaiah-canaan,Isaiah Canaan,2015,344,344,66,36,242,0.5483,0.5509,0.0026,0.0345,-0.004,0.0112,0.002,0.00181
isaiah-thomas,Isaiah Thomas,2015,742,742,239,165,338,0.544,0.5384,-0.0056,0.0275,-0.0083,-0.0444,0.0103,-0.00785
ish-smith,Ish Smith,2015,347,347,245,42,60,0.443,0.438,-0.005,-0.0925,-0.0156,-0.065,0.0535,-0.00963
j-j-barea,J.J. Barea,2015,503,503,232,105,166,0.4989,0.501,0.0021,-0.0146,0.0109,0.0101,-0.0103,0.00374
jabari-brown,Jabari Brown,2015,158,158,50,46,62,0.5158,0.5158,0.0,-0.0188,0.0,0.0,0.0,0.0
jabari-parker,Jabari Parker,2015,242,242,143,83,16,0.5413,0.5413,0.0,-0.0028,0.0,0.0,0.0,0.0
jack-cooley,Jack Cooley,2015,20,20,15,5,0,0.45,0.45,0.0,-0.1325,0.0,0.0,,0.0
jae-crowder,Jae Crowder,2015,519,519,171,143,205,0.5071,0.5,-0.0071,-0.0466,-0.0303,0.0111,-0.0003,-0.00704
jakarr-sampson,JaKarr Sampson,2015,313,313,168,21,124,0.516,0.516,0.0,-0.0436,0.0,0.0,0.0,0.0
jamaal-franklin,Jamaal Franklin,2015,2,2,0,0,2,0.75,0.75,0.0,0.1834,,,0.0,0.0
jamal-crawford,Jamal Crawford,2015,814,814,137,319,358,0.492,0.4785,-0.0135,0.0033,-0.0132,-0.0113,-0.0104,-0.01122
jameer-nelson,Jameer Nelson,2015,484,484,106,121,257,0.5203,0.5155,-0.0048,0.0053,-0.0091,0.0403,-0.0162,-0.00052
james-ennis-iii,James Ennis III,2015,222,222,94,33,95,0.5248,0.5248,0.0,-0.0504,0.0,0.0,0.0,0.0
james-harden,James Harden,2015,1340,1340,487,307,546,0.5509,0.5522,0.0013,0.0436,-0.0059,0.0051,0.0038,0.00057
james-johnson,James Johnson,2015,380,380,285,44,51,0.6233,0.6408,0.0175,0.0747,0.0378,-0.0224,-0.0409,0.02027
james-jones,James Jones,2015,198,198,7,19,172,0.5697,0.5328,-0.0369,-0.0024,0.0,0.0,-0.0282,-0.0245
james-michael-mcadoo,James Michael McAdoo,2015,41,41,39,2,0,0.5854,0.5854,0.0,-0.0372,0.0,0.0,,0.0
james-young,James Young,2015,100,100,14,21,65,0.445,0.445,0.0,-0.0976,0.0,0.0,0.0,0.0
jamychal-green,JaMychal Green,2015,44,44,28,10,6,0.6136,0.6136,0.0,0.033,0.0,0.0,0.0,0.0
jannero-pargo,Jannero Pargo,2015,34,34,1,11,22,0.5467,0.5735,0.0268,0.1098,0.3333,0.0136,0.013,0.02261
jared-cunningham,Jared Cunningham,2015,31,31,11,7,13,0.4581,0.4516,-0.0065,-0.1064,-0.0455,0.0,0.0154,-0.00969
jared-dudley,Jared Dudley,2015,401,401,67,144,190,0.5625,0.5835,0.021,0.0548,0.0407,-0.0049,0.0226,0.01575
jared-sullinger,Jared Sullinger,2015,672,672,307,181,184,0.4927,0.5015,0.0088,-0.0332,0.0032,0.0152,0.0078,0.00769
jarnell-stokes,Jarnell Stokes,2015,31,31,26,5,0,0.6774,0.6774,0.0,0.0905,0.0,0.0,,0.0
jarrett-jack,Jarrett Jack,2015,789,789,248,396,145,0.4813,0.4797,-0.0016,0.003,-0.013,0.0157,-0.0195,0.00021
jason-maxiell,Jason Maxiell,2015,173,173,102,71,0,0.4534,0.4682,0.0148,-0.077,0.0178,0.0106,,0.01485
jason-richardson,Jason Richardson,2015,176,176,40,40,96,0.4403,0.4403,0.0,-0.0813,0.0,0.0,0.0,0.0
jason-smith,Jason Smith,2015,555,555,110,403,42,0.4824,0.4766,-0.0058,0.014,-0.0068,-0.0063,0.0,-0.00592
jason-terry,Jason Terry,2015,436,436,59,58,319,0.5602,0.5654,0.0052,0.0361,0.0209,0.0464,-0.0034,0.00651
jason-thompson,Jason Thompson,2015,393,393,238,154,1,0.5226,0.5115,-0.0111,-0.0341,-0.0098,-0.0134,0.0,-0.01119
javale-mcgee,JaVale McGee,2015,70,70,57,13,0,0.5662,0.6,0.0338,-0.0064,0.046,-0.0193,,0.03387
jeff-adrien,Jeff Adrien,2015,35,35,23,12,0,0.5998,0.5429,-0.0569,0.0114,-0.0577,-0.0556,,-0.05698
jeff-ayres,Jeff Ayres,2015,92,92,77,15,0,0.6198,0.5978,-0.022,-0.0359,-0.0354,0.0467,,-0.02201
jeff-green,Jeff Green,2015,900,900,393,218,289,0.5132,0.515,0.0018,-0.0158,0.0084,-0.0036,-0.002,0.00215
jeff-teague,Jeff Teague,2015,815,815,457,153,205,0.5348,0.5417,0.0069,0.0018,0.0007,0.0369,-0.0013,0.00699
jeff-withey,Jeff Withey,2015,49,49,41,8,0,0.6479,0.6531,0.0052,0.0169,0.0041,0.0104,,0.00513
jeffery-taylor,Jeffery Taylor,2015,100,100,38,28,34,0.4897,0.505,0.0153,-0.0365,-0.0209,0.0803,0.0014,0.01502
jerami-grant,Jerami Grant,2015,317,317,129,32,156,0.4685,0.4685,0.0,-0.0831,0.0,0.0,0.0,0.0
jerel-mcneal,Jerel McNeal,2015,10,10,4,4,2,0.35,0.35,0.0,-0.1432,0.0,0.0,0.0,0.0
jeremy-evans,Jeremy Evans,2015,54,54,40,9,5,0.6166,0.6111,-0.0055,-0.0021,0.0412,-0.2163,0.0,-0.00553
jeremy-lamb,Jeremy Lamb,2015,243,243,63,70,110,0.5212,0.5062,-0.015,-0.0002,0.0775,-0.0686,-0.0225,-0.00985
jeremy-lin,Jeremy Lin,2015,602,602,212,215,175,0.5084,0.5141,0.0057,0.0248,0.0212,-0.0248,0.0164,0.00338
jerome-jordan,Jerome Jordan,2015,79,79,65,14,0,0.6329,0.6329,0.0,0.02,0.0,0.0,,0.0
jerryd-bayless,Jerryd Bayless,2015,487,487,153,219,115,0.5056,0.4897,-0.0159,-0.0124,0.0213,-0.0138,-0.0461,-0.0104
jimmer-fredette,Jimmer Fredette,2015,160,160,67,45,48,0.4648,0.4219,-0.0429,-0.0888,-0.0124,-0.0087,-0.0785,-0.03119
jimmy-butler,Jimmy Butler,2015,853,853,358,304,191,0.5184,0.5363,0.0179,0.011,0.0046,0.0027,0.0448,0.01292
jimmy-butler-iii,Jimmy Butler III,2015,853,853,358,304,191,0.5184,0.5363,0.0179,0.011,0.0046,0.0027,0.0448,0.01292
jj-hickson,JJ Hickson,2015,403,403,319,82,2,0.5713,0.5409,-0.0304,-0.0552,-0.0231,-0.059,0.0,-0.03029
jj-redick,JJ Redick,2015,912,912,98,357,457,0.5916,0.5998,0.0082,0.0883,0.0553,-0.0056,0.0058,0.00666
joakim-noah,Joakim Noah,2015,383,383,297,84,2,0.5451,0.4961,-0.049,-0.0905,-0.0496,-0.0481,0.0,-0.04901
jodie-meeks,Jodie Meeks,2015,514,514,129,174,211,0.5211,0.5039,-0.0172,-0.0188,-0.0325,0.0093,-0.0199,-0.01318
joe-harris,Joe Harris,2015,116,116,20,13,83,0.5474,0.5474,0.0,0.0064,0.0,0.0,0.0,0.0
joe-ingles,Joe Ingles,2015,346,346,65,79,202,0.5289,0.5289,0.0,0.0091,0.0,0.0,0.0,0.0
joe-johnson,Joe Johnson,2015,998,998,343,319,336,0.5234,0.5065,-0.0169,0.0142,-0.0048,-0.0178,-0.019,-0.01374
joel-anthony,Joel Anthony,2015,58,58,47,11,0,0.5895,0.6207,0.0312,0.0176,0.0314,0.0303,,0.03119
joel-freeland,Joel Freeland,2015,145,145,74,71,0,0.5161,0.5103,-0.0058,-0.0176,0.0247,-0.0375,,-0.00576
joey-dorsey,Joey Dorsey,2015,119,119,116,2,1,0.6723,0.6723,0.0,0.0141,0.0,0.0,0.0,0.0
joffrey-lauvergne,Joffrey Lauvergne,2015,73,73,45,12,16,0.5137,0.5137,0.0,-0.0602,0.0,0.0,0.0,0.0
john-henson,John Henson,2015,326,326,314,12,0,0.6153,0.5982,-0.0171,-0.0293,-0.0189,0.0277,,-0.01718
john-jenkins,John Jenkins,2015,94,94,14,30,50,0.5927,0.633,0.0403,0.1046,0.0238,0.0055,0.0438,0.0286
john-lucas-iii,John Lucas III,2015,102,102,16,57,29,0.4201,0.4559,0.0358,0.0034,0.0,0.0608,0.0042,0.03517
john-salmons,John Salmons,2015,48,48,4,18,26,0.4698,0.4167,-0.0531,-0.0784,0.0,-0.07,-0.033,-0.04412
john-wall,John Wall,2015,1121,1121,364,542,215,0.4884,0.492,0.0036,-0.0017,-0.0041,0.0261,-0.0269,0.00613
johnny-o-bryant-iii,Johnny O'Bryant III,2015,107,107,43,64,0,0.4019,0.4019,0.0,-0.096,0.0,0.0,,0.0
jon-leuer,Jon Leuer,2015,258,258,110,120,28,0.5203,0.4826,-0.0377,-0.0523,-0.0085,-0.0284,-0.1284,-0.03077
jonas-jerebko,Jonas Jerebko,2015,363,363,151,72,140,0.5401,0.5399,-0.0002,-0.0216,0.017,0.0164,-0.0181,0.00334
jonas-valan-i-nas,Jonas ValanÄiÅ«nas,2015,589,589,523,65,1,0.6164,0.6333,0.0169,0.0515,0.0122,0.055,0.0,0.0169
jonas-valanciunas,Jonas Valanciunas,2015,589,589,523,65,1,0.6164,0.6333,0.0169,0.0515,0.0122,0.055,0.0,0.0169
jordan-adams,Jordan Adams,2015,78,78,29,24,25,0.5128,0.5128,0.0,-0.0297,0.0,0.0,0.0,0.0
jordan-clarkson,Jordan Clarkson,2015,554,554,230,205,119,0.5144,0.5144,0.0,0.0147,0.0,0.0,0.0,0.0
jordan-farmar,Jordan Farmar,2015,155,155,21,37,97,0.5556,0.5065,-0.0491,-0.0057,0.0733,0.0,-0.063,-0.02949
jordan-hamilton,Jordan Hamilton,2015,33,33,7,5,21,0.4845,0.5758,0.0913,0.0388,-0.0317,0.15,0.0789,0.06621
jordan-hill,Jordan Hill,2015,747,747,327,409,11,0.4873,0.4799,-0.0074,-0.0148,-0.0161,-0.0006,0.0,-0.00738
jorge-gutierrez,Jorge Gutierrez,2015,40,40,19,18,3,0.55,0.55,0.0,0.0241,-0.0395,0.0417,0.0,0.0
jose-calderon,Jose Calderon,2015,334,334,33,166,135,0.5561,0.512,-0.0441,0.0251,-0.004,-0.0259,-0.0509,-0.03384
josh-mcroberts,Josh McRoberts,2015,48,48,25,4,19,0.6208,0.6667,0.0459,0.0901,0.0339,0.1667,0.0242,0.04113
josh-smith,Josh Smith,2015,939,939,529,182,228,0.4838,0.4792,-0.0046,-0.07,-0.0088,-0.0291,0.0165,-0.00659
jr-smith,JR Smith,2015,739,739,103,212,424,0.5357,0.5365,0.0008,0.0385,-0.0216,0.0236,-0.0034,0.00181
jrue-holiday,Jrue Holiday,2015,502,502,195,174,133,0.5178,0.5249,0.0071,0.0284,0.0267,-0.0134,0.0034,0.00663
julius-randle,Julius Randle,2015,3,3,2,1,0,0.3333,0.3333,0.0,-0.2663,0.0,0.0,,0.0
justin-hamilton,Justin Hamilton,2015,167,167,100,36,31,0.5419,0.5389,-0.003,-0.0407,-0.0063,0.0296,-0.0201,-0.00112
justin-holiday,Justin Holiday,2015,224,224,55,62,107,0.4844,0.4844,0.0,-0.0638,0.0,0.0,0.0,0.0
