name_slug,name,season_year,fga,total_zone_fga,u10_fga,o10_fg2a,fg3a,p_exp_efgpct,act_efgpct,efg_above_position,efg_above_league,u10_fgpct_p_diff,o10_fg2pct_p_diff,fg3pct_p_diff,ptv_raw
blake-griffin,Blake Griffin,2014,1290,1290,772,474,44,0.5605,0.5605,0.0,0.0175,0.0,0.0,0.0,0.0
boris-diaw,Boris Diaw,2014,557,557,308,137,112,0.5826,0.5826,0.0,0.0328,0.0,0.0,0.0,0.0
bradley-beal,Bradley Beal,2014,1091,1091,205,551,335,0.4959,0.4959,0.0,0.001,0.0,0.0,0.0,0.0
brandan-wright,Brandan Wright,2014,314,314,272,42,0,0.7134,0.7134,0.0,0.0654,0.0,0.0,,0.0
brandon-bass,Brandon Bass,2014,677,677,321,350,6,0.5214,0.5214,0.0,0.0242,0.0,0.0,0.0,0.0
brandon-davies,Brandon Davies,2014,117,117,78,29,10,0.4701,0.4701,0.0,-0.1132,0.0,0.0,0.0,0.0
brandon-jennings,Brandon Jennings,2014,1087,1087,316,314,457,0.46,0.46,0.0,-0.0454,0.0,0.0,0.0,0.0
brandon-knight,Brandon Knight,2014,1030,1030,378,316,336,0.499,0.499,0.0,-0.0182,0.0,0.0,0.0,0.0
brandon-rush,Brandon Rush,2014,85,85,9,29,47,0.4471,0.4471,0.0,-0.0569,0.0,0.0,0.0,0.0
brian-roberts,Brian Roberts,2014,550,550,112,264,174,0.5018,0.5018,0.0,0.0256,0.0,0.0,0.0,0.0
brook-lopez,Brook Lopez,2014,216,216,135,80,1,0.5972,0.5972,0.0,0.0701,0.0,0.0,0.0,0.0
byron-mullens,Byron Mullens,2014,154,154,40,26,88,0.5812,0.5812,0.0,0.0145,0.0,0.0,0.0,0.0
c-j-watson,C.J. Watson,2014,321,321,89,87,145,0.5374,0.5374,0.0,-0.0039,0.0,0.0,0.0,0.0
carl-landry,Carl Landry,2014,56,56,26,30,0,0.5536,0.5536,0.0,0.0457,0.0,0.0,,0.0
carlos-boozer,Carlos Boozer,2014,887,887,389,496,2,0.5028,0.5028,0.0,0.0012,0.0,0.0,0.0,0.0
carmelo-anthony,Carmelo Anthony,2014,1568,1568,349,806,413,0.5271,0.5271,0.0,0.0557,0.0,0.0,0.0,0.0
caron-butler,Caron Butler,2014,518,518,40,236,242,0.499,0.499,0.0,0.0245,0.0,0.0,0.0,0.0
carrick-felix,Carrick Felix,2014,13,13,6,2,5,0.6154,0.6154,0.0,-0.0221,0.0,0.0,0.0,0.0
cartier-martin,Cartier Martin,2014,254,254,48,56,150,0.5531,0.5531,0.0,0.0102,0.0,0.0,0.0,0.0
casper-ware,Casper Ware,2014,41,41,14,6,21,0.5244,0.5244,0.0,-0.0097,0.0,0.0,0.0,0.0
chandler-parsons,Chandler Parsons,2014,922,922,444,130,348,0.5759,0.5759,0.0,0.0182,0.0,0.0,0.0,0.0
channing-frye,Channing Frye,2014,763,763,153,178,432,0.5452,0.5452,0.0,0.0096,0.0,0.0,0.0,0.0
charlie-villanueva,Charlie Villanueva,2014,89,89,23,10,56,0.4719,0.4719,0.0,-0.0666,0.0,0.0,0.0,0.0
chase-budinger,Chase Budinger,2014,244,244,66,59,119,0.4918,0.4918,0.0,-0.0679,0.0,0.0,0.0,0.0
chauncey-billups,Chauncey Billups,2014,77,77,8,22,47,0.4026,0.4026,0.0,-0.105,0.0,0.0,0.0,0.0
chris-andersen,Chris Andersen,2014,259,259,222,25,12,0.6892,0.6892,0.0,0.0374,0.0,0.0,0.0,0.0
chris-babb,Chris Babb,2014,30,30,2,1,27,0.3667,0.3667,0.0,-0.2026,0.0,0.0,0.0,0.0
chris-bosh,Chris Bosh,2014,921,921,337,367,217,0.5744,0.5744,0.0,0.0357,0.0,0.0,0.0,0.0
chris-copeland,Chris Copeland,2014,111,111,29,4,78,0.6441,0.6441,0.0,0.1132,0.0,0.0,0.0,0.0
chris-douglas-roberts,Chris Douglas-Roberts,2014,236,236,80,27,129,0.5657,0.5657,0.0,0.0151,0.0,0.0,0.0,0.0
chris-johnson,Chris Johnson,2014,200,200,54,21,125,0.5325,0.5325,0.0,-0.0463,0.0,0.0,0.0,0.0
chris-kaman,Chris Kaman,2014,328,328,170,155,3,0.5366,0.5366,0.0,0.0258,0.0,0.0,0.0,0.0
chris-paul,Chris Paul,2014,838,838,202,425,211,0.531,0.531,0.0,0.0485,0.0,0.0,0.0,0.0
chris-singleton,Chris Singleton,2014,62,62,20,23,19,0.4597,0.4597,0.0,-0.0717,0.0,0.0,0.0,0.0
chris-wright,Chris Wright,2014,32,32,30,1,1,0.6563,0.6563,0.0,0.0315,0.0,0.0,0.0,0.0
chuck-hayes,Chuck Hayes,2014,112,112,108,3,1,0.4821,0.4821,0.0,-0.1687,0.0,0.0,0.0,0.0
cj-mccollum,CJ McCollum,2014,166,166,31,55,80,0.5361,0.5361,0.0,0.0437,0.0,0.0,0.0,0.0
cj-miles,CJ Miles,2014,394,394,90,93,211,0.5571,0.5571,0.0,0.0353,0.0,0.0,0.0,0.0
cody-zeller,Cody Zeller,2014,359,359,207,151,1,0.4735,0.4735,0.0,-0.059,0.0,0.0,0.0,0.0
cole-aldrich,Cole Aldrich,2014,57,57,56,1,0,0.5789,0.5789,0.0,-0.0366,0.0,0.0,,0.0
corey-brewer,Corey Brewer,2014,762,762,434,118,210,0.5446,0.5446,0.0,-0.0605,0.0,0.0,0.0,0.0
cory-joseph,Cory Joseph,2014,247,247,105,104,38,0.5344,0.5344,0.0,0.0233,0.0,0.0,0.0,0.0
courtney-lee,Courtney Lee,2014,585,585,155,237,193,0.5658,0.5658,0.0,0.0522,0.0,0.0,0.0,0.0
d-j-augustin,D.J. Augustin,2014,661,661,187,157,317,0.5492,0.5492,0.0,0.038,0.0,0.0,0.0,0.0
damian-lillard,Damian Lillard,2014,1219,1219,402,267,550,0.5431,0.5431,0.0,0.0189,0.0,0.0,0.0,0.0
damion-james,Damion James,2014,9,9,2,5,2,0.2222,0.2222,0.0,-0.2814,0.0,0.0,0.0,0.0
daniel-orton,Daniel Orton,2014,40,40,27,13,0,0.525,0.525,0.0,-0.0301,0.0,0.0,,0.0
danny-granger,Danny Granger,2014,290,290,90,72,128,0.4741,0.4741,0.0,-0.0649,0.0,0.0,0.0,0.0
danny-green,Danny Green,2014,493,493,86,92,315,0.5761,0.5761,0.0,0.0337,0.0,0.0,0.0,0.0
dante-cunningham,Dante Cunningham,2014,493,493,139,349,5,0.4787,0.4787,0.0,-0.0162,0.0,0.0,0.0,0.0
darius-johnson-odom,Darius Johnson-Odom,2014,7,7,0,4,3,0.0,0.0,0.0,-0.4772,,0.0,0.0,0.0
darius-miller,Darius Miller,2014,160,160,26,60,74,0.5344,0.5344,0.0,0.0368,0.0,0.0,0.0,0.0
darius-morris,Darius Morris,2014,90,90,28,24,38,0.5,0.5,0.0,-0.0203,0.0,0.0,0.0,0.0
darrell-arthur,Darrell Arthur,2014,395,395,75,256,64,0.4405,0.4405,0.0,-0.0493,0.0,0.0,0.0,0.0
darren-collison,Darren Collison,2014,653,653,202,263,188,0.549,0.549,0.0,0.0335,0.0,0.0,0.0,0.0
david-lee,David Lee,2014,871,871,730,141,0,0.5821,0.5821,0.0,0.0047,0.0,0.0,,0.0
david-west,David West,2014,890,890,409,466,15,0.5169,0.5169,0.0,0.0229,0.0,0.0,0.0,0.0
deandre-jordan,DeAndre Jordan,2014,484,484,480,4,0,0.719,0.719,0.0,0.028,0.0,0.0,,0.0
deandre-liggins,DeAndre Liggins,2014,1,1,1,0,0,1.0,1.0,0.0,0.2816,0.0,,,0.0
dejuan-blair,DeJuan Blair,2014,346,346,277,67,2,0.6069,0.6069,0.0,-0.0118,0.0,0.0,0.0,0.0
demar-derozan,DeMar DeRozan,2014,1336,1336,357,773,206,0.4719,0.4719,0.0,0.008,0.0,0.0,0.0,0.0
