"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Paul George","PHI",289,582,160,29,63,0.4603174603174603,26,66,0.3939393939393939,0.3939393939393939,24,16,42,66,12,0.27586206896551724,0.2857142857142857,0.8461538461538461,0.5116279069767442,0.5287527131782944,0.5271317829457365,0.5673758865248227,2,4,0.06349206349206349,0,0,23.42064714946071
"Tari Eason","HOU",287,563,106,23,54,0.42592592592592593,18,47,0.3829787234042553,0.3829787234042553,6,22,24,54,0,0.4782608695652174,0.5789473684210527,1,0.46534653465346537,0.5698455445544556,0.49504950495049505,0.5047619047619047,8,8,0.14814814814814814,0,0,18.18181818181818
"Aaron Gordon","DEN",283,568,172,39,62,0.6290322580645161,20,50,0.4,0.4,34,42,36,54,6,0.5384615384615384,0.65625,0.9,0.44642857142857145,0.5715660714285714,0.6160714285714286,0.6564885496183206,14,4,0.06451612903225806,0,0,21.484992101105846
"Jerami Grant","POR",283,590,168,26,51,0.5098039215686274,30,66,0.45454545454545453,0.45454545454545453,26,24,28,87,3,0.46153846153846156,0.48,0.9666666666666667,0.5641025641025641,0.5596388888888889,0.6068376068376068,0.6461538461538462,2,8,0.1568627450980392,0,0,21.652421652421655
"Jalen Williams","OKC",278,593,156,51,91,0.5604395604395604,11,29,0.3793103448275862,0.3793103448275862,21,46,56,24,9,0.45098039215686275,0.46938775510204084,0.7272727272727273,0.24166666666666667,0.5577804166666668,0.5625,0.5954198473282443,4,7,0.07692307692307693,0,0,22.37654320987654
"Kel'el Ware","MIA",271,568,106,33,54,0.6111111111111112,11,28,0.39285714285714285,0.39285714285714285,7,44,22,33,0,0.6666666666666666,0.9166666666666666,1,0.34146341463414637,0.6008646341463415,0.6036585365853658,0.6162790697674418,18,4,0.07407407407407407,0,0,14.457831325301205
"Josh Okogie","HOU",270,523,78,21,30,0.7,11,28,0.39285714285714285,0.39285714285714285,3,24,18,33,0,0.5714285714285714,0.7058823529411765,1,0.4827586206896552,0.5933896551724137,0.646551724137931,0.6290322580645161,8,2,0.06666666666666667,0,0,11.688311688311687
"Tre Jones","CHI",263,551,145,43,71,0.6056338028169014,13,30,0.43333333333333335,0.43333333333333335,20,42,44,33,6,0.4883720930232558,0.5121951219512195,0.8461538461538461,0.297029702970297,0.5928752475247525,0.6188118811881188,0.6590909090909091,4,6,0.08450704225352113,0,0,20.59308072487644
"Tyler Herro","MIA",260,560,148,43,69,0.6231884057971014,11,45,0.24444444444444444,0.24444444444444444,29,46,40,21,12,0.5348837209302325,0.5348837209302325,0.6363636363636364,0.39473684210526316,0.5269364035087719,0.5219298245614035,0.5873015873015873,0,3,0.043478260869565216,0,0,21.88006482982172
"Ryan Kalkbrenner","CHA",254,537,108,45,56,0.8035714285714286,0,0,0,0,18,66,24,0,0,0.7333333333333333,1,0,0,0.6584464285714285,0.8035714285714286,0.8181818181818182,24,5,0.08928571428571429,0,0,12.5
"Quinten Post","GSW",251,531,130,17,36,0.4722222222222222,30,76,0.39473684210526316,0.39473684210526316,6,26,8,87,3,0.7647058823529411,0.8666666666666667,0.9666666666666667,0.6785714285714286,0.5609245535714286,0.5535714285714286,0.5652173913043478,4,4,0.1111111111111111,2,0.02631578947368421,21.283783783783782
"Franz Wagner","ORL",223,472,145,47,80,0.5875,10,24,0.4166666666666667,0.4166666666666667,21,52,42,24,6,0.5531914893617021,0.5531914893617021,0.8,0.23076923076923078,0.5367134615384616,0.5961538461538461,0.6304347826086957,0,3,0.0375,0,0,23.639774859287055
"Grayson Allen","PHX",221,448,113,17,27,0.6296296296296297,23,68,0.3382352941176471,0.3382352941176471,10,24,10,51,18,0.7058823529411765,0.7058823529411765,0.7391304347826086,0.7157894736842105,0.5475636842105263,0.5421052631578948,0.5606060606060606,0,5,0.18518518518518517,1,0.014705882352941176,21.24756335282651
"Nique Clifford","SAC",217,455,63,18,43,0.4186046511627907,8,22,0.36363636363636365,0.36363636363636365,3,26,10,24,0,0.7222222222222222,0.7647058823529411,1,0.3384615384615385,0.5277938461538462,0.46153846153846156,0.45652173913043476,2,4,0.09302325581395349,0,0,15.60693641618497
"De'Andre Hunter","CLE",214,445,111,26,40,0.65,15,49,0.30612244897959184,0.30612244897959184,14,34,18,39,6,0.6538461538461539,0.7083333333333334,0.8666666666666667,0.550561797752809,0.5582825842696629,0.5449438202247191,0.578125,4,5,0.125,0,0,20.758483033932137
"Luke Kornet","SAS",213,448,65,25,35,0.7142857142857143,0,0,0,0,15,44,6,0,0,0.88,1,0,0,0.673697142857143,0.7142857142857143,0.7738095238095238,6,3,0.08571428571428572,0,0,9.181636726546907
"Oso Ighodaro","PHX",211,426,72,33,49,0.673469387755102,0,0,0,0,6,64,2,0,0,0.9696969696969697,0.9696969696969697,0,0,0.6027591836734694,0.673469387755102,0.6923076923076923,0,4,0.08163265306122448,0,0,11.983471074380166
"Jalen Green","PHX",205,420,153,41,73,0.5616438356164384,19,51,0.37254901960784315,0.37254901960784315,14,30,52,42,15,0.36585365853658536,0.36585365853658536,0.7368421052631579,0.4112903225806452,0.5792491935483872,0.5604838709677419,0.583969465648855,0,11,0.1506849315068493,0,0,30.084745762711865
"GG Jackson","MEM",203,419,129,32,58,0.5517241379310345,16,27,0.5925925925925926,0.5925925925925926,17,34,30,42,6,0.53125,0.5862068965517241,0.875,0.3176470588235294,0.5832058823529412,0.6588235294117647,0.6861702127659575,6,9,0.15517241379310345,0,0,22.1505376344086
"Jock Landale","ATL",201,399,75,24,36,0.6666666666666666,7,21,0.3333333333333333,0.3333333333333333,6,32,16,21,0,0.6666666666666666,0.8421052631578947,1,0.3684210526315789,0.554082456140351,0.6052631578947368,0.6147540983606558,10,2,0.05555555555555555,0,0,15.686274509803923
"Drake Powell","BKN",199,392,73,13,27,0.48148148148148145,14,33,0.42424242424242425,0.42424242424242425,5,14,12,39,3,0.5384615384615384,0.5833333333333334,0.9285714285714286,0.55,0.5488008333333332,0.5666666666666667,0.5887096774193549,2,4,0.14814814814814814,0,0,15.676959619952495
"Sidy Cissoko","POR",197,414,47,11,22,0.5,6,28,0.21428571428571427,0.21428571428571427,7,12,10,18,0,0.5454545454545454,0.6,1,0.56,0.578737,0.4,0.42727272727272725,2,7,0.3181818181818182,0,0,14.25619834710744
"Gui Santos","GSW",193,388,66,17,26,0.6538461538461539,9,28,0.32142857142857145,0.32142857142857145,5,28,6,27,0,0.8235294117647058,0.8235294117647058,1,0.5185185185185185,0.5802916666666668,0.5648148148148148,0.5789473684210527,0,3,0.11538461538461539,0,0,16.241299303944317
"Coby White","CHI",193,404,118,24,35,0.6857142857142857,19,56,0.3392857142857143,0.3392857142857143,13,16,32,54,3,0.3333333333333333,0.34782608695652173,0.9473684210526315,0.6153846153846154,0.5933225274725275,0.5769230769230769,0.6157894736842106,2,2,0.05714285714285714,0,0,24.33035714285714
"Bennedict Mathurin","IND",191,389,82,16,35,0.45714285714285713,10,31,0.3225806451612903,0.3225806451612903,20,18,14,24,6,0.5625,0.5625,0.8,0.4696969696969697,0.5330977272727272,0.4696969696969697,0.5324675324675324,0,1,0.02857142857142857,0,0,21.647058823529413
"Brice Sensabaugh","UTA",189,408,90,14,30,0.4666666666666667,16,40,0.4,0.4,14,14,14,45,3,0.5,0.5384615384615384,0.9375,0.5714285714285714,0.545665,0.5428571428571428,0.577922077922078,2,1,0.03333333333333333,0,0,19.506726457399104
"Keegan Murray","SAC",189,390,89,28,50,0.56,7,27,0.25925925925925924,0.25925925925925924,12,34,22,15,6,0.6071428571428571,0.6296296296296297,0.7142857142857143,0.35064935064935066,0.5082863636363636,0.5,0.536144578313253,2,1,0.02,1,0.037037037037037035,20.08928571428571
"Ryan Nembhard","DAL",187,387,60,20,36,0.5555555555555556,6,18,0.3333333333333333,0.3333333333333333,2,8,32,18,0,0.2,0.21052631578947367,1,0.3333333333333333,0.4969342592592592,0.5370370370370371,0.5454545454545454,2,3,0.08333333333333333,0,0,16.028708133971293
"Jordan Walsh","BOS",184,365,66,12,21,0.5714285714285714,11,22,0.5,0.5,9,14,10,33,0,0.5833333333333334,0.7,1,0.5116279069767442,0.6009534883720928,0.6627906976744186,0.717391304347826,4,4,0.19047619047619047,0,0,12.705882352941176
"Gary Trent Jr.","MIL",184,370,87,9,14,0.6428571428571429,23,45,0.5111111111111111,0.5111111111111111,0,12,6,66,3,0.6666666666666666,0.6666666666666666,0.9565217391304348,0.7627118644067796,0.5461491525423728,0.7372881355932204,0.7372881355932204,0,0,0,1,0.022222222222222223,15.577889447236181
"Andre Drummond","PHI",182,375,56,15,31,0.4838709677419355,7,15,0.4666666666666667,0.4666666666666667,5,14,16,21,0,0.4666666666666667,0.7,1,0.32608695652173914,0.5942054347826087,0.5543478260869565,0.5283018867924528,10,3,0.0967741935483871,0,0,13.698630136986301
"Olivier-Maxence Prosper","MEM",175,359,114,25,33,0.7575757575757576,17,36,0.4722222222222222,0.4722222222222222,13,44,6,48,3,0.88,0.9565217391304348,0.9411764705882353,0.5217391304347826,0.6335449275362317,0.7318840579710145,0.7402597402597403,4,2,0.06060606060606061,0,0,20.75
"Kristaps Porziņģis","GSW",170,362,119,28,51,0.5490196078431373,14,36,0.3888888888888889,0.3888888888888889,21,38,18,42,0,0.6785714285714286,0.7916666666666666,1,0.41379310344827586,0.5466051724137931,0.5632183908045977,0.601010101010101,8,4,0.0784313725490196,0,0,25.183374083129586
"Baylor Scheierman","BOS",170,332,45,5,9,0.5555555555555556,11,37,0.2972972972972973,0.2972972972972973,2,10,0,33,0,1,1,1,0.8043478260869565,0.5524630434782608,0.4673913043478261,0.4787234042553192,0,0,0,0,0,13.246753246753247
"Collin Murray-Boyles","TOR",168,339,57,23,38,0.6052631578947368,1,7,0.14285714285714285,0.14285714285714285,8,40,6,3,0,0.8695652173913043,0.9090909090909091,1,0.15555555555555556,0.6409677777777779,0.5444444444444444,0.5816326530612245,2,7,0.18421052631578946,0,0,13.68421052631579
"Daniss Jenkins","DET",167,350,53,14,40,0.35,7,28,0.25,0.25,4,10,18,21,0,0.35714285714285715,0.35714285714285715,1,0.4117647058823529,0.5352411764705882,0.3602941176470588,0.37857142857142856,0,3,0.075,0,0,20.987654320987655
"Ayo Dosunmu","MIN",165,349,69,13,28,0.4642857142857143,12,23,0.5217391304347826,0.5217391304347826,7,20,6,27,9,0.7692307692307693,0.7692307692307693,0.75,0.45098039215686275,0.575693137254902,0.6078431372549019,0.6388888888888888,0,5,0.17857142857142858,0,0,16.36828644501279
"Reed Sheppard","HOU",164,333,68,9,18,0.5,16,40,0.4,0.4,2,10,8,42,6,0.5555555555555556,0.5555555555555556,0.875,0.6896551724137931,0.5468370689655172,0.5689655172413793,0.576271186440678,0,2,0.1111111111111111,0,0,17.58241758241758
