entity_id,season_year,open_cs_fg3a,open_cs_fg3m,open_cs_3_rate,open_cs_fg3_pct,off_drbl_fg3a,off_drbl_fg3m,off_drbl_fg2a,off_drbl_fg2m,off_drbl_rate,off_drbl_fg3_pct,contested_fg3a,contested_fg2a,contested_shot_rate,wide_open_fg3a,wide_open_fg3m,three_rate_sz,total_fga_sz,data_source,confidence
1628499,2018,3.0,2.0,0.15,0.6667,1.0,1.0,2.0,0.0,0.15,1.0,0.0,4.0,0.2,3.0,2.0,0.2,20,nba_shotzone_only,low
1628502,2018,15.0,4.0,0.4545,0.2667,0.0,0.0,1.0,0.0,0.0303,,1.0,5.0,0.1818,12.0,2.0,0.4848,33,nba_shotzone_only,low
1628503,2018,20.0,7.0,0.2703,0.35,2.0,0.0,7.0,2.0,0.1216,0.0,3.0,21.0,0.3243,12.0,6.0,0.3784,74,nba_shotzone_only,low
1628504,2018,4.0,0.0,0.1111,0.0,7.0,0.0,8.0,6.0,0.4167,0.0,0.0,7.0,0.1944,8.0,0.0,0.3611,36,nba_shotzone_only,low
1628506,2018,1.0,0.0,0.0833,0.0,2.0,0.0,3.0,1.0,0.4167,0.0,0.0,2.0,0.1667,3.0,0.0,0.25,12,nba_shotzone_only,low
1628510,2018,32.0,11.0,0.4776,0.3438,0.0,0.0,2.0,0.0,0.0299,,10.0,9.0,0.2836,13.0,4.0,0.6716,67,nba_shotzone_only,low
1628513,2018,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1,nba_shotzone_only,low
1628537,2018,7.0,2.0,0.2692,0.2857,1.0,0.0,8.0,4.0,0.3462,0.0,0.0,12.0,0.4615,7.0,2.0,0.3462,26,nba_shotzone_only,low
1628571,2018,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1,nba_shotzone_only,low
1628681,2018,42.0,11.0,0.4078,0.2619,1.0,1.0,8.0,2.0,0.0874,1.0,3.0,12.0,0.1456,32.0,9.0,0.4854,103,nba_shotzone_only,low
1628935,2018,2.0,0.0,0.2222,0.0,1.0,1.0,2.0,1.0,0.3333,1.0,0.0,3.0,0.3333,3.0,1.0,0.4444,9,nba_shotzone_only,low
