entity_id,entity_type,season,season_type,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def
1610612766,opponent,2024-25,RegularSeason,19515.34,7921,7916,3409,765,1516,366,464,1949,1345,370,210,233,22941,22941,2176,178,253,3924,2607,5663,712,425,1229,1961,32728,17137,1644.6,835,205,344,62,84,478,374,73,47,40,1784,652,1010,197,255,1533,481,90,103,119,460,100,204,53,62,259,180,50,28,31,919,496,417,2025,81,2754,769,1980,4693,455,7748679,1467.62,772.889999999999,694.749999999999
1610612751,opponent,2024-25,RegularSeason,19540.24,7693,7692,3514,731,1539,380,479,1901,1395,372,238,240,22973,22973,2194,203,315,3909,2708,5706,656,455,1257,2034,32674,17215,1652.4,826,225,347,88,106,560,361,84,39,48,1844,734,1063,195,277,1694,474,92,103,129,350,87,142,56,76,237,125,33,20,38,807,444,363,1901,56,2725,693,2014,4532,451,7803187,1478.19,771.069999999998,707.009999999999
1610612752,opponent,2024-25,RegularSeason,19880.15,8010,7993,3774,906,1847,431,537,2296,1285,353,248,273,21695,21695,2069,151,280,3557,2472,5245,575,406,1453,2195,31391,15850,1638.5,786,205,332,57,84,477,340,72,52,40,1691,658,979,162,227,1503,448,97,93,110,280,66,130,30,42,165,89,19,22,21,873,507,361,1937,83,2499,614,1871,4178,395,7818251,1480.76,777.8,703.11
1610612763,opponent,2024-25,RegularSeason,19705.37,8427,8421,4012,774,1694,494,613,2113,1613,401,291,309,23444,23444,2217,205,247,4038,2637,5741,710,451,1415,2128,33728,17084,1746.3,851,216,382,65,85,512,365,76,39,42,1797,644,1005,182,266,1498,494,86,101,123,294,59,131,45,52,166,102,22,23,26,937,525,405,2149,72,2597,818,1767,4528,429,7995126,1514.29,813.459999999999,700.819999999999
1610612743,opponent,2024-25,RegularSeason,19855.2,8149,8117,3863,890,1773,415,523,2257,1501,359,226,265,24357,24357,2379,192,362,4054,2901,6046,717,420,1832,2722,34407,18265,1718.2,992,233,413,69,101,549,446,93,49,48,1925,675,1067,182,257,1562,558,97,102,124,312,74,156,30,38,184,101,25,16,19,951,504,442,2172,79,2496,554,1927,4040,362,7826025,1482.19,807.98,674.240000000001
1610612750,opponent,2024-25,RegularSeason,19830.19,7927,7924,4083,896,1876,446,574,2299,1556,359,259,288,23271,23270,2032,179,236,3737,2445,5258,687,368,1365,2053,33259,17316,1709.3,839,194,349,53,86,449,382,90,35,38,1834,612,960,171,244,1428,569,99,106,118,285,69,132,23,28,164,104,20,18,14,906,475,432,2085,79,2611,591,2019,4301,412,7898487,1496.01,796.700000000001,699.11
1610612761,opponent,2024-25,RegularSeason,19565.2,8124,8119,3993,865,1773,539,690,2324,1526,358,238,347,23635,23635,2095,187,280,3707,2558,5440,740,477,1525,2454,33741,17512,1759.1,694,181,278,67,96,438,319,69,33,47,1721,638,944,224,300,1531,456,82,91,141,266,51,102,51,66,157,91,15,20,33,918,531,384,2119,77,2722,757,1951,4666,472,7933525,1502.64,811.26,691.17
1610612762,opponent,2024-25,RegularSeason,19565.19,8045,8036,3449,792,1525,411,517,2041,1368,362,215,261,23906,23906,2409,233,330,4413,2972,6282,787,523,1425,2220,33909,18043,1599.6,927,237,403,89,120,572,396,77,47,52,2021,775,1155,199,285,1773,561,103,91,131,417,94,184,54,72,246,148,34,27,36,944,516,421,2071,82,2644,737,1898,4471,457,7775822,1472.75,773.69,699.05
1610612757,opponent,2024-25,RegularSeason,19780.31,8124,8131,3769,800,1704,464,551,2123,1455,341,231,277,23363,23363,2147,210,296,3800,2650,5546,781,453,1529,2448,33475,17347,1730.1,906,211,365,101,134,535,398,66,49,64,1950,675,1050,216,304,1601,576,94,110,144,373,85,163,23,34,196,153,24,19,17,978,533,439,2116,62,2649,702,1929,4607,479,7901520,1496.59,807.900000000001,688.779999999999
1610612738,opponent,2024-25,RegularSeason,19325.11,7693,7716,3722,839,1774,352,442,2082,1413,345,228,223,21550,21550,1926,147,207,3470,2257,4899,550,288,1235,1838,30889,15934,1587.0,764,183,345,54,75,424,337,63,28,34,1571,559,903,153,211,1290,443,84,67,98,377,93,190,32,40,225,124,34,22,20,847,471,374,1977,69,2611,605,1993,4380,394,7515062,1423.33,752.58,670.620000000001
