season_year,name,name_slug,rpv,miv,dpc,data_source,possessions,touches,paint_touches,paint_touches_per_poss,touches_per_poss,points_per_paint_touch,drives,drives_per_poss,points_per_drive,fga_per_drive,post_touches,post_touches_per_poss,points_per_post_touch,elbow_touches,elbow_touches_per_poss,points_per_elbow_touch,steals,blocks,dreb,def_rim_fgm,def_rim_fga,def_rim_fg%,def_rim_fga_per_poss
2017,Jamal Murray,jamal-murray,-1.5,2.685,,nba_tracking,3589.0,2987.0,76.0,0.0212,0.8323,0.6842,356.0,0.0992,0.5365,0.4691,2.0,0.0006,0.0,40.0,0.0111,0.55,50.0,24.0,173.0,83.0,120.0,0.6917,0.0333
2017,Jameer Nelson,jameer-nelson,-1.391,-1.44,,nba_tracking,4119.0,4316.0,38.0,0.0092,1.0478,0.5789,593.0,0.144,0.2766,0.2698,2.0,0.0005,0.0,26.0,0.0063,0.5,53.0,8.0,164.0,64.0,83.0,0.7711,0.0202
2017,James Ennis III,james-ennis-iii,0.575,0.956,,nba_tracking,2895.0,1581.0,103.0,0.0356,0.5461,0.7379,118.0,0.0408,0.6017,0.3729,17.0,0.0059,0.4706,30.0,0.0104,0.7333,46.0,19.0,190.0,72.0,113.0,0.6372,0.039
2017,James Harden,james-harden,0.012,-2.891,,nba_tracking,6147.0,7782.0,104.0,0.0169,1.266,0.4904,1389.0,0.226,0.4924,0.3413,78.0,0.0127,0.5769,66.0,0.0107,0.4848,121.0,38.0,564.0,209.0,290.0,0.7207,0.0474
2017,James Johnson,james-johnson,-0.508,1.827,,nba_tracking,4172.0,4396.0,121.0,0.029,1.0537,0.5124,519.0,0.1244,0.6012,0.4355,120.0,0.0288,0.2333,122.0,0.0292,0.3689,76.0,86.0,310.0,122.0,218.0,0.5596,0.0524
2017,James Jones,james-jones,0.206,-0.581,,nba_tracking,755.0,541.0,10.0,0.0132,0.7166,0.7,7.0,0.0093,0.2857,0.7143,7.0,0.0093,1.2857,11.0,0.0146,0.0,6.0,10.0,34.0,28.0,51.0,0.549,0.0664
2017,James Michael McAdoo,james-michael-mcadoo,1.179,1.125,,nba_tracking,924.0,741.0,125.0,0.1353,0.8019,0.76,16.0,0.0173,0.125,0.4375,30.0,0.0325,0.2667,72.0,0.0779,0.2917,18.0,29.0,57.0,58.0,94.0,0.617,0.1011
2017,James Young,james-young,2.286,0.363,,nba_tracking,453.0,230.0,10.0,0.0221,0.5077,1.3,13.0,0.0287,0.8462,0.4615,1.0,0.0022,2.0,3.0,0.0066,0.0,10.0,2.0,20.0,14.0,22.0,0.6364,0.0488
2017,Jared Dudley,jared-dudley,-0.048,-0.496,,nba_tracking,2844.0,2978.0,65.0,0.0229,1.0471,0.6769,152.0,0.0534,0.2566,0.1908,55.0,0.0193,0.3273,65.0,0.0229,0.3846,42.0,16.0,194.0,89.0,162.0,0.5494,0.0572
2017,Jared Sullinger,jared-sullinger,-1.367,-1.694,,nba_tracking,230.0,192.0,24.0,0.1043,0.8348,0.7083,6.0,0.0261,0.3333,0.5,6.0,0.0261,0.1667,9.0,0.0391,0.2222,4.0,1.0,17.0,4.0,11.0,0.3636,0.0487
