Player,Team,Opponent,Date,Closest Defender Distance,Shot Clock,Touch Time,Dribbles,FGA,eFG%,o10 eFG%,u10ft FG2M,u10ft FG2A,u10ft FG2%,u10ft FG2 Freq,o10ft FG2M,o10ft FG2A,o10ft FG2%,o10ft FG2 Freq,FG3M,FG3A,FG3%,FG3 Freq
A.J. Lawson,DAL,OKC,12/2/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,0.9,0.9,0,0,,0,0,0,,0,3,5,0.6,0.5
Aaron Gordon,DEN,DAL,11/3/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.2353
Aaron Gordon,DEN,MIN,4/10/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.25,0,1,1,1,0.1429,0,1,0,0.1429,0,2,0,0.2857
Aaron Gordon,DEN,POR,3/23/2024,2-4 Feet - Tight,24-22,Touch < 2 Seconds,0 Dribbles,4,0.5,,2,4,0.5,0.1905,0,0,,0,0,0,,0
Aaron Gordon,DEN,UTA,10/30/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,1,,3,3,1,0.25,0,0,,0,0,0,,0
Aaron Gordon,DEN,DAL,12/18/2023,6+ Feet - Wide Open,22-18 Very Early,Touch < 2 Seconds,0 Dribbles,3,0.8333,0.75,1,1,1,0.1111,0,0,,0,1,2,0.5,0.2222
Aaron Gordon,DEN,OKC,12/16/2023,2-4 Feet - Tight,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0.6667,,2,3,0.6667,0.3,0,0,,0,0,0,,0
Aaron Holiday,HOU,PHX,12/27/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,0.375,0.375,0,0,,0,0,0,,0,1,4,0.25,0.3077
Aaron Holiday,HOU,MEM,2/14/2024,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,4,1.125,1.125,0,0,,0,0,0,,0,3,4,0.75,0.3077
Aaron Holiday,HOU,IND,12/26/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,3,0.5,0.5,0,0,,0,0,0,,0,1,3,0.3333,0.3
Aaron Nesmith,IND,NYK,12/30/2023,6+ Feet - Wide Open,15-7 Average,Touch < 2 Seconds,0 Dribbles,5,1.2,1.2,0,0,,0,0,0,,0,4,5,0.8,0.3846
