season_id,player_id,player_name,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,player_stats,team_stats
22023,1631121.0,Bryce McGowens,1610612766.0,CHA,Charlotte Hornets,Isolation,Defensive,1.0,50.0,0.052,0.267,0.1,0.067,0.267,0.067,0.0,0.133,0.1,15.0,4.0,1.0,10.0,9.0,,
22023,1629162.0,Jordan McLaughlin,1610612750.0,MIN,Minnesota Timberwolves,Isolation,Defensive,0.986,42.0,0.062,0.5,0.25,0.083,0.25,0.083,0.0,0.25,0.25,12.0,6.0,2.0,8.0,6.0,,
22023,1630201.0,Malachi Flynn,1610612761.0,TOR,Toronto Raptors,Isolation,Defensive,0.986,27.0,0.069,0.5,0.333,0.0,0.25,0.0,0.0,0.25,0.333,12.0,6.0,3.0,9.0,6.0,,
22023,1628418.0,Thomas Bryant,1610612748.0,MIA,Miami Heat,Isolation,Defensive,0.977,26.0,0.073,0.545,0.3,0.0,0.091,0.0,0.0,0.273,0.3,11.0,6.0,3.0,10.0,7.0,,
22023,1628420.0,Monte Morris,1610612750.0,MIN,Minnesota Timberwolves,Isolation,Defensive,0.946,27.0,0.079,0.636,0.333,0.0,0.182,0.0,0.0,0.273,0.389,11.0,7.0,3.0,9.0,6.0,,
22023,1630562.0,Matt Hurt,1610612763.0,MEM,Memphis Grizzlies,Isolation,Defensive,0.975,7.0,0.298,0.571,0.3,0.0,0.286,0.0,0.0,0.214,0.4,14.0,8.0,3.0,10.0,7.0,,
22023,1629647.0,Darius Bazley,1610612762.0,UTA,Utah Jazz,Isolation,Defensive,0.957,6.0,0.271,0.615,0.273,0.077,0.077,0.077,0.0,0.308,0.273,13.0,8.0,3.0,11.0,8.0,,
22023,1630205.0,Lamar Stevens,1610612763.0,MEM,Memphis Grizzlies,Isolation,Defensive,0.875,19.0,0.076,0.727,0.333,0.182,0.0,0.182,0.0,0.364,0.389,11.0,8.0,3.0,9.0,6.0,,
22023,1629139.0,Yuta Watanabe,1610612756.0,PHX,Phoenix Suns,Isolation,Defensive,0.986,23.0,0.162,0.5,0.182,0.167,0.222,0.167,0.0,0.278,0.227,18.0,9.0,2.0,11.0,9.0,,
22023,1631241.0,Javon Freeman-Liberty,1610612761.0,TOR,Toronto Raptors,Isolation,Defensive,0.907,21.0,0.108,0.692,0.273,0.231,0.0,0.231,0.077,0.385,0.273,13.0,9.0,3.0,11.0,8.0,,
