iapi_rank,player,position,season,sfposs,rapm_raw,rapm_shrunk,se,tau,lam,ci90_lo,ci90_hi,ci95_lo,ci95_hi,cri80_lo,cri80_hi,cri95_lo,cri95_hi,pi80_lo,pi80_hi,pi95_lo,pi95_hi,ii_lo,ii_hi,ci95_width,cri95_width,pi95_width,p_replacement,p_rotation,p_starter,p_all_star,p_all_nba,p_mvp_tier,n_seasons,career_std,sigma_game_est,p_top5,p_top10,p_top25,median_rank,rank_90_lo,rank_90_hi,uncertainty_grade,portability_grade,iapi
78,Darius Garland,guard,2024,20523.0,1.08,1.002,0.487,0.469,0.911,0.28,1.88,0.13,2.03,0.4,1.6,0.08,1.92,0.13,1.87,-0.32,2.33,0.25,1.75,1.91,1.84,2.65,1.0,0.984,0.144,0.0,0.0,0.0,7,1.644,4.933,0.0,0.001,0.043,92,30,166,A,C,0.274
79,Kentavious Caldwellpope,guard,2024,21749.0,0.86,0.804,0.403,0.39,0.916,0.2,1.52,0.07,1.65,0.3,1.3,0.04,1.57,0.09,1.52,-0.3,1.9,0.05,1.55,1.58,1.53,2.2,1.0,0.98,0.037,0.0,0.0,0.0,13,1.402,4.206,0.0,0.0,0.071,102,18,158,A,B,0.188
80,De'Aaron Fox,guard,2024,22301.0,0.71,0.668,0.364,0.352,0.918,0.11,1.31,-0.0,1.42,0.22,1.12,-0.02,1.36,0.02,1.32,-0.32,1.66,-0.08,1.42,1.43,1.38,1.99,1.0,0.971,0.009,0.0,0.0,0.0,8,1.28,3.841,0.0,0.0,0.092,115,17,167,A,B,0.108
81,Bradley Beal,guard,2024,18619.0,0.64,0.597,0.338,0.327,0.903,0.08,1.2,-0.02,1.3,0.18,1.02,-0.04,1.24,-0.01,1.2,-0.33,1.52,-0.15,1.35,1.33,1.28,1.84,1.0,0.966,0.003,0.0,0.0,0.0,13,1.089,3.266,0.093,0.093,0.13,61,5,163,A,B,0.107
82,Nicolas Batum,guard,2024,14063.0,0.65,0.594,0.424,0.405,0.875,-0.05,1.35,-0.18,1.48,0.08,1.11,-0.2,1.39,-0.16,1.35,-0.56,1.74,-0.16,1.34,1.66,1.59,2.3,1.0,0.929,0.013,0.0,0.0,0.0,18,1.186,3.559,0.114,0.193,0.288,91,1,178,A,B,0.036
83,Ausar Thompson,guard,2024,3240.0,0.69,0.503,0.621,0.533,0.618,-0.33,1.71,-0.53,1.91,-0.18,1.19,-0.54,1.55,-0.55,1.55,-1.1,2.11,-0.25,1.25,2.43,2.09,3.21,1.0,0.827,0.031,0.0,0.0,0.0,3,0.829,2.5,0.017,0.064,0.164,97,10,177,B,B,-0.012
84,Isaiah Stewart,guard,2024,12328.0,0.37,0.346,0.318,0.302,0.86,-0.15,0.89,-0.25,0.99,-0.04,0.73,-0.25,0.94,-0.22,0.91,-0.51,1.21,-0.4,1.1,1.25,1.19,1.72,1.0,0.874,0.0,0.0,0.0,0.0,6,0.769,2.5,0.054,0.099,0.169,105,4,178,A,A,-0.036
85,Andre Drummond,guard,2024,13409.0,0.32,0.304,0.323,0.31,0.87,-0.21,0.85,-0.31,0.95,-0.09,0.7,-0.3,0.91,-0.27,0.88,-0.57,1.18,-0.45,1.05,1.27,1.22,1.76,1.0,0.837,0.0,0.0,0.0,0.0,13,0.882,2.646,0.028,0.08,0.143,100,6,178,A,A,-0.116
86,Pj Tucker,guard,2024,16516.0,0.21,0.209,0.3,0.284,0.892,-0.28,0.7,-0.38,0.8,-0.15,0.57,-0.35,0.77,-0.3,0.72,-0.57,0.98,-0.54,0.96,1.18,1.11,1.55,1.0,0.769,0.0,0.0,0.0,0.0,12,0.722,2.5,0.067,0.118,0.186,91,2,174,A,A,-0.15
87,Cj Mccollum,guard,2024,22334.0,0.37,0.356,0.334,0.324,0.918,-0.18,0.92,-0.29,1.03,-0.06,0.77,-0.28,0.99,-0.24,0.95,-0.56,1.27,-0.39,1.11,1.31,1.27,1.83,1.0,0.864,0.0,0.0,0.0,0.0,12,1.178,3.534,0.0,0.007,0.144,87,14,170,A,B,-0.159
